"Members – Detailed Contract Expenditures Report – Lambropoulos, Emmanuella – Q2 2021"
Supplier,Description,Date,Total
Métro Média,Advertising,2020/04/11,772.00
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/05/21,35.30
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,164.77
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Congregation Beth Ora,Advertising,2020/06/04,250.00
"FILIPINO FORUM, THE",Advertising,2020/06/12,75.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/06/22,440.00
CLAN CREATIF INC.,"Advertising ",2020/06/23,130.86
Il Cittadino Canadese,Advertising,2020/06/23,71.00
"SUBURBAN, THE",Advertising,2020/06/24,129.00
Métro Média,Advertising,2020/06/27,72.00
RADIO HUMSAFAR,Advertising,2020/06/27,40.00
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/06/28,112.94
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/06/29,440.00
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/06/29,73.53
Journal El Chasqui Latino Inc,Advertising,2020/06/30,29.41
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,120.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,288.93
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.40
Factus Medias Inc,Advertising,2020/07/01,87.94
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
"Presse Chinoise, La",Advertising,2020/07/01,82.35
Zigzag Roman-Canadian Inc.,Advertising,2020/07/01,22.50
Community Contact,Advertising,2020/07/02,58.86
"INDUSTRIES DE SÉCURITÉ BELTRONIC INC., LES",Repair of Office Equipment,2020/07/02,49.95
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2020/07/02,600.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/03,194.74
Maghreb Express Canada,Advertising,2020/07/07,29.41
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2020/07/13,185.71
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.08
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/07/22,35.29
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,206.47
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,120.92
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2020/08/01,3708.25
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
RADIO HUMSAFAR,Advertising,2020/08/19,40.00
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/08/24,35.29
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,120.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,225.48
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2020/09/01,3708.25
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Vidéotron s.e.n.c,Cable and Internet,2020/09/04,194.74
Jean-Coutu,Consumable Items for Constituency Offices (COVID19),2020/09/08,69.05
Canada Post – Postes Canada,Courier Services,2020/09/23,9.02
Canada Post – Postes Canada,Courier Services,2020/09/23,9.53
Canada Post – Postes Canada,Courier Services,2020/09/23,7.00
Canada Post – Postes Canada,Courier Services,2020/09/23,29.18
Canada Post – Postes Canada,Courier Services,2020/09/23,9.35
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/23,19.71
EDIFICE 750 MARCEL-LAURIN INC,Office Rental and Related Fees,2020/10/01,3708.25
