"Members – Detailed Travel Expenditures Report – O'Toole, Erin – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203080,2020/02/19,2020/03/18,,,,,,,0.0000,80.9900,0.0000,0,0,0,80.99
T0203080,2020/02/19,2020/03/18,"O'Toole, Erin",Member,Secondary Residence,2020/02/19,Bowmanville,Bowmanville,,,,,,,
T0202801,2020/03/19,2020/04/18,,,,,,,0.0000,80.9900,0.0000,0,0,0,80.99
T0202801,2020/03/19,2020/04/18,"O'Toole, Erin",Member,Secondary Residence,2020/03/19,Bowmanville,Bowmanville,,,,,,,
T0203073,2020/04/19,2020/07/18,,,,,,,0.0000,220.2500,0.0000,0,0,0,220.25
T0203073,2020/04/19,2020/07/18,"O'Toole, Erin",Member,Secondary Residence,2020/05/19,Bowmanville,Bowmanville,,,,,,,
T0203073,2020/04/19,2020/07/18,"O'Toole, Erin",Member,Secondary Residence,2020/04/19,Bowmanville,Bowmanville,,,,,,,
T0203073,2020/04/19,2020/07/18,"O'Toole, Erin",Member,Secondary Residence,2020/06/19,Bowmanville,Bowmanville,,,,,,,
T0202347,2020/06/15,2020/06/19,,,,,,,342.6400,0.0000,0.0000,1.0000,0,0,342.64
T0202347,2020/06/15,2020/06/19,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/06/15,Ottawa,Bowmanville,,,,,,,
T0202347,2020/06/15,2020/06/19,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/06/19,Bowmanville,Ottawa,,,,,,,
T0202667,2020/06/25,2020/06/26,,,,,,,342.6400,129.8000,55.7600,1.0000,0,0,528.20
T0202667,2020/06/25,2020/06/26,"Bouchard, Enya",Employee,To travel to/from constituency and Ottawa,2020/06/25,Ottawa,Bowmanville,,,,,,,
T0202667,2020/06/25,2020/06/26,"Bouchard, Enya",Employee,To travel to/from constituency and Ottawa,2020/06/26,Bowmanville,Ottawa,,,,,,,
T0202665,2020/06/25,2020/06/28,,,,,,,342.6400,0.0000,82.8600,1.0000,0,0,425.50
T0202665,2020/06/25,2020/06/28,"Cotter, Mary Ellen",Employee,To travel to/from constituency and Ottawa,2020/06/25,Ottawa,Bowmanville,,,,,,,
T0202665,2020/06/25,2020/06/28,"Cotter, Mary Ellen",Employee,To travel to/from constituency and Ottawa,2020/06/28,Bowmanville,Ottawa,,,,,,,
T0202664,2020/06/27,2020/06/28,,,,,,,342.6400,0.0000,0.0000,1.0000,0,0,342.64
T0202664,2020/06/27,2020/06/28,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/06/27,Ottawa,Bowmanville,,,,,,,
T0202664,2020/06/27,2020/06/28,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/06/28,Bowmanville,Ottawa,,,,,,,
T0202761,2020/06/30,2020/07/01,,,,,,,336.2100,0.0000,0.0000,1.0000,0,0,336.21
T0202761,2020/06/30,2020/07/01,,Designated Traveller,To unite the family with the Member,2020/06/30,Ottawa,Bowmanville,,,,,,,
T0202761,2020/06/30,2020/07/01,,Designated Traveller,To unite the family with the Member,2020/07/01,Bowmanville,Ottawa,,,,,,,
T0202766,2020/07/01,2020/07/01,,,,,,,26.1100,0.0000,82.8600,0,0,0,108.97
T0202766,2020/07/01,2020/07/01,"O'Toole, Erin",Member,To attend a constituency or community event,2020/07/01,Bowmanville,Newcastle,,,,,,,
T0203330,2020/07/01,2020/07/01,,,,,,,27.4800,0.0000,0.0000,0.0000,0.0000,0,27.48
T0203330,2020/07/01,2020/07/01,"Kavli, Danielle",Employee,To attend a constituency or community event,2020/07/01,Bowmanville,Wilmot Creek,,,,,,,
T0202766,2020/07/01,2020/07/01,"O'Toole, Erin",Member,To attend a constituency or community event,2020/07/01,Newcastle,Oshawa,,,,,,,
T0203330,2020/07/01,2020/07/01,"Kavli, Danielle",Employee,To attend a constituency or community event,2020/07/01,Wilmot Creek,Oshawa,,,,,,,
T0202766,2020/07/01,2020/07/01,"O'Toole, Erin",Member,To attend a constituency or community event,2020/07/01,Oshawa,Bowmanville,,,,,,,
T0203330,2020/07/01,2020/07/01,"Kavli, Danielle",Employee,To attend a constituency or community event,2020/07/01,Oshawa,Bowmanville,,,,,,,
T0202764,2020/07/01,2020/07/02,,,,,,,329.7800,0.0000,82.8600,1.0000,0,0,412.64
T0202764,2020/07/01,2020/07/02,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/01,Ottawa,Bowmanville,,,,,,,
T0202764,2020/07/01,2020/07/02,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/02,Bowmanville,Ottawa,,,,,,,
T0203071,2020/07/10,2020/07/12,,,,,,,329.7800,0.0000,0.0000,1.0000,0,0,329.78
T0203071,2020/07/10,2020/07/12,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Bowmanville,,,,,,,
T0203071,2020/07/10,2020/07/12,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/12,Bowmanville,Ottawa,,,,,,,
T0203630,2020/07/28,2020/07/29,,,,,,,329.7800,0.0000,0.0000,1.0000,0,0,329.78
T0203630,2020/07/28,2020/07/29,,Designated Traveller,To unite the family with the Member,2020/07/28,Ottawa,Bowmanville,,,,,,,
T0203630,2020/07/28,2020/07/29,,Designated Traveller,To unite the family with the Member,2020/07/29,Bowmanville,Ottawa,,,,,,,
T0203629,2020/07/28,2020/07/30,,,,,,,329.7800,0.0000,92.6300,1.0000,0,0,422.41
T0203629,2020/07/28,2020/07/30,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/28,Ottawa,Bowmanville,,,,,,,
T0203629,2020/07/28,2020/07/30,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/07/30,Bowmanville,Ottawa,,,,,,,
T0203633,2020/07/29,2020/07/29,,,,,,,36.6400,0.0000,0.0000,0.0000,0,0,36.64
T0203633,2020/07/29,2020/07/29,"O'Toole, Erin",Member,To attend a constituency or community event,2020/07/29,Bowmanville,Port Perry,,,,,,,
T0203633,2020/07/29,2020/07/29,"O'Toole, Erin",Member,To attend a constituency or community event,2020/07/29,Port Perry,Bowmanville,,,,,,,
200430771,2020/08/01,2020/08/31,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200430771,2020/08/01,2020/08/31,"O'Toole, Erin",Member,Secondary Residence,2020/08/01,BOWMANVILLE,BOWMANVILLE,,,,,,,
T0203762,2020/08/06,2020/08/08,,,,,,,329.7800,0.0000,0.0000,1.0000,0,0,329.78
T0203762,2020/08/06,2020/08/08,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/08/06,Ottawa,Bowmanville,,,,,,,
T0203762,2020/08/06,2020/08/08,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/08/08,Bowmanville,Ottawa,,,,,,,
T0203910,2020/08/12,2020/08/15,,,,,,,329.7800,0.0000,0.0000,1.0000,0,0,329.78
T0203910,2020/08/12,2020/08/15,,Designated Traveller,To unite the family with the Member,2020/08/12,Ottawa,Bowmanville,,,,,,,
T0203910,2020/08/12,2020/08/15,,Designated Traveller,To unite the family with the Member,2020/08/15,Bowmanville,Ottawa,,,,,,,
T0203912,2020/08/13,2020/08/15,,,,,,,329.7800,0.0000,229.9100,1.0000,0,0,559.69
T0203912,2020/08/13,2020/08/15,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Bowmanville,,,,,,,
T0203912,2020/08/13,2020/08/15,"O'Toole, Erin",Member,To travel to/from constituency and Ottawa,2020/08/15,Bowmanville,Ottawa,,,,,,,
200437253,2020/09/01,2020/09/30,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200437253,2020/09/01,2020/09/30,"O'Toole, Erin",Member,Secondary Residence,2020/09/01,BOWMANVILLE,BOWMANVILLE,,,,,,,
200442116,2020/10/01,2020/10/31,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200442116,2020/10/01,2020/10/31,"O'Toole, Erin",Member,Secondary Residence,2020/10/01,BOWMANVILLE,BOWMANVILLE,,,,,,,
