"Members – Detailed Contract Expenditures Report – Fergus, Greg – Q2 2021"
Supplier,Description,Date,Total
Facebook,Advertising,2020/04/12,165.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Fondation Lani,Advertising,2020/06/01,250.0000
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/04,26.5400
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/05,79.9800
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/05,22.9900
Videotron,Cable and Internet Fees,2020/06/05,172.9500
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/08,23.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bulletin d'Aylmer,Advertising,2020/06/17,155.0000
Digital River,Licence Renewal,2020/06/18,199.7500
Ass. des Résidants de l'Île de Hull,Advertising,2020/06/22,250.0000
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/23,55.9800
Bulletin d'Aylmer,Advertising,2020/06/24,155.0000
Videotron,Cable and Internet Fees,2020/06/26,345.9000
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/28,55.9800
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/29,55.9800
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/30,29.9800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,218.3000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.0000
NGP VAn,Professional Communication Services,2020/07/01,100.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
RBC,Banking Fees and Cheque Orders,2020/07/02,15.7500
Bulletin d'Aylmer,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,240.0000
West Québec Post,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,101.8500
Manne de l’Île,Advertising,2020/07/08,500.0000
services linguistiques – clara lagacé,Professional Communication Services,2020/07/09,30.0000
Walmart,Consumable Items for Constituency Offices (COVID19),2020/07/09,89.9500
9405-3527 Quebec.inc,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/11,429.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,17.9800
Amazon,Consumable Items for Constituency Offices (COVID19),2020/07/14,29.9900
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,49.9800
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,34.9700
Amazon,"Office Supplies, Stationery and Accessories",2020/07/14,22.9900
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,10.7800
Geeko Tech,Consumable Items for Constituency Offices (COVID19),2020/07/17,31.9600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.4600
Digital River,Licence Renewal,2020/07/18,199.7500
Chambre de Commerce de Gatineau,Advertising,2020/07/21,250.0000
videotron,Cable and Internet Fees,2020/07/24,172.9500
Grand & Toy,Cleaning Products,2020/07/31,167.8800
Regroupement affaies femmes,Advertising,2020/07/31,500.0000
6250424 Canada Inc,Office Rental and Related Fees,2020/08/01,2853.0000
Aquaterra Corp.,Spring Water,2020/08/01,41.2600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,218.3000
VILLE DE GATINEAU,Office Rental and Related Fees,2020/08/01,1609.4200
RBC,Banking Fees and Cheque Orders,2020/08/03,13.2500
videotron,Cable and Internet Fees,2020/08/07,172.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
La Capitale Assurance générales,Constituency Office Insurance,2020/08/15,61.0400
IKEA,Office Furniture and Fixtures,2020/08/17,9.9900
IKEA,Office Equipment,2020/08/17,198.0000
IKEA,Office Furniture and Fixtures,2020/08/17,987.0000
" Suzhou Suogesi Network Technology Co., Ltd",Office Furniture and Fixtures,2020/08/19,199.9900
