"Members – Detailed Travel Expenditures Report – Fillmore, Andy – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204904,2020/04/27,2020/10/31,,,,,,,0.0000,106.4100,0.0000,0,0,0,106.4100
T0204904,2020/04/27,2020/10/31,"Fillmore, Andy",Member,Secondary Residence,2020/07/28,Ottawa,Ottawa,,,,,,,
T0204904,2020/04/27,2020/10/31,"Fillmore, Andy",Member,Secondary Residence,2020/04/27,Ottawa,Ottawa,,,,,,,
T0204904,2020/04/27,2020/10/31,"Fillmore, Andy",Member,Secondary Residence,2020/05/28,Ottawa,Ottawa,,,,,,,
T0204904,2020/04/27,2020/10/31,"Fillmore, Andy",Member,Secondary Residence,2020/06/27,Ottawa,Ottawa,,,,,,,
T0201817,2020/05/11,2020/10/30,,,,,,,0.0000,325.0000,0.0000,0,0,0,325.0000
T0201817,2020/05/11,2020/10/30,"Fillmore, Andy",Member,Secondary Residence,2020/05/11,Ottawa,Ottawa,,,,,,,
T0201817,2020/05/11,2020/10/30,"Fillmore, Andy",Member,Secondary Residence,2020/07/11,Ottawa,Ottawa,,,,,,,
T0201817,2020/05/11,2020/10/30,"Fillmore, Andy",Member,Secondary Residence,2020/06/11,Ottawa,Ottawa,,,,,,,
T0201817,2020/05/11,2020/10/30,"Fillmore, Andy",Member,Secondary Residence,2020/09/11,Ottawa,Ottawa,,,,,,,
T0201817,2020/05/11,2020/10/30,"Fillmore, Andy",Member,Secondary Residence,2020/08/11,Ottawa,Ottawa,,,,,,,
T0204996,2020/06/01,2020/08/31,,,,,,,264.0600,0.0000,0.0000,0.0000,0,0,264.0600
T0204996,2020/06/01,2020/08/31,"Macrae, Joanne",Employee,To attend meetings about constituency issues,2020/06/01,Halifax,Halifax,,,,,,,
T0204996,2020/06/01,2020/08/31,"Macrae, Joanne",Employee,To attend a constituency or community event,2020/07/01,Halifax,Halifax,,,,,,,
T0204996,2020/06/01,2020/08/31,"Macrae, Joanne",Employee,To conduct constituency office business,2020/08/01,Halifax,Halifax,,,,,,,
200430710,2020/08/01,2020/08/31,,,,,,,0.0000,1580.0000,0.0000,0,0,0,1580.0000
200430710,2020/08/01,2020/08/31,"Fillmore, Andy",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0205002,2020/08/01,2020/08/31,,,,,,,45.9000,0.0000,0.0000,0.0000,0,0,45.9000
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To attend meetings about constituency issues,2020/08/10,Halifax,Sambro,,,,,,,
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To attend meetings about constituency issues,2020/08/10,Sambro,Halifax,,,,,,,
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To attend meetings about constituency issues,2020/08/14,Halifax,Herring Cove,,,,,,,
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To attend meetings about constituency issues,2020/08/14,Herring Cove,Halifax,,,,,,,
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To conduct constituency office business,2020/08/25,Halifax,Halifax,,,,,,,
T0205002,2020/08/01,2020/08/31,"Drillio, Jennifer",Employee,To conduct constituency office business,2020/08/25,Halifax,Halifax,,,,,,,
200437193,2020/09/01,2020/09/30,,,,,,,0.0000,1580.0000,0.0000,0,0,0,1580.0000
200437193,2020/09/01,2020/09/30,"Fillmore, Andy",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205003,2020/09/10,2020/09/12,,,,,,,324.0600,201.5000,228.6700,0,1.0000,0,754.2300
T0205003,2020/09/10,2020/09/12,"Fillmore, Andy",Member,To attend a regional or provincial caucus meeting,2020/09/10,Halifax,Green Gables,,,,,,,
T0205003,2020/09/10,2020/09/12,"Fillmore, Andy",Member,To attend a regional or provincial caucus meeting,2020/09/12,Green Gables,Halifax,,,,,,,
200442054,2020/10/01,2020/10/31,,,,,,,0.0000,1580.0000,0.0000,0,0,0,1580.0000
200442054,2020/10/01,2020/10/31,"Fillmore, Andy",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
