"Members – Detailed Contract Expenditures Report – Fonseca, Peter – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,1074.1500
Embee Properties Limited,Office Rental and Related Fees,2020/06/01,1054.1700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,229.0400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,1.5000
Embee Properties Limited,Public Utilities,2020/06/02,198.6700
Embee Properties Limited,Public Utilities,2020/06/02,249.8700
PRISTINE PRINTING INC.,Constituency Mail,2020/06/15,3862.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Embee Properties Limited,Public Utilities,2020/06/29,113.0900
Phillips Moving & Storage (2365208 ON Inc),Office Relocation,2020/06/30,3508.5500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,13.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,175.5400
"Siery, Kevin",Office Assistant,2020/07/02,704.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,19.1100
Embee Properties Limited,Public Utilities,2020/07/14,167.3100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1400
"Bodnar, Anna",Office Assistant,2020/07/31,900.0000
"Siery, Kevin",Office Assistant,2020/07/31,2112.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.0000
Embee Properties Limited,Office Rental and Related Fees,2020/08/01,3450.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,198.5400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
"Bodnar, Anna",Office Assistant,2020/08/31,1260.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,56.0000
Embee Properties Limited,Office Rental and Related Fees,2020/09/01,3450.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
"Siery, Kevin",Office Assistant,2020/09/01,2048.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,13.7000
Embee Properties Limited,Office Rental and Related Fees,2020/10/01,3450.0000
