"Members – Detailed Travel Expenditures Report – Fortin, Rhéal – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203391,2020/07/19,2020/07/23,,,,,,,152.9200,0.0000,393.2100,1.0000,0,0,546.1300
T0203391,2020/07/19,2020/07/23,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/07/19,Saint-Jérôme,Ottawa,,,,,,,
T0203391,2020/07/19,2020/07/23,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Saint-Jérôme,,,,,,,
T0203082,2020/07/27,2020/08/26,,,,,,,0.0000,137.3200,0.0000,0,0,0,137.3200
T0203082,2020/07/27,2020/08/26,"Fortin, Rhéal",Member,Secondary Residence,2020/07/27,Gatineau,Gatineau,,,,,,,
T0203590,2020/07/28,2020/07/30,,,,,,,152.9200,0.0000,276.4700,1.0000,0,0,429.3900
T0203590,2020/07/28,2020/07/30,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/07/28,Saint-Jérôme,Ottawa,,,,,,,
T0203590,2020/07/28,2020/07/30,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/07/30,Ottawa,Saint-Jérôme,,,,,,,
200430714,2020/08/01,2020/08/31,,,,,,,0.0000,1775.0000,0.0000,0,0,0,1775.0000
200430714,2020/08/01,2020/08/31,"Fortin, Rhéal",Member,Secondary Residence,2020/08/01,GATINEAU,GATINEAU,,,,,,,
T0204156,2020/08/16,2020/08/20,,,,,,,941.3300,365.8800,248.3300,0,1.0000,0,1555.5400
T0204156,2020/08/16,2020/08/20,"Fortin, Rhéal",Member,To attend a national caucus meeting,2020/08/16,Saint-Jérôme,Rivière-du-Loup,,,,,,,
T0204156,2020/08/16,2020/08/20,"Fortin, Rhéal",Member,To attend a national caucus meeting,2020/08/20,Bonaventure,Saint-Jérôme,,,,,,,
T0204926,2020/08/17,2020/08/21,,,,,,,152.4700,0.0000,0.0000,1.0000,0,0,152.4700
T0204926,2020/08/17,2020/08/21,"Lachance, Benjamin",Employee,To travel to/from constituency and Ottawa,2020/08/17,Ottawa,Saint-Jérôme,,,,,,,
T0204926,2020/08/17,2020/08/21,"Lachance, Benjamin",Employee,To travel to/from constituency and Ottawa,2020/08/21,Saint-Jérôme,Ottawa,,,,,,,
T0204928,2020/08/24,2020/08/26,,,,,,,152.4700,0.0000,0.0000,1.0000,0,0,152.4700
T0204928,2020/08/24,2020/08/26,"Lachance, Benjamin",Employee,To travel to/from constituency and Ottawa,2020/08/24,Ottawa,Saint-Jérôme,,,,,,,
T0204928,2020/08/24,2020/08/26,"Lachance, Benjamin",Employee,To travel to/from constituency and Ottawa,2020/08/26,Saint-Jérôme,Ottawa,,,,,,,
T0204132,2020/08/27,2020/09/26,,,,,,,0.0000,137.3200,0.0000,0,0,0,137.3200
T0204132,2020/08/27,2020/09/26,"Fortin, Rhéal",Member,Secondary Residence,2020/08/27,Gatineau,Gatineau,,,,,,,
200437197,2020/09/01,2020/09/30,,,,,,,0.0000,1775.0000,0.0000,0,0,0,1775.0000
200437197,2020/09/01,2020/09/30,"Fortin, Rhéal",Member,Secondary Residence,2020/09/01,GATINEAU,GATINEAU,,,,,,,
T0205366,2020/09/22,2020/09/25,,,,,,,152.4700,0.0000,393.2100,1.0000,0,0,545.6800
T0205366,2020/09/22,2020/09/25,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/09/22,Saint-Jérôme,Ottawa,,,,,,,
T0205366,2020/09/22,2020/09/25,"Fortin, Rhéal",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Saint-Jérôme,,,,,,,
T0205052,2020/09/27,2020/10/26,,,,,,,0.0000,137.3200,0.0000,0,0,0,137.3200
T0205052,2020/09/27,2020/10/26,"Fortin, Rhéal",Member,Secondary Residence,2020/09/27,Gatineau,Gatineau,,,,,,,
200442058,2020/10/01,2020/10/31,,,,,,,0.0000,1775.0000,0.0000,0,0,0,1775.0000
200442058,2020/10/01,2020/10/31,"Fortin, Rhéal",Member,Secondary Residence,2020/10/01,GATINEAU,GATINEAU,,,,,,,
