"Members – Detailed Contract Expenditures Report – Sorbara, Francesco – Q2 2021"
Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,154.00
Advertek,"Householders ",2020/06/05,4124.62
Bell,Cable and Internet Fees,2020/06/10,160.37
"Foreign Affairs, Trade and Development (Department of) –  Affaires étrangères, du Commerce et du Développement (Ministère des)",Language Training / Assessment - Federal Government Departments,2020/06/11,395.69
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,3.08
Enbridge,Public Utilities,2020/06/30,76.90
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,-10.03
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,6.37
Grand & Toy,Cleaning Products,2020/06/30,18.04
Grand & Toy,Bulk Paper Purchases,2020/06/30,55.49
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,46.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,88.00
CORRIERE CANADESE INC.,Advertising,2020/07/01,450.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,154.45
Snapd,Advertising,2020/07/01,750.00
Bell,Cable and Internet Fees,2020/07/10,186.45
Purolator,Courier Services,2020/07/10,15.03
Purolator,Courier Services,2020/07/12,14.98
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,313.31
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/07/14,21.69
"Foreign Affairs, Trade and Development (Department of) –  Affaires étrangères, du Commerce et du Développement (Ministère des)",Language Training / Assessment - Federal Government Departments,2020/07/16,904.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.95
Purolator,Courier Services,2020/07/24,28.62
ENBRIDGE,Public Utilities,2020/07/31,80.57
Grand & Toy,Cleaning Products,2020/07/31,66.79
House of Commons – Chambre des communes,Language Training,2020/07/31,234.94
House of Commons – Chambre des communes,Language Training,2020/07/31,221.12
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,36.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,88.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,194.00
ROYBRIDGE HOLDINGS LIMITED,Office Rental and Related Fees,2020/08/01,3490.50
Costa Printing,"Office Supplies, Stationery and Accessories",2020/08/03,235.00
Bell,Cable and Internet Fees,2020/08/10,165.00
"Berlato, Sabrina",Professional Communication Services,2020/08/11,475.00
"Foreign Affairs, Trade and Development (Department of) –  Affaires étrangères, du Commerce et du Développement (Ministère des)",Language Training / Assessment - Federal Government Departments		,2020/08/13,904.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Purolator,Courier Services,2020/08/14,10.09
House of Commons – Chambre des communes,Householders – Paper Recovery,2020/08/20,90.10
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,0.78
Alectra Utilities,Public Utilities,2020/08/28,88.00
Purolator,Courier Services,2020/08/28,5.25
Enbridge,Public Utilities,2020/08/31,72.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,40.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,88.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
ROYBRIDGE HOLDINGS LIMITED,Office Rental and Related Fees,2020/09/01,3490.50
CORRIERE CANADESE INC.,Advertising,2020/09/04,450.00
Purolator,Courier Services,2020/09/04,5.25
Canada Post – Postes Canada,Courier Services,2020/09/23,7.69
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
Canada Post – Postes Canada,Courier Services,2020/09/23,21.63
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,352.89
ROYBRIDGE HOLDINGS LIMITED,Office Rental and Related Fees,2020/10/01,3490.50
