"Members – Detailed Contract Expenditures Report – Drouin, Francis – Q2 2021"
Supplier,Description,Date,Total
"RÉGIONAL, LE",Advertising,2020/03/19,190.00
"RÉGIONAL, LE",Advertising,2020/04/16,375.00
"RÉGIONAL, LE",Advertising,2020/04/30,190.00
"REVIEW, THE",Advertising,2020/04/30,99.00
"RÉGIONAL, LE",Advertising,2020/05/07,170.00
"RÉGIONAL, LE",Advertising,2020/05/14,190.00
"RÉGIONAL, LE",Advertising,2020/05/21,375.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
"RÉGIONAL, LE",Advertising,2020/05/28,190.00
desjardins,Banking Fees and Cheque Orders,2020/05/29,3.95
Hydro Hawkesbury,Public Utilities,2020/06/01,33.23
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
MAXIBURO LTD.,"Office Supplies, Stationery and Accessories",2020/06/04,13.65
"RÉGIONAL, LE",Advertising,2020/06/04,190.00
"REVIEW, THE",Advertising,2020/06/10,199.00
bell mobile,Cable and Internet Fees,2020/06/12,50.00
bell,Cable and Internet Fees,2020/06/13,235.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
"REVIEW, THE",Advertising,2020/06/17,149.00
Tribune Express Hawkesbury,Advertising,2020/06/17,350.00
"Reflet, le /news, The",Advertising,2020/06/18,350.00
Vision,Advertising,2020/06/18,225.00
Pro Max Pub,Advertising,2020/06/23,574.87
"REVIEW, THE",Advertising,2020/06/24,99.00
Tribune Express Hawkesbury,Advertising,2020/06/24,225.00
"Carillon, Le",Advertising,2020/06/25,225.00
"Reflet, le /news, The",Advertising,2020/06/25,225.00
"RÉGIONAL, LE",Advertising,2020/06/25,190.00
Vision,Advertising,2020/06/25,225.00
dejardins,Banking Fees and Cheque Orders,2020/06/30,3.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,2327.72
"REVIEW, THE",Advertising,2020/06/30,269.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,228.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.00
"GLENGARRY NEWS, THE",Advertising,2020/07/01,445.00
hydro hawkesbury,Public Utilities,2020/07/01,35.36
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.79
