"Members – Detailed Travel Expenditures Report – Sikand, Gagan – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204859,2019/11/29,2019/11/30,,,,,,,459.9700,0.0000,0.0000,1.0000,0,0,459.97
T0204859,2019/11/29,2019/11/30,"Baig, Ali",Employee,To travel to/from constituency and Ottawa,2019/11/29,Mississauga,Ottawa,,,,,,,
T0204859,2019/11/29,2019/11/30,"Baig, Ali",Employee,To travel to/from constituency and Ottawa,2019/11/30,Ottawa,Mississauga,,,,,,,
T0204862,2020/06/27,2020/06/28,,,,,,,450.6700,0.0000,0.0000,1.0000,0,0,450.67
T0204862,2020/06/27,2020/06/28,"Sikand, Gagan",Member,To travel to/from constituency and Ottawa,2020/06/27,Mississauga,Ottawa,,,,,,,
T0204862,2020/06/27,2020/06/28,"Sikand, Gagan",Member,To travel to/from constituency and Ottawa,2020/06/28,Ottawa,Mississauga,,,,,,,
T0204863,2020/08/08,2020/08/09,,,,,,,433.7600,0.0000,0.0000,1.0000,0,0,433.76
T0204863,2020/08/08,2020/08/09,"Sikand, Gagan",Member,To travel to/from constituency and Ottawa,2020/08/08,Mississauga,Ottawa,,,,,,,
T0204863,2020/08/08,2020/08/09,"Sikand, Gagan",Member,To travel to/from constituency and Ottawa,2020/08/09,Ottawa,Mississauga,,,,,,,
T0204869,2020/08/13,2020/08/13,,,,,,,34.8000,0.0000,0.0000,0.0000,0,0,34.80
T0204869,2020/08/13,2020/08/13,"Yaqubian, Farnaz",Employee,To attend a constituency or community event,2020/08/13,Mississauga,Toronto,,,,,,,
T0204869,2020/08/13,2020/08/13,"Yaqubian, Farnaz",Employee,To attend a constituency or community event,2020/08/13,Toronto,Mississauga,,,,,,,
