"Members – Detailed Travel Expenditures Report – Anandasangaree, Gary – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203003,2020/06/11,2020/06/12,,,,,,,399.7400,0.0000,98.3000,1.0000,0,0,498.04
T0203003,2020/06/11,2020/06/12,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/11,Toronto,Ottawa,,,,,,,
T0203003,2020/06/11,2020/06/12,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/12,Ottawa,Toronto,,,,,,,
T0203004,2020/06/14,2020/06/15,,,,,,,399.7400,0.0000,98.3000,1.0000,0,0,498.04
T0203004,2020/06/14,2020/06/15,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/14,Toronto,Ottawa,,,,,,,
T0203004,2020/06/14,2020/06/15,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/15,Ottawa,Toronto,,,,,,,
T0202937,2020/06/15,2020/06/19,,,,,,,399.7400,0.0000,0.0000,1.0000,0,0,399.74
T0202937,2020/06/15,2020/06/19,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2020/06/15,Toronto,Ottawa,,,,,,,
T0202937,2020/06/15,2020/06/19,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2020/06/19,Ottawa,Toronto,,,,,,,
T0202938,2020/06/21,2020/07/01,,,,,,,392.2500,0.0000,0.0000,1.0000,0,0,392.25
T0202938,2020/06/21,2020/07/01,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2020/06/21,Toronto,Ottawa,,,,,,,
T0202938,2020/06/21,2020/07/01,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2020/07/01,Ottawa,Toronto,,,,,,,
T0203005,2020/06/22,2020/06/23,,,,,,,399.7400,0.0000,159.5100,1.0000,0,0,559.25
T0203005,2020/06/22,2020/06/23,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/22,Toronto,Ottawa,,,,,,,
T0203005,2020/06/22,2020/06/23,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/06/23,Ottawa,Toronto,,,,,,,
T0203157,2020/07/13,2020/07/30,,,,,,,384.7600,0.0000,0.0000,1.0000,0,0,384.76
T0203157,2020/07/13,2020/07/30,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/07/13,Toronto,Ottawa,,,,,,,
T0203157,2020/07/13,2020/07/30,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/07/30,Ottawa,Toronto,,,,,,,
T0203557,2020/07/19,2020/07/22,,,,,,,384.7600,0.0000,294.9100,1.0000,0,0,679.67
T0203557,2020/07/19,2020/07/22,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/07/19,Toronto,Ottawa,,,,,,,
T0203557,2020/07/19,2020/07/22,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/07/22,Ottawa,Toronto,,,,,,,
200430660,2020/08/01,2020/08/31,,,,,,,0.0000,2260.0000,0.0000,0,0,0,2260.00
200430660,2020/08/01,2020/08/31,"Anandasangaree, Gary",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203773,2020/08/10,2020/08/10,,,,,,,192.3800,0.0000,0.0000,0.5000,0,0,192.38
T0203773,2020/08/10,2020/08/10,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/08/10,Toronto,Ottawa,,,,,,,
T0204537,2020/08/11,2020/08/14,,,,,,,956.2000,0.0000,0.0000,0,1.0000,0,956.20
T0204537,2020/08/11,2020/08/14,"Mariampillai, Joshua",Employee,Attending event with Member,2020/08/11,Toronto,Vancouver,,,,,,,
T0204535,2020/08/11,2020/08/14,,,,,,,956.2000,751.9100,0.0000,0,1.0000,0,1708.11
T0204535,2020/08/11,2020/08/14,"Soundranayagam, Dorine",Employee,Attending event with Member,2020/08/11,Toronto,Vancouver,,,,,,,
T0204332,2020/08/11,2020/08/14,,,,,,,2342.4500,698.7000,0.0000,0,1.0000,0,3041.15
T0204332,2020/08/11,2020/08/14,"Anandasangaree, Gary",Member,To attend a constituency or community event,2020/08/11,Toronto,Vancouver,,,,,,,
T0204537,2020/08/11,2020/08/14,"Mariampillai, Joshua",Employee,Attending event with Member,2020/08/14,Vancouver,Toronto,,,,,,,
T0204535,2020/08/11,2020/08/14,"Soundranayagam, Dorine",Employee,Attending event with Member,2020/08/14,Vancouver,Toronto,,,,,,,
T0204332,2020/08/11,2020/08/14,"Anandasangaree, Gary",Member,To attend a constituency or community event,2020/08/14,Vancouver,Toronto,,,,,,,
T0204224,2020/08/15,2020/08/21,,,,,,,384.7600,0.0000,0.0000,1.0000,0,0,384.76
T0204224,2020/08/15,2020/08/21,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/08/15,Toronto,Ottawa,,,,,,,
T0204224,2020/08/15,2020/08/21,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/08/21,Ottawa,Toronto,,,,,,,
T0204222,2020/08/23,2020/08/25,,,,,,,384.7600,0.0000,0.0000,1.0000,0,0,384.76
T0204222,2020/08/23,2020/08/25,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/08/23,Toronto,Ottawa,,,,,,,
T0204222,2020/08/23,2020/08/25,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/08/25,Ottawa,Toronto,,,,,,,
200437142,2020/09/01,2020/09/30,,,,,,,0.0000,2260.0000,0.0000,0,0,0,2260.00
200437142,2020/09/01,2020/09/30,"Anandasangaree, Gary",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205065,2020/09/03,2020/09/04,,,,,,,384.7600,0.0000,0.0000,1.0000,0,0,384.76
T0205065,2020/09/03,2020/09/04,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/09/03,Toronto,Ottawa,,,,,,,
T0205065,2020/09/03,2020/09/04,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/09/04,Ottawa,Toronto,,,,,,,
T0205064,2020/09/13,2020/09/14,,,,,,,384.7600,0.0000,0.0000,1.0000,0,0,384.76
T0205064,2020/09/13,2020/09/14,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/09/13,Toronto,Ottawa,,,,,,,
T0205064,2020/09/13,2020/09/14,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2020/09/14,Ottawa,Toronto,,,,,,,
200442003,2020/10/01,2020/10/31,,,,,,,0.0000,2260.0000,0.0000,0,0,0,2260.00
200442003,2020/10/01,2020/10/31,"Anandasangaree, Gary",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
