"Members – Detailed Contract Expenditures Report – Gaudreau, Marie-Hélène – Q2 2021"
Supplier,Description,Date,Total
"Apostrophe Plus, L'","Office Supplies, Stationery and Accessories",2020/05/19,45.3800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2400
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/06/05,66.9600
Softchoice,Licencing/Maintenance for Client Software Related to Distributed Computing Environment (DCE),2020/06/05,3.3500
"ÉDITIONS MAIN STREET INC., LES",Advertising,2020/06/15,362.5000
"ÉDITIONS PRÉVOSTOISES, LES",Advertising,2020/06/18,570.0000
Journal Ski-Se-Dit,Advertising,2020/06/18,625.0000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/19,39.9800
cogeco,Cable and Internet Fees,2020/06/23,119.9500
Garde-manger des Pays d'en Haut,Advertising,2020/06/23,300.0000
"Info de la Lièvre, L'",Advertising,2020/06/24,490.0000
"Information du Nord, L'",Advertising,2020/06/24,1094.0000
JOURNAL ACCES,Advertising,2020/06/24,675.0000
Facebook,Advertising,2020/06/26,300.0000
Maison de la Famille des Pays-d'en-Haut,Advertising,2020/06/26,300.0000
Vidéotron,Cable and Internet Fees,2020/06/26,158.8500
IMPRIMERIE l'artographe,"Householders ",2020/06/29,8795.0000
Radio CFLO,Advertising,2020/06/29,771.2500
Caisse Desjardins du coeur des Hautes-Laurentides,Banking Fees and Cheque Orders,2020/06/30,8.9500
CAPJEM,Advertising,2020/06/30,300.0000
Distribution Falardeau inc.,Spring Water,2020/06/30,13.9000
"Richard, Stéphane",Subject Matter Expert,2020/06/30,180.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,158.9200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,105.5300
"Presse Touristique, La",Advertising,2020/07/01,1239.0000
GLC Audio Vidéo,"Office Supplies, Stationery and Accessories",2020/07/08,29.9800
Stereo Plus Mont-Laurier,Computer Equipment,2020/07/13,220.2400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,50.2900
La Société d'histoire et de généalogie des Hautes-Laurentides,Advertising,2020/07/15,300.0000
"Rencontre de Ste-Marguerite, La",Advertising,2020/07/15,300.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.8600
Cogeco,Cable and Internet Fees,2020/07/23,119.9500
Vidéotron,Cable and Internet Fees,2020/07/24,158.8500
Services de Développement Professionnels SDP inc.,Licence Renewal,2020/07/28,4750.0000
Caisse Desjardins du coeur des Hautes-Laurentides,Banking Fees and Cheque Orders,2020/07/31,8.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,195.9000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,158.9200
"Paradis, Genevieve",Office Rental and Related Fees,2020/08/01,1043.7100
"Placements FLP inc, Les",Office Rental and Related Fees,2020/08/01,1400.0000
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/08/03,17.9900
Promotions Innov,Promotional Items,2020/08/03,756.5000
HP Canada,Toner,2020/08/04,95.9900
Magasin Bell Mont-Laurier,Voice Communication Equipment,2020/08/05,53.9100
"Richard, Stéphane",Subject Matter Expert,2020/08/10,120.0000
Papeterie des Hautes-Rivières Inc,"Office Supplies, Stationery and Accessories",2020/08/14,23.2300
Bouffe dépannage de Sainte-Agathe-des-Monts,Advertising,2020/08/17,300.0000
"René Villemure, auteur","Printed Matter, Books, Newspapers and Subscriptions",2020/08/18,25.0000
Tigre Géant,"Office Supplies, Stationery and Accessories",2020/08/25,11.5200
9376-6558 Québec Inc,Public Meeting Room Rentals,2020/08/26,427.0000
Stérilisation 2008 senc.,Cleaning Products,2020/08/26,28.0000
StoneHaven Le Manoir,Public Meeting Room Rentals,2020/08/26,553.5100
Papeterie des Hautes-Rivières Inc,"Office Supplies, Stationery and Accessories",2020/08/28,9.9800
Groupe Performance Stratégique inc.,Research Consultants,2020/08/31,1000.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,118.1800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,158.9200
Papeterie des Hautes-Rivières Inc,"Office Supplies, Stationery and Accessories",2020/09/01,70.8400
Papeterie des Hautes-Rivières Inc,"Office Supplies, Stationery and Accessories",2020/09/01,5.5200
"Paradis, Genevieve",Office Rental and Related Fees,2020/09/01,1043.7100
"Placements FLP inc, Les",Office Rental and Related Fees,2020/09/01,1400.0000
Érablière Les 4 Printemps (2017),Equipment Rental (non-hospitality related),2020/09/14,130.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,10.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.3600
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,19.4900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
"Paradis, Genevieve",Office Rental and Related Fees,2020/10/01,1043.7100
"Placements FLP inc, Les",Office Rental and Related Fees,2020/10/01,1400.0000
