"Members – Detailed Travel Expenditures Report – Gazan, Leah – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203457,2020/06/30,2020/07/17,,,,,,,2032.7400,835.2600,349.8800,0.5000,1.5000,0,3217.8800
T0203457,2020/06/30,2020/07/17,"Gazan, Leah",Member,To travel to/from constituency and Ottawa,2020/06/30,Winnipeg,Ottawa,,,,,,,
T0203457,2020/06/30,2020/07/17,"Gazan, Leah",Member,To attend meetings about constituency issues,2020/07/13,Ottawa,Sault Ste. Marie,,,,,,,
T0203457,2020/06/30,2020/07/17,"Gazan, Leah",Member,To attend meetings about constituency issues,2020/07/14,Sault Ste. Marie,Thunder Bay,,,,,,,
T0203457,2020/06/30,2020/07/17,"Gazan, Leah",Member,To attend meetings about constituency issues,2020/07/17,Thunder Bay,Winnipeg,,,,,,,
T0203491,2020/07/11,2020/07/11,,,,,,,137.5300,0.0000,62.8300,0,1.0000,0,200.3600
T0203491,2020/07/11,2020/07/11,"Gazan, Leah",Member,To attend an event as a guest speaker,2020/07/11,Ottawa,Oka,,,,,,,
T0203491,2020/07/11,2020/07/11,"Gazan, Leah",Member,To attend an event as a guest speaker,2020/07/11,Oka,Ottawa,,,,,,,
200430716,2020/08/01,2020/08/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.0000
200430716,2020/08/01,2020/08/31,"Gazan, Leah",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437199,2020/09/01,2020/09/30,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.0000
200437199,2020/09/01,2020/09/30,"Gazan, Leah",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442060,2020/10/01,2020/10/31,,,,,,,0.0000,1600.0000,0.0000,0,0,0,1600.0000
200442060,2020/10/01,2020/10/31,"Gazan, Leah",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
