"Members – Detailed Contract Expenditures Report – Regan, Geoff – Q2 2021"
Supplier,Description,Date,Total
METRO GUIDE PUBLISHING,Advertising,2020/03/20,180.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,29.75
Nichent Energy Inc.,Consumable Items for Constituency Offices (COVID19),2020/06/03,280.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
EASTLINK,Cable and Internet Fees,2020/06/17,79.35
Boom12 Communications,Advertising,2020/06/19,359.95
EASTLINK,Cable and Internet Fees,2020/06/24,63.04
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.29
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,40.00
"Masthead News, The",Advertising,2020/07/05,135.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,24.93
EASTLINK,Cable and Internet Fees,2020/07/17,97.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.81
EASTLINK,Cable and Internet Fees,2020/07/24,63.04
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,225.36
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,127.45
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,185.29
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,55.75
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/08/01,2552.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
EASTLINK,Cable and Internet Fees,2020/08/24,63.04
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,185.29
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/09/01,2552.00
Canada Post – Postes Canada,Courier Services,2020/09/23,80.78
Canada Post – Postes Canada,Courier Services,2020/09/23,31.36
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/10/01,2552.00
