"Members – Detailed Contract Expenditures Report – Godin, Joël – Q2 2021"
Supplier,Description,Date,Total
PROMENADES SAINT-AUGUSTIN,Office Rental and Related Fees,2020/04/01,295.8800
JOURNAL.CA.INC.,Advertising,2020/04/06,415.0000
Association Nautique Lac Sergent,Advertising,2020/04/15,105.0000
Carrefour FM,Advertising,2020/04/26,200.0000
L'Arc-en-Ciel,Advertising,2020/04/26,200.0000
Lions de Sainte-Brigitte-de-Laval,Advertising,2020/04/26,200.0000
Le Halo,Advertising,2020/04/30,200.0000
Matinées Mères-Enfants,Advertising,2020/04/30,200.0000
Présence-Famille Saint-Augustin,Advertising,2020/04/30,200.0000
Société Saint-Vincent-de-Paul de Donnacona,Advertising,2020/04/30,200.0000
Société Saint-Vincent-de-Paul de Pont-Rouge,Advertising,2020/04/30,200.0000
Association des Propriétaires du Lac Sept-Îles,Advertising,2020/05/01,200.0000
PROMENADES SAINT-AUGUSTIN,Office Rental and Related Fees,2020/05/01,295.8800
2434-9169 Québec Inc.,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2020/05/08,110.0000
CJSR-La TCA de St-Raymond Inc.,Advertising,2020/05/11,500.0000
Service d'Entraide de Saint-Basile,Advertising,2020/05/14,200.0000
Vue de Neuville,Advertising,2020/05/17,400.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Morgan Communication Inc.,Constituency Mail,2020/05/31,1675.0000
"Dorval, Danyel",Janitorial Services and Maintenance,2020/06/01,170.0000
PROMENADES SAINT-AUGUSTIN,Office Rental and Related Fees,2020/06/01,295.8800
Chambre de commerce regionale,Advertising,2020/06/09,500.0000
Ville de Saint-Marc-des-Carrieres,Advertising,2020/06/10,350.0000
Mont Bel-AIR,Spring Water,2020/06/16,6.7500
Sani-Fontaines,Repair of Office Equipment,2020/06/19,29.0000
Cyberimpact,Professional Communication Services,2020/06/21,30.0000
Promutuel Assurance Portneuf-Champlain,Constituency Office Insurance,2020/06/26,576.0000
Videotron,Cable and Internet Fees,2020/06/26,200.6900
Mont Bel-Air,Spring Water,2020/06/29,13.5000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,96.2200
Grand & Toy,Office Equipment,2020/06/30,16.7300
ID Design,Professional Communication Services,2020/06/30,750.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,72.9700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,172.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Développement F.I. Sciences Inc.,Licence Renewal,2020/07/01,1485.0000
"Dorval, Danyel",Janitorial Services and Maintenance,2020/07/01,170.0000
PROMENADES SAINT-AUGUSTIN,Office Rental and Related Fees,2020/07/01,295.8800
Multimédias Région Portneuf,Advertising,2020/07/03,350.0000
CJS de Saint-Raymond -Saint-Léonard,Advertising,2020/07/06,200.0000
St-Hubert JulesVerne,Other Training and Conferences,2020/07/08,84.5300
Multimédias Région Portneuf,Advertising,2020/07/10,500.0000
Club de Golf des Pins Inc.,Advertising,2020/07/11,250.0000
Canadian Tire,Office Furniture and Fixtures,2020/07/13,199.9800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,262.9800
Mont Bel-Air,Spring Water,2020/07/14,6.7500
"BOUCLIER PRÉVENTION, LE",Advertising,2020/07/15,250.0000
LP-X-ACT Solutions inc.,Shredding,2020/07/15,39.0000
