"Members – Detailed Contract Expenditures Report – Johns, Gord – Q2 2021"
Supplier,Description,Date,Total
GFL Environmental Inc.,Janitorial Services and Maintenance,2019/07/31,102.06
Videotron,Internet (COVID19),2020/04/03,57.19
Fido,Internet (COVID19),2020/04/15,37.50
Universal Promotions,Promotional Items,2020/04/29,11100.00
Shaw Direct,Internet (COVID19),2020/05/02,63.00
Telus,Internet (COVID19),2020/05/05,153.75
Shaw Direct,Internet (COVID19),2020/05/06,85.60
FIDO,Internet (COVID19),2020/05/15,37.50
Black Press Group Ltd.,Advertising,2020/05/17,2125.80
Black Press Group Ltd.,Advertising,2020/05/17,255.25
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
BC HYDRO,Public Utilities,2020/05/28,51.13
Parks West buissness products,"Office Supplies, Stationery and Accessories",2020/05/29,45.90
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,262.04
Shaw Direct,Internet (COVID19),2020/06/02,64.20
Telus,Internet (COVID19),2020/06/05,158.55
Videotron,Internet (COVID19),2020/06/05,52.00
Currently Cumberland,Advertising,2020/06/06,50.00
Shaw Direct,Internet (COVID19),2020/06/06,85.60
Black Press Group Ltd.,Advertising,2020/06/14,214.75
Black Press Group Ltd.,Advertising,2020/06/15,204.25
Canada Post,Postage and Parcel Post,2020/06/15,27.72
Canada Post,Postage and Parcel Post,2020/06/15,16.04
Fido,Internet (COVID19),2020/06/15,37.50
Shaw Direct,Cable and Internet Fees,2020/06/17,154.03
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/20,59.98
Oceanside Janitorial,Janitorial Services and Maintenance,2020/06/23,100.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,98.50
BC HYDRO,Public Utilities,2020/06/26,55.35
Black Press Group Ltd.,Advertising,2020/06/28,463.25
Black Press Group Ltd.,Advertising,2020/06/28,154.75
NUU-CHAH-NULTH TRIBAL COUNCIL,Advertising,2020/06/28,110.00
GFL Environmental Inc.,Janitorial Services and Maintenance,2020/06/30,108.02
"Kyba, Paul",Subject Matter Expert,2020/06/30,2251.20
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,257.50
Shaw Direct,Internet (COVID19),2020/07/02,101.75
videotron,Internet (COVID19),2020/07/03,57.19
Black Press Group Ltd.,Advertising,2020/07/05,204.25
Black Press Group Ltd.,Advertising,2020/07/05,145.25
Black Press Group Ltd.,Advertising,2020/07/05,154.75
Black Press Group Ltd.,Advertising,2020/07/05,254.25
Telus,Internet (COVID19),2020/07/05,158.69
shaw,Internet (COVID19),2020/07/06,85.60
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,17.76
fido,Internet (COVID19),2020/07/15,37.50
Shaw Direct,Public Utilities,2020/07/17,154.03
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.13
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,71.84
Oceanside Janitorial,Janitorial Services and Maintenance,2020/07/24,100.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,142.68
BC HYDRO,Public Utilities,2020/07/28,52.48
GFL Environmental Inc.,Janitorial Services and Maintenance,2020/07/31,108.02
House of Commons – Chambre des communes,Language Training,2020/07/31,79.47
House of Commons – Chambre des communes,Language Training,2020/07/31,103.65
"Kyba, Paul",Subject Matter Expert,2020/07/31,2251.20
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2020/08/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2020/08/01,2000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,322.04
shaw,Internet (COVID19),2020/08/02,101.65
telus,Internet (COVID19),2020/08/05,158.70
shaw,Internet (COVID19),2020/08/06,85.60
Shaw Direct,Public Utilities,2020/08/17,154.03
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,25.28
Oceanside Janitorial Services,Janitorial Services and Maintenance,2020/08/25,150.00
Tuff City Radio,Advertising,2020/08/25,288.00
BC HYDRO,Public Utilities,2020/08/27,62.02
Currently Cumberland,Advertising,2020/08/31,50.00
GFL Environmental Inc.,Janitorial Services and Maintenance,2020/08/31,108.02
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2020/09/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2020/09/01,2000.00
"Kyba, Paul",Subject Matter Expert,2020/09/01,2251.20
Universal Promotions,Promotional Items,2020/09/01,2125.00
Videotron,Internet (COVID19),2020/09/04,57.19
"Albino, Reg",Communications Officer,2020/09/15,400.00
Canada Post – Postes Canada,Courier Services,2020/09/23,23.22
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,142.75
Alberni Valley Chamber of Commerce,Office Rental and Related Fees,2020/10/01,630.00
Bayview Strata & Rental Services,Office Rental and Related Fees,2020/10/01,2000.00
