"Members – Detailed Travel Expenditures Report – Hardie, Ken – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202543,2020/03/07,2020/03/07,,,,,,,1128.3700,0.0000,0.0000,0.5000,0,0,1128.3700
T0202543,2020/03/07,2020/03/07,"Hardie, Ken",Member,To travel to/from constituency and Ottawa,2020/03/07,Surrey,Ottawa,,,,,,,
T0202848,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.0000
T0202848,2020/06/01,2020/06/30,"Hardie, Ken",Member,Secondary Residence,2020/06/01,Gatineau,Gatineau,,,,,,,
T0203099,2020/06/20,2020/06/30,,,,,,,2297.2500,0.0000,0.0000,1.0000,0,0,2297.2500
T0203099,2020/06/20,2020/06/30,,Designated Traveller,To travel to/from constituency and Ottawa,2020/06/20,Ottawa,Surrey,,,,,,,
T0203099,2020/06/20,2020/06/30,,Designated Traveller,To travel to/from constituency and Ottawa,2020/06/30,Surrey,Ottawa,,,,,,,
T0203096,2020/06/20,2020/07/05,,,,,,,2451.8200,0.0000,0.0000,1.0000,0,0,2451.8200
T0203096,2020/06/20,2020/07/05,"Hardie, Ken",Member,To travel to/from constituency and Ottawa,2020/06/20,Ottawa,Surrey,,,,,,,
T0203096,2020/06/20,2020/07/05,"Hardie, Ken",Member,To travel to/from constituency and Ottawa,2020/07/05,Surrey,Ottawa,,,,,,,
T0202934,2020/06/26,2020/06/28,,,,,,,456.3200,260.2200,0.0000,0.5000,0,0,716.5400
T0202934,2020/06/26,2020/06/28,"Kananga, Kagi",Employee,To travel to/from constituency and Ottawa,2020/06/28,Ottawa,Surrey,,,,,,,
T0203614,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.0000
T0203614,2020/07/01,2020/07/31,"Hardie, Ken",Member,Secondary Residence,2020/07/01,Gatineau,Gatineau,,,,,,,
T0203094,2020/07/22,2020/08/21,,,,,,,0.0000,109.9200,0.0000,0,0,0,109.9200
T0203094,2020/07/22,2020/08/21,"Hardie, Ken",Member,Secondary Residence,2020/07/22,Gatineau,Gatineau,,,,,,,
T0204391,2020/07/31,2020/08/13,,,,,,,2301.3800,0.0000,0.0000,1.0000,0,0,2301.3800
T0204391,2020/07/31,2020/08/13,,Designated Traveller,To unite the family with the Member,2020/07/31,Ottawa,Surrey,,,,,,,
T0204391,2020/07/31,2020/08/13,,Designated Traveller,To unite the family with the Member,2020/08/13,Surrey,Ottawa,,,,,,,
T0204390,2020/07/31,2020/08/23,,,,,,,2390.7400,0.0000,0.0000,1.0000,0,0,2390.7400
T0204390,2020/07/31,2020/08/23,"Hardie, Ken",Member,To travel to/from constituency and Ottawa,2020/07/31,Ottawa,Surrey,,,,,,,
T0204390,2020/07/31,2020/08/23,"Hardie, Ken",Member,To travel to/from constituency and Ottawa,2020/08/23,Surrey,Ottawa,,,,,,,
T0204389,2020/08/01,2020/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.0000
T0204389,2020/08/01,2020/08/31,"Hardie, Ken",Member,Secondary Residence,2020/08/01,Gatineau,Gatineau,,,,,,,
T0203803,2020/08/22,2020/09/21,,,,,,,0.0000,109.9200,0.0000,0,0,0,109.9200
T0203803,2020/08/22,2020/09/21,"Hardie, Ken",Member,Secondary Residence,2020/08/22,Gatineau,Gatineau,,,,,,,
T0204736,2020/09/22,2020/10/21,,,,,,,0.0000,95.0800,0.0000,0,0,0,95.0800
T0204736,2020/09/22,2020/10/21,"Hardie, Ken",Member,Secondary Residence,2020/09/22,Gatineau,Gatineau,,,,,,,
