"Members – Detailed Contract Expenditures Report – Harris, Jack – Q2 2021"
Supplier,Description,Date,Total
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/01/17,27.9600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/14,27.9600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/13,27.9600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/10,27.9600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/08,27.9600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Bell Aliant,Cable and Internet Fees,2020/05/31,208.9000
Chabad of Newfoundland Inc,Advertising,2020/06/08,120.0000
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/06/11,39.9700
"BUSINESS POST, THE",Advertising,2020/06/16,176.0000
NORTHEAST AVALON TIMES,Advertising,2020/06/19,400.0000
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/06/23,37.9700
DICKS AND COMPANY LIMITED,Consumable Items for Constituency Offices (COVID19),2020/06/23,93.9500
Bell Aliant,Cable and Internet Fees,2020/06/30,231.8000
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/06/30,107.4700
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,48.5100
Pik-Fast Express Inc,Spring Water,2020/06/30,51.7500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,35.8000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,224.2500
Pik-Fast Express Inc.,Spring Water,2020/07/01,42.0000
SALTWIRE NETWORK INC.,Advertising,2020/07/04,398.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,103.0300
NORTHEAST AVALON TIMES,Advertising,2020/07/16,275.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.2500
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/07/27,62.9500
Bell Aliant,Cable and Internet Fees,2020/07/31,241.2300
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/07/31,145.9500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,19.2000
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,52.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,224.2500
ROHCAN INVESTMENTS LIMITED,Office Rental and Related Fees,2020/08/01,3266.1200
CANADIAN NETWORK BROADCASTING,Advertising,2020/08/05,1119.0000
DICKS AND COMPANY LIMITED,"Office Supplies, Stationery and Accessories",2020/08/12,18.9900
NORTHEAST AVALON TIMES,Advertising,2020/08/19,425.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,94.6300
Bell Aliant,Cable and Internet Fees,2020/08/31,241.2900
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,60.1000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,17.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,224.2500
ROHCAN INVESTMENTS LIMITED,Office Rental and Related Fees,2020/09/01,3266.1200
SALTWIRE NETWORK INC.,Advertising,2020/09/05,398.0000
Coast 1011 / CKSJ FM,Advertising,2020/09/07,825.0000
"BUSINESS POST, THE",Advertising,2020/09/11,104.5600
NORTHEAST AVALON TIMES,Advertising,2020/09/18,275.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.8400
Canada Post – Postes Canada,Courier Services,2020/09/23,107.8600
Canada Post – Postes Canada,Courier Services,2020/09/23,8.3200
ROHCAN INVESTMENTS LIMITED,Office Rental and Related Fees,2020/10/01,3266.1200
