"Members – Detailed Contract Expenditures Report – Jaczek, Helena – Q2 2021"
Supplier,Description,Date,Total
ALLEGRA MARKETING-PRINT-DESIGN,Promotional Items,2020/02/14,394.00
ALLEGRA MARKETING-PRINT-DESIGN,"Householders ",2020/05/15,4488.75
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Star Metroland Media,Advertising,2020/05/31,68.80
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
SNAPD MARKHAM,Advertising,2020/06/26,445.00
Star Metroland Media,Advertising,2020/06/28,931.20
Grand & Toy,Interconnecting Panel Systems and Supported Components,2020/06/30,1122.58
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,160.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
PRIMECONTACT INC.,Professional Communication Services,2020/07/07,689.50
Purolator,Courier Services,2020/07/10,4.01
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,34.71
MAPLEGLOBAL MEDICAL SUPPLY INC.,Consumable Items for Constituency Offices (COVID19),2020/07/17,1496.08
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.23
Grand & Toy,Office Furniture and Fixtures,2020/07/31,953.96
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,121.12
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,160.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.00
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/08/01,2409.51
Ipro Tech,Repair of Office Equipment,2020/08/13,695.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Canadian Tire,Moving Supplies,2020/08/14,21.99
"Royal Canadian Legion ",Equipment Rental (non-hospitality related),2020/08/15,200.00
Jenna Muirhead-Gould Photography,Photography and Video Services,2020/08/18,250.00
SNAPD MARKHAM,Advertising,2020/08/18,475.00
City of Markham,Signage,2020/08/19,100.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,160.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,38.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.00
NEWS REVIEW MEDIA INC.,Advertising,2020/09/01,845.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/09/01,2409.51
City of Markham,Signage,2020/09/07,144.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,144.43
ALLEGRA MARKETING-PRINT-DESIGN,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/14,337.50
ALLEGRA MARKETING-PRINT-DESIGN,Signage,2020/09/14,161.50
Canada Post – Postes Canada,Courier Services,2020/09/23,13.99
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/10/01,2409.51
