"Members – Detailed Contract Expenditures Report – Hoback, Randy – Q2 2021"
Supplier,Description,Date,Total
MPH Agency (7332319 CANADA LTD.),Professional Communication Services,2019/11/13,142.5000
Walmart,"Office Supplies, Stationery and Accessories",2020/02/12,29.6800
Prince Albert Council of Women,Advertising,2020/03/10,100.0000
"Constant Contact ",Professional Communication Services,2020/04/13,82.0000
CJVR,Advertising,2020/04/30,60.0000
CKJH,Advertising,2020/04/30,60.0000
Constant Contact,Professional Communication Services,2020/05/13,82.0000
shaw,Internet (COVID19),2020/05/22,49.9500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Nipawin Greenhouses,Gifts given as a matter of protocol,2020/05/26,35.4500
B & P Water Shop,Spring Water,2020/05/29,10.5000
CJVR a Div. of Jim Pattison Broadcast Group,Advertising,2020/05/31,620.0000
CKJH a Div. of Jim Pattison Broadcast Group,Advertising,2020/05/31,620.0000
Henry Buller,Janitorial Services and Maintenance,2020/05/31,110.0000
Henry Buller,Janitorial Services and Maintenance,2020/05/31,110.0000
MPH Agency (7332319 CANADA LTD.),Householders,2020/06/01,7261.6000
Accra Lock and Safe Co LTD,"Office Supplies, Stationery and Accessories",2020/06/04,25.4400
Prince Albert Alarm Systems,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/11,3020.6000
Prince Albert Alarm Systems,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/11,640.3500
Constant Contact,Professional Communication Services,2020/06/13,119.0000
amazon.ca,Office Equipment,2020/06/16,173.1600
SASKTEL,Monthly Phone Service,2020/06/16,110.2000
MPH Agency (7332319 CANADA LTD.),Professional Communication Services,2020/06/17,595.0000
Novus Law Groups,Public Utilities,2020/06/17,507.0700
Cowan Imaging Group,Professional Communication Services,2020/06/18,1938.7400
"Lalli, Michael",Web Site Hosting/Domain Name,2020/06/19,750.0000
Sask Energy,Public Utilities,2020/06/22,55.4500
SaskPower,Public Utilities,2020/06/22,68.9000
FedEx,Courier Services,2020/06/23,31.8000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,115.2600
Shaw Business,Cable and Internet Fees,2020/06/24,243.5900
Henry Buller,Janitorial Services and Maintenance,2020/06/28,110.0000
Henry Buller,Janitorial Services and Maintenance,2020/06/28,110.0000
CO-OP Pineland,"Office Supplies, Stationery and Accessories",2020/06/29,6.8800
CJVR a Div. of Jim Pattison Broadcast Group,Advertising,2020/06/30,320.0000
CKJH a Div. of Jim Pattison Broadcast Group,Advertising,2020/06/30,320.0000
Humboldt Journal,Advertising,2020/06/30,295.0000
Jim Pattison Broadcast Group,Advertising,2020/06/30,500.0000
Prince Albert Daily Herald,Advertising,2020/06/30,300.0000
TELUS Communications Inc.,Voice and Data Plan for Mobile Devices,2020/06/30,41.1500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,21.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,235.6100
P.A. Shopper (Adgraphics Ltd.),Advertising,2020/07/01,114.0000
Canadian Linen and Uniform Services,Janitorial Services and Maintenance,2020/07/07,21.2000
