"Members – Detailed Contract Expenditures Report – Holland, Mark – Q2 2021"
Supplier,Description,Date,Total
Facebook,Advertising,2020/04/11,150.0000
Facebook,Advertising,2020/05/11,200.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,65.0000
Envoy Business Services,Constituency Mail,2020/06/05,4125.0000
Rogers,Cable and Internet Fees,2020/06/09,89.9900
Facebook,Advertising,2020/06/11,400.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Zoom,Licence Renewal,2020/06/25,20.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,490.8200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,148.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,65.0000
Apex Glass and Mirror,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/13,1741.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,1.6600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.3200
1363669 ONTARIO INC,Office Rental and Related Fees,2020/08/01,3384.9600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,125.8400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,148.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,65.0000
Rogers,Cable and Internet Fees,2020/08/02,179.9800
Amazon,Consumable Items for Constituency Offices (COVID19),2020/08/04,418.9600
Molly Maid,Janitorial Services and Maintenance,2020/08/12,79.6500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Molly Maid,Janitorial Services and Maintenance,2020/08/26,79.6500
Molly Maid,Janitorial Services and Maintenance,2020/08/26,79.6500
1363669 ONTARIO INC,Office Rental and Related Fees,2020/09/01,3384.9600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,148.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,48.1200
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,352.3200
Canada Post – Postes Canada,Courier Services,2020/09/23,20.8900
Canada Post – Postes Canada,Courier Services,2020/09/23,0.3700
1363669 ONTARIO INC,Office Rental and Related Fees,2020/10/01,3384.9600
