"Members – Detailed Contract Expenditures Report – Hutchings, Gudie – Q2 2021"
Supplier,Description,Date,Total
SALTWIRE NETWORK INC.,Advertising,2020/03/07,185.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2400
Deer Lake Regional Airport Authority inc.,Advertising,2020/06/01,2250.0000
Bell Aliant,Cable and Internet Fees,2020/06/03,418.8500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,40.9200
Staples Canada,Toner,2020/06/27,92.9900
Grand & Toy,Cleaning Products,2020/06/30,31.8900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,44.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,299.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Bell Aliant,Cable and Internet Fees,2020/07/03,418.8500
Bell,Internet (COVID19),2020/07/11,60.9500
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,108.9200
DRL,Courier Services,2020/07/13,25.0000
DRL,Courier Services,2020/07/13,25.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,416.1600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.2800
"Digital Outdoor Media, Inc",Advertising,2020/07/20,550.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/21,2010.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,28.2400
Digital Advertising Solutions,Advertising,2020/07/31,1467.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,299.9400
Grand & Toy,"Freight, Express and Cartage",2020/07/31,10.5000
Pafford Glass and Aluminum (2017) Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/31,1235.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,85.3400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,299.0000
BEYOND THE PALE INC,Office Rental and Related Fees,2020/08/01,1769.9100
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/08/01,900.0000
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/08/01,400.0000
Bell Aliant,Cable and Internet Fees,2020/08/03,386.4400
Bell,Internet (COVID19),2020/08/11,60.9500
Byrnes Shoes & Sportswear Ltd,Advertising,2020/08/13,2830.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,2.0400
PAB & AREA CHAMBER OF COMMERCE,Advertising,2020/08/28,240.0000
Town of Stephenville,"Office Rentals, Taxes, Common Area Fees",2020/08/29,428.7400
Digital Advertising Solutions,Advertising,2020/08/31,997.0500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,22.4000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,299.0000
BEYOND THE PALE INC,Office Rental and Related Fees,2020/09/01,1769.9100
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/09/01,900.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/09/01,400.0000
Bell Aliant,Cable and Internet Fees,2020/09/03,421.1000
Coastal Glass Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/03,1425.0000
Pafford Glass and Aluminum (2017) Ltd.,Cleaning Products,2020/09/10,20.0000
Scott`s Autobody & Repairs Ltd.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/11,450.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,41.6100
Shears Building Supplies Ltd,Office Furniture and Fixtures,2020/09/23,79.4700
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,16.9100
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,59.8800
BEYOND THE PALE INC,Office Rental and Related Fees,2020/10/01,1769.9100
Byrnes Shoes & Sportswear Ltd,Office Rental and Related Fees,2020/10/01,900.0000
SFP ENTERPRISES LIMITED,Office Rental and Related Fees,2020/10/01,400.0000
