"Members – Detailed Contract Expenditures Report – Khalid, Iqra – Q2 2021"
Supplier,Description,Date,Total
YOUNGS INSURANCE BROKERS INC.,Constituency Office Insurance,2020/04/01,1675.00
URDU TIMES CANADA LTD.,Advertising,2020/04/08,200.00
Pakistan News Inc.,Advertising,2020/04/25,200.00
"Waste Management ",Public Utilities,2020/04/27,72.66
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,725.15
ETHNIC MEDIA INC.,Advertising,2020/05/26,250.00
Waste Management,Public Utilities,2020/05/26,71.53
Mailchimp,Professional Communication Services,2020/06/01,74.99
Media Market Canada Inc.,Advertising,2020/06/01,350.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
Bell,Cable and Internet Fees,2020/06/05,160.32
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Ultimate Construction & Contracting,Office Renovations,2020/06/19,16825.84
Ultimate Construction & Contracting,Office Renovations,2020/06/24,12455.00
"Waste Management ",Public Utilities,2020/06/25,72.29
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,196.77
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,248.00
CANADIAN ASIAN NEWS INC.,Advertising,2020/07/01,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.79
Tony Displays Inc,Promotional Items,2020/07/01,1855.00
Urdu Post Inc.,Advertising,2020/07/02,200.00
ZR Printing & Graphics Inc.,"Householders ",2020/07/03,3100.11
Mailchimp,Professional Communication Services,2020/07/04,74.99
Pakistan News Inc.,Advertising,2020/07/06,200.00
PRIMECONTACT INC.,Professional Communication Services,2020/07/07,649.97
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.24
Toshiba Business Solutions,Repair of Computer Equipment and Peripherals,2020/07/22,59.20
URDU Khabarnama Inc.,Advertising,2020/07/30,250.00
CANADIAN ASIAN NEWS INC.,Advertising,2020/07/31,250.00
Urdu Post Inc.,Advertising,2020/07/31,200.00
2725312 Canada Inc.,Office Rental and Related Fees,2020/08/01,3269.47
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,248.00
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,3.12
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,130.30
Mailchimp,Professional Communication Services,2020/08/01,74.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.79
Pakistan News Inc,Advertising,2020/08/04,200.00
Bell,Public Utilities,2020/08/05,60.75
AKHBAAR E PAKISTAN INC.,Advertising,2020/08/07,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Enbridge,Public Utilities,2020/08/14,72.39
Alectra,Public Utilities,2020/08/17,174.06
Waste Management,Public Utilities,2020/08/25,241.55
2725312 Canada Inc.,Office Rental and Related Fees,2020/09/01,3269.47
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,114.81
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,248.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Alectra,Public Utilities,2020/09/15,145.13
Enbridge,Public Utilities,2020/09/15,72.97
Costco,Consumable Items for Constituency Offices (COVID19),2020/09/16,243.35
Canada Post – Postes Canada,Courier Services,2020/09/23,7.61
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,9.02
Canada Post – Postes Canada,Courier Services,2020/09/23,5.62
Canada Post – Postes Canada,Courier Services,2020/09/23,15.16
Canada Post – Postes Canada,Courier Services,2020/09/23,5.48
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,227.17
2725312 Canada Inc.,Office Rental and Related Fees,2020/10/01,3269.47
