"Members – Detailed Contract Expenditures Report – Kusmierczyk, Irek – Q2 2021"
Supplier,Description,Date,Total
Lacasse spg,Signage,2020/03/30,1060.00
BIZ X MAGAZINE,Advertising,2020/05/11,200.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Cogeco Connexion inc.,Cable and Internet Fees,2020/05/29,94.95
Easy DNS,Web Site Hosting/Domain Name,2020/06/10,165.13
ENWIN,Public Utilities,2020/06/10,18.40
ENWIN,Public Utilities,2020/06/10,43.91
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/29,94.95
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,126.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/07/03,193.09
BELL CANADA,Monthly Phone Service,2020/07/04,79.90
"Vachon, John-Marc",Professional Communication Services,2020/07/05,150.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/08,66.01
ENWIN,Public Utilities,2020/07/09,46.38
Windsor Pure & Clean H2O to go!,Spring Water,2020/07/09,22.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,31.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.56
Alpha Pro,Janitorial Services and Maintenance,2020/07/21,200.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/29,94.95
Grand & Toy,Office Furniture and Fixtures,2020/07/31,570.24
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,5.52
2211342 Ont Inc,Office Rental and Related Fees,2020/08/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,105.26
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,126.00
BELL CANADA,Monthly Phone Service,2020/08/04,39.95
ENWIN,Public Utilities,2020/08/04,108.12
Essex Country Locksmiths,Office Renovations,2020/08/06,150.00
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/07,88.28
ENWIN,Public Utilities,2020/08/11,136.69
ENWIN,Public Utilities,2020/08/11,46.28
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Best Buy,Office Furniture and Fixtures,2020/08/28,499.99
Best Buy,Appliances,2020/08/28,79.99
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/29,94.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,85.62
Grand & Toy,Cleaning Products,2020/08/31,56.18
Grand & Toy,Bulk Paper Purchases,2020/08/31,108.40
2211342 Ont Inc,Office Rental and Related Fees,2020/09/01,1500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,69.15
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,126.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
MNSi Telecom,Internet (COVID19),2020/09/01,80.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Canada Post – Postes Canada,Courier Services,2020/09/23,14.37
2211342 Ont Inc,Office Rental and Related Fees,2020/10/01,1500.00
