"Members – Detailed Contract Expenditures Report – Jaczek, Helena – Q2 2021"
Supplier,Description,Date,Total
ALLEGRA MARKETING-PRINT-DESIGN,Promotional Items,2020/02/14,394.0000
ALLEGRA MARKETING-PRINT-DESIGN,"Householders ",2020/05/15,4488.7500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Star Metroland Media,Advertising,2020/05/31,68.8000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
SNAPD MARKHAM,Advertising,2020/06/26,445.0000
Star Metroland Media,Advertising,2020/06/28,931.2000
Grand & Toy,Interconnecting Panel Systems and Supported Components,2020/06/30,1122.5800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,160.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
PRIMECONTACT INC.,Professional Communication Services,2020/07/07,689.5000
Purolator,Courier Services,2020/07/10,4.0100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,34.7100
MAPLEGLOBAL MEDICAL SUPPLY INC.,Consumable Items for Constituency Offices (COVID19),2020/07/17,1496.0800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.2300
Grand & Toy,Office Furniture and Fixtures,2020/07/31,953.9600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,121.1200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,160.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.0000
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/08/01,2409.5100
Ipro Tech,Repair of Office Equipment,2020/08/13,695.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Canadian Tire,Moving Supplies,2020/08/14,21.9900
"Royal Canadian Legion ",Equipment Rental (non-hospitality related),2020/08/15,200.0000
Jenna Muirhead-Gould Photography,Photography and Video Services,2020/08/18,250.0000
SNAPD MARKHAM,Advertising,2020/08/18,475.0000
City of Markham,Signage,2020/08/19,100.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,160.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,38.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
NEWS REVIEW MEDIA INC.,Advertising,2020/09/01,845.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/09/01,2409.5100
City of Markham,Signage,2020/09/07,144.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,144.4300
ALLEGRA MARKETING-PRINT-DESIGN,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/14,337.5000
ALLEGRA MARKETING-PRINT-DESIGN,Signage,2020/09/14,161.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,13.9900
Tremont Holdings (Markham) Inc.,Office Rental and Related Fees,2020/10/01,2409.5100
