"Members – Detailed Contract Expenditures Report – Cumming, James – Q2 2021"
Supplier,Description,Date,Total
Rogers Cable,Internet (COVID19),2020/06/01,84.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,219.75
Edmonton Jewish News,Advertising,2020/06/09,323.13
TELUS Communications Inc.,Cable and Internet Fees,2020/06/10,95.00
Canada Post,Postage and Parcel Post,2020/06/11,21.60
One to One Mailing,External Printing Costs,2020/06/19,4553.26
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,225.29
CANADA JEWISH PIPELINE,Advertising,2020/07/04,225.00
Just Junk,Janitorial Services and Maintenance,2020/07/07,478.00
EPCOR,Public Utilities,2020/07/10,274.96
TELUS Communications Inc.,Cable and Internet Fees,2020/07/10,97.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,57.55
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.12
Oil City Signs Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/20,457.85
Direct Energy Regulated Services,Public Utilities,2020/07/28,49.88
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/30,117.56
Grand & Toy,Bulk Paper Purchases,2020/07/31,44.70
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,220.04
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,0.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,235.54
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/08/01,3373.93
EPCOR,Public Utilities,2020/08/11,350.43
Liberty Security Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/16,167.97
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/09/01,3373.93
EPCOR,Public Utilities,2020/09/10,277.99
Canada Post – Postes Canada,Courier Services,2020/09/23,53.18
Canada Post – Postes Canada,Courier Services,2020/09/30,24.82
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/10/01,3373.93
