"Members – Detailed Contract Expenditures Report – Schmale, Jamie – Q2 2021"
Supplier,Description,Date,Total
Home Hardware,"Office Supplies, Stationery and Accessories",2020/05/23,4.99
My Broadcasting Corp.,Advertising,2020/05/31,249.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,25.50
DVINE Laboratories,Consumable Items for Constituency Offices (COVID19),2020/06/10,344.88
HOOTSUITE,Professional Communication Services,2020/06/11,71.06
RBC,Banking Fees and Cheque Orders,2020/06/12,15.95
RBC,Banking Fees and Cheque Orders,2020/06/12,56.27
RBC,Banking Fees and Cheque Orders,2020/06/12,15.95
Amazon,Computer Equipment,2020/06/15,128.99
Cogeco,Cable and Internet Fees,2020/06/22,193.92
"Hydro One ",Public Utilities,2020/06/22,83.14
"Hydro One ",Public Utilities,2020/06/22,93.95
"Costco Wholesale ",Consumable Items for Constituency Offices (COVID19),2020/06/25,19.99
Haliburton County Echo,Advertising,2020/06/25,125.00
"The Highlander ",Advertising,2020/06/25,49.00
The Standard News Corp.,Advertising,2020/06/25,180.00
Fireside Publishing House,Advertising,2020/06/26,210.00
Star Metroland Media,Advertising,2020/06/28,398.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,72.85
Grand & Toy,Digital Communication Equipment,2020/06/30,108.95
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/06/30,250.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,194.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,43.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,21.25
Zoom Video Communications Inc.,Professional Communication Services,2020/07/01,186.00
"Computer Smart ",Repair of Computer Equipment and Peripherals,2020/07/03,140.00
KAWARTHA BUSINESS EQUIPMENT LTD.,Photocopier Rental and Related Costs,2020/07/08,595.75
Bulldog Apparel Ltd.,Consumable Items for Constituency Offices (COVID19),2020/07/09,108.00
"McLaughlin Plaza ",Public Utilities,2020/07/09,51.58
Hootsuite,Professional Communication Services,2020/07/11,71.06
The Millbrook Times,Advertising,2020/07/13,180.00
"Staples ","Office Supplies, Stationery and Accessories",2020/07/15,36.97
"Staples ",Computer Equipment,2020/07/15,189.98
"Staples ",Computer Equipment,2020/07/15,99.99
"Kawartha Promoter, The",Advertising,2020/07/16,50.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,9.10
"Canadian Tire ","Office Supplies, Stationery and Accessories",2020/07/18,110.93
Amazon,Photographic Equipment,2020/07/20,42.50
Wood Contracting,Office Renovations,2020/07/21,3700.00
Bulldogg Apparel Ltd,Advertising,2020/07/22,1122.75
"COGECO ",Cable and Internet Fees,2020/07/22,193.92
Hydro One,Public Utilities,2020/07/22,113.84
"Hydro One ",Public Utilities,2020/07/22,43.59
Andrea Coombs,Writer,2020/07/23,300.00
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/07/24,44.99
"The Globe and Mail ","Printed Matter, Books, Newspapers and Subscriptions",2020/07/24,27.96
GO DADDY,Web Site Hosting/Domain Name,2020/07/28,50.48
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,15.92
Grand & Toy,Bulk Paper Purchases,2020/07/31,134.10
"Shred - It ",Shredding,2020/07/31,113.30
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/07/31,200.00
1023283 ONTARIO INC.,Office Rental and Related Fees,2020/08/01,1700.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,194.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,48.00
"Ottawa Sun ","Printed Matter, Books, Newspapers and Subscriptions",2020/08/01,59.99
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.79
"Toronto Sun ","Printed Matter, Books, Newspapers and Subscriptions",2020/08/01,59.99
ZOOM,Licence Renewal,2020/08/01,186.00
"Canadian Tire ","Office Supplies, Stationery and Accessories",2020/08/03,108.95
BELL CANADA,Cable and Internet Fees,2020/08/06,213.80
Mariposa Electric Ltd.,Janitorial Services and Maintenance,2020/08/06,75.00
Dollarama,"Office Supplies, Stationery and Accessories",2020/08/10,6.55
Hootsuite,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/11,69.66
"Staples Canada ",Computer Equipment,2020/08/14,149.99
"Walmart ","Office Supplies, Stationery and Accessories",2020/08/15,6.81
Hydro One,Public Utilities,2020/08/21,100.33
"Hydro One ",Public Utilities,2020/08/21,57.85
TRI CARE CLEANING SPECIALISTS SANITATION SUPPLIES,Janitorial Services and Maintenance,2020/08/29,250.00
Shred-it,Shredding,2020/08/31,115.22
1023283 ONTARIO INC.,Office Rental and Related Fees,2020/09/01,1700.00
