"Members – Detailed Contract Expenditures Report – Duclos, Jean-Yves – Q2 2021"
Supplier,Description,Date,Total
Entretien Capital Inc.,Janitorial Services and Maintenance,2020/02/01,258.46
Entretien Capital Inc.,Janitorial Services and Maintenance,2020/03/01,258.46
SOCIÉTÉ DE SAINT-VINCENT DE PAUL DE QUÉBEC,Advertising,2020/04/01,250.00
CKRL,Advertising,2020/04/04,500.00
Centre Jacques-Cartier,Advertising,2020/04/07,250.00
Service D'Entraide Basse-Ville inc.,Advertising,2020/04/09,250.00
BELL CANADA,Cable and Internet Fees,2020/04/13,91.00
Lauberiviere,Advertising,2020/04/17,250.00
Conférence Saint-Jean-Baptiste (Sainte-Geneviève),Advertising,2020/04/18,250.00
PATRO LAVAL,Advertising,2020/04/21,250.00
Benevolat St-Sacrement,Advertising,2020/04/30,300.00
Éditions du Joyeux-Drille Inc.,Advertising,2020/05/01,375.00
Xtube Multimedia,Advertising,2020/05/01,360.00
JOURNAL.CA.INC.,Advertising,2020/05/04,593.00
"IMMIGRANTS DE LA CAPITALE, LES",Advertising,2020/05/12,459.00
BELL CANADA,Cable and Internet Fees,2020/05/13,126.00
Métro Média,Advertising,2020/05/16,840.00
Kerry Ann King,"Office Supplies, Stationery and Accessories",2020/05/23,104.00
Éditions du Joyeux-Drille Inc.,Advertising,2020/05/25,375.00
Québec Infor,Repair of Computer Equipment and Peripherals,2020/05/25,250.00
Groupe Polyalto,Consumable Items for Constituency Offices (COVID19),2020/05/29,175.00
Groupe Polyalto,Freight,2020/05/29,21.85
Métro Média,Advertising,2020/05/30,840.00
Facebook,Advertising,2020/05/31,106.82
Indigo,"Office Rentals, Taxes, Common Area Fees",2020/06/01,125.25
Mont Bélair,Spring Water,2020/06/03,13.50
Éditions du Joyeux-Drille Inc.,Advertising,2020/06/10,375.00
Mont Bélair,Spring Water,2020/06/10,6.75
BELL CANADA,Cable and Internet Fees,2020/06/13,126.00
Métro Média,Advertising,2020/06/13,400.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
LUSSIER DALE PARIZEAU,Constituency Office Insurance,2020/06/22,928.00
Groupe Polyalto,Consumable Items for Constituency Offices (COVID19),2020/06/23,390.08
Mi-Ro,External Printing Costs,2020/06/23,515.20
Mi-Ro,External Printing Costs,2020/06/23,434.00
Mont Bélair,Spring Water,2020/06/23,23.50
Facebook,Advertising,2020/06/30,205.22
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,23.39
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,74.85
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,150.27
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,242.30
CKRL,Advertising,2020/07/01,300.00
Entretien Capital Inc.,Janitorial Services and Maintenance,2020/07/01,265.23
Indigo,"Office Rentals, Taxes, Common Area Fees",2020/07/01,125.25
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Éditions du Joyeux-Drille Inc.,Advertising,2020/07/07,375.00
GardaWorld Systèmes de sécurité,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/07/07,136.68
Postes Canada,Postage and Parcel Post,2020/07/07,199.00
Mont Bélair,Spring Water,2020/07/08,13.50
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,351.40
"BOUCLIER PRÉVENTION, LE",Advertising,2020/07/15,500.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.91
Ameublement Tanguay,Appliances,2020/07/21,499.99
NGP VAN,Professional Communication Services,2020/07/21,540.00
Mont Bélair,Spring Water,2020/07/22,13.50
Sonia P.,"Office Supplies, Stationery and Accessories",2020/07/23,336.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,242.30
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,30.10
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,31.40
Édifice 605 Saint-Joseph Inc.,Office Rental and Related Fees,2020/08/01,3644.20
Entretien Capital Inc.,Janitorial Services and Maintenance,2020/08/01,265.23
GardaWorld Systèmes de sécurité,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,131.70
Éditions du Joyeux-Drille Inc.,Advertising,2020/08/11,375.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/08/28,200.88
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/31,43.87
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,683.95
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/01,169.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,262.30
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,39.00
Édifice 605 Saint-Joseph Inc.,Office Rental and Related Fees,2020/09/01,3644.20
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,351.63
Canada Post – Postes Canada,Courier Services,2020/09/23,8.17
Canada Post – Postes Canada,Courier Services,2020/09/23,16.22
Canada Post – Postes Canada,Courier Services,2020/09/23,8.52
Canada Post – Postes Canada,Courier Services,2020/09/23,38.42
Canada Post – Postes Canada,Courier Services,2020/09/23,24.58
Canada Post – Postes Canada,Courier Services,2020/09/23,87.78
Canada Post – Postes Canada,Courier Services,2020/09/23,6.06
Canada Post – Postes Canada,Courier Services,2020/09/23,8.54
Édifice 605 Saint-Joseph Inc.,Office Rental and Related Fees,2020/10/01,3644.20
