"Members – Detailed Contract Expenditures Report – Atwin, Jenica – Q2 2021"
Supplier,Description,Date,Total
"Ville Cooperative, The",Public Meeting Room Rentals,2020/05/01,2400.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
brunswick news inc,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/29,25.99
dwx factory inc,"Office Supplies, Stationery and Accessories",2020/06/03,153.93
New Brunswick Deaf & Hard of Hearing Services Inc.,Captioning and Interpretation Services,2020/06/03,280.00
Acadie Nouvelle,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/05,12.95
Staples,"Office Supplies, Stationery and Accessories",2020/06/05,29.99
CJPN,Advertising,2020/06/09,460.00
Capital FM 106.9,Advertising,2020/06/15,260.00
Capital FM 106.9,Advertising,2020/06/21,78.00
Optimum translation,Professional Communication Services,2020/06/24,65.00
Optimum Translation,Translation Services,2020/06/24,65.00
Brunswick News,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/29,25.99
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,141.44
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,35.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.53
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/07/01,45.01
Capital FM 106.9,Advertising,2020/07/01,78.00
Arpeggio Health Services,Other Training and Conferences,2020/07/02,209.00
Acadie Nouvelle,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/05,12.95
Zoom,Licence Renewal,2020/07/05,20.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.20
Brunswick News,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/29,25.99
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,23.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,94.53
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,47.80
Acadie Nouvelle,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/05,12.95
zoom,Licence Renewal,2020/08/05,20.00
Capital FM 106.9,Advertising,2020/08/15,78.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,40.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,94.53
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,22.30
Canada Post – Postes Canada,Courier Services,2020/09/23,19.83
Canada Post – Postes Canada,Courier Services,2020/09/23,19.43
