"Members – Detailed Contract Expenditures Report – Carr, Jim – Q2 2021"
Supplier,Description,Date,Total
BENCHMARK ADVERTISING LTD.,Advertising,2020/05/01,170.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
BELLMTS,Cable and Internet,2020/05/28,64.15
BELLMTS,Cable and Internet Fees,2020/06/01,96.25
BELLMTS,Cable and Internet Fees,2020/06/01,96.25
Benchmark Advertising Ltd,Advertising,2020/06/01,170.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,29.75
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/01,280.00
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/05,201.00
CANADA POST,"Office Supplies, Stationery and Accessories",2020/06/15,6.94
UPS STORE,"Office Supplies, Stationery and Accessories",2020/06/15,6.41
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
WellnessNews,Advertising,2020/06/19,240.00
Winnipeg Free Press,Advertising,2020/06/21,187.53
Molave Publishing Company Inc.,Advertising,2020/06/23,110.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,12.08
JEWISH POST & NEWS,Advertising,2020/06/24,278.00
BELLMTS,Cable and Internet,2020/06/28,64.15
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/29,280.00
Grand & Toy,Interconnecting Panel Systems and Supported Components,2020/06/30,247.95
Grand & Toy,Office Furniture and Fixtures,2020/06/30,1105.20
Grand & Toy,Office Equipment,2020/06/30,1733.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,175.81
AAA ALARM SYSTEMS LTD.,Cable and Internet Fees,2020/07/01,96.75
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,124.62
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,170.00
BISON JANITORIAL SERVICES LTD.,Janitorial Services and Maintenance,2020/07/01,307.13
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.75
WINNIPEG JEWISH REVIEW,Advertising,2020/07/02,275.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,52.43
Guppy Graphic Design Ltd.,Professional Communication Services,2020/07/16,288.90
"Sign Source LTD, The",Advertising,2020/07/17,172.50
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.04
CANADIAN TIRE,Consumable Items for Constituency Offices (COVID19),2020/07/18,25.66
Tuxedo Tennis Club,Advertising,2020/07/20,300.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,6.04
PRINCESS AUTO,"Office Supplies, Stationery and Accessories",2020/07/24,16.04
MOXLEYS KEYS,"Office Supplies, Stationery and Accessories",2020/07/27,8.03
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/07/27,280.00
Jason Abraham Sign & Design,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/28,551.05
Grand & Toy,Office Furniture and Fixtures,2020/07/31,707.76
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,13.32
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,137.32
BELLMTS,Cable and Internet Fees,2020/08/01,96.25
BENCHMARK ADVERTISING LTD.,Advertising,2020/08/01,170.00
BISON JANITORIAL SERVICES LTD.,Janitorial Services and Maintenance,2020/08/01,307.13
DONEVE HOLDINGS,Office Rental and Related Fees,2020/08/01,3262.33
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,49.75
WINNIPEG JEWISH REVIEW,Advertising,2020/08/05,125.00
APPLE POLO PARK,"Office Supplies, Stationery and Accessories",2020/08/13,41.94
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,6.18
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/08/24,280.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,137.32
BENCHMARK ADVERTISING LTD.,Advertising,2020/09/01,170.00
DONEVE HOLDINGS,Office Rental and Related Fees,2020/09/01,3262.33
NGP VAN,Professional Communication Services,2020/09/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Winnipeg Free Press,Advertising,2020/09/06,206.26
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/21,1465.00
Canada Post – Postes Canada,Courier Services,2020/09/23,10.12
Canada Post – Postes Canada,Courier Services,2020/09/23,16.00
Canada Post – Postes Canada,Courier Services,2020/09/23,14.41
Canada Post – Postes Canada,Courier Services,2020/09/23,20.59
Canada Post – Postes Canada,Courier Services,2020/09/23,16.23
Canada Post – Postes Canada,Courier Services,2020/09/23,68.33
Canada Post – Postes Canada,Courier Services,2020/09/23,11.21
Canada Post – Postes Canada,Courier Services,2020/09/23,16.00
Canada Post – Postes Canada,Courier Services,2020/09/23,10.32
Canada Post – Postes Canada,Courier Services,2020/09/23,9.29
DONEVE HOLDINGS,Office Rental and Related Fees,2020/10/01,3262.33
