"Members – Detailed Contract Expenditures Report – Wilson-Raybould, Jody – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shaw Business,Cable and Internet Fees,2020/06/03,73.23
shaw,Cable and Internet Fees,2020/06/04,112.35
Telus Communications,Monthly Phone Service,2020/06/14,55.78
Shaw Business,Cable and Internet Fees,2020/06/16,362.01
First Nations Drum,Advertising,2020/06/19,510.00
Shoppers Drug Mart,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/20,18.00
"GEORGIA STRAIGHT, THE",Advertising,2020/06/25,315.00
Mailchimp,Professional Communication Services,2020/06/27,69.09
MING PAO NEWSPAPERS (CANADA) LTD,Advertising,2020/06/29,312.80
Postmedia Network Inc.,Advertising,2020/06/30,350.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/07/01,25.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,199.65
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,78.67
Shaw Cablesystems Inc,Cable and Internet Fees,2020/07/03,56.46
shaw,Cable and Internet Fees,2020/07/04,105.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,9.11
Telus,Monthly Phone Service,2020/07/14,55.78
Shaw Business,Cable and Internet Fees,2020/07/16,152.66
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.69
Mailchimp,Professional Communication Services,2020/07/27,67.73
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,195.76
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,40.00
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/01,495.93
VALUE PROPERTY CENTRE INC­.,Office Rental and Related Fees,2020/08/01,6791.67
Shaw Business,Cable and Internet Fees,2020/08/03,72.08
Shaw,Cable and Internet,2020/08/04,107.00
GoDaddy,Web Site Hosting/Domain Name,2020/08/14,367.35
TELUS Communications,Monthly Phone Service,2020/08/14,55.78
Shaw Business,Cable and Internet Fees,2020/08/16,167.94
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,128.87
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,70.73
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,197.28
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,61.74
VALUE PROPERTY CENTRE INC­.,Office Rental and Related Fees,2020/09/01,6791.67
Mailchimp,Professional Communication Services,2020/09/03,65.97
Shaw Business,Cable and Internet,2020/09/03,72.08
Shaw,Cable and Internet,2020/09/04,107.00
Siteground,Web Site Hosting/Domain Name,2020/09/04,404.01
"Cho, Sid",Professional Communication Services,2020/09/08,1165.00
"Telus ",Monthly Phone Service,2020/09/14,55.78
Shaw Business,Cable and Internet Fees,2020/09/16,167.94
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,141.20
Canada Post – Postes Canada,Courier Services,2020/09/23,9.20
Canada Post – Postes Canada,Courier Services,2020/09/23,26.27
Canada Post – Postes Canada,Courier Services,2020/09/23,10.97
Canada Post – Postes Canada,Courier Services,2020/09/23,31.46
VALUE PROPERTY CENTRE INC­.,Office Rental and Related Fees,2020/10/01,6791.67
