"Members – Detailed Travel Expenditures Report – Nater, John – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202942,2020/05/20,2020/06/20,,,,,,,0.0000,54.4900,0.0000,0,0,0,54.49
T0202942,2020/05/20,2020/06/20,"Nater, John",Member,Secondary Residence,2020/05/20,Ottawa,Ottawa,,,,,,,
T0202864,2020/06/01,2020/06/30,,,,,,,0.0000,40.9500,0.0000,0,0,0,40.95
T0202864,2020/06/01,2020/06/30,"Nater, John",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202698,2020/06/01,2020/06/30,,,,,,,314.1000,0.0000,0.0000,0,0,0,314.10
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/19,Mitchell,New Hamburg,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/25,Shakespeare,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/26,Mitchell,Arthur,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/26,Arthur,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/28,Mitchell,Stratford,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/28,Stratford,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/19,New Hamburg,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/22,Mitchell,Stratford,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/22,Stratford,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/23,Mitchell,Saint Marys,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/23,Saint Marys,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/24,Mitchell,Atwood,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/24,Atwood,Mitchell,,,,,,,
T0202698,2020/06/01,2020/06/30,"Nater, John",Member,To attend a constituency or community event,2020/06/25,Mitchell,Shakespeare,,,,,,,
T0203668,2020/06/20,2020/07/20,,,,,,,0.0000,40.5500,0.0000,0,0,0,40.55
T0203668,2020/06/20,2020/07/20,"Nater, John",Member,Secondary Residence,2020/06/20,Ottawa,Ottawa,,,,,,,
T0203645,2020/07/01,2020/07/31,,,,,,,0.0000,40.9500,0.0000,0,0,0,40.95
T0203645,2020/07/01,2020/07/31,"Nater, John",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203434,2020/07/01,2020/07/31,,,,,,,202.4600,0.0000,0.0000,0,0,0,202.46
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend a constituency or community event,2020/07/01,Mitchell,Saint Marys,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/24,Stratford,Mitchell,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend a constituency or community event,2020/07/01,Saint Marys,Mitchell,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend a constituency or community event,2020/07/01,Mitchell,Atwood,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend a constituency or community event,2020/07/01,Atwood,Mitchell,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/17,Mitchell,Minto,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/17,Minto,Mitchell,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/27,Mitchell,Minto,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/27,Minto,Mitchell,,,,,,,
T0203434,2020/07/01,2020/07/31,"Nater, John",Member,To attend meetings about constituency issues,2020/07/24,Mitchell,Stratford,,,,,,,
T0202941,2020/07/07,2020/07/09,,,,,,,553.3000,0.0000,143.8400,1.0000,0,0,697.14
T0202941,2020/07/07,2020/07/09,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/07/07,Mitchell,Ottawa,,,,,,,
T0202941,2020/07/07,2020/07/09,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/07/09,Ottawa,Mitchell,,,,,,,
T0203292,2020/07/19,2020/07/22,,,,,,,553.3000,0.0000,284.6900,1.0000,0,0,837.99
T0203292,2020/07/19,2020/07/22,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/07/19,Mitchell,Ottawa,,,,,,,
T0203292,2020/07/19,2020/07/22,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/07/22,Ottawa,Mitchell,,,,,,,
T0204799,2020/07/20,2020/08/20,,,,,,,0.0000,42.7500,0.0000,0,0,0,42.75
T0204799,2020/07/20,2020/08/20,"Nater, John",Member,Secondary Residence,2020/07/20,Ottawa,Ottawa,,,,,,,
T0204798,2020/08/01,2020/08/31,,,,,,,0.0000,40.9500,0.0000,0,0,0,40.95
T0204798,2020/08/01,2020/08/31,"Nater, John",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
200430766,2020/08/01,2020/08/31,,,,,,,0.0000,2070.0000,0.0000,0,0,0,2070.00
200430766,2020/08/01,2020/08/31,"Nater, John",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203988,2020/08/01,2020/08/31,,,,,,,592.7000,0.0000,0.0000,0.0000,0.0000,0,592.70
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/01,Mitchell,Stratford,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/16,Moorefield,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings with stakeholders about business of the House,2020/08/18,Mitchell,Minto,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings with stakeholders about business of the House,2020/08/18,Minto,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/20,Mitchell,Saint Marys,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/20,Saint Marys,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/21,Mitchell,Saint Marys,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/01,Stratford,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/21,Saint Marys,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/27,Mitchell,Arthur,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/27,Arthur,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/28,Mitchell,St. Marys Junction,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/28,St. Marys Junction,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/28,Mitchell,Listowel,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings about constituency issues,2020/08/28,Listowel,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/28,Mitchell,Saint Marys,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/28,Saint Marys,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings with stakeholders about business of the House,2020/08/07,Mitchell,Drayton,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend meetings with stakeholders about business of the House,2020/08/07,Drayton,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/08,Mitchell,Mount Forest,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/08,Mount Forest,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/15,Mitchell,Arthur,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/15,Arthur,Mitchell,,,,,,,
T0203988,2020/08/01,2020/08/31,"Nater, John",Member,To attend a constituency or community event,2020/08/16,Mitchell,Moorefield,,,,,,,
T0203823,2020/08/11,2020/08/13,,,,,,,553.3000,0.0000,177.9500,1.0000,0,0,731.25
T0203823,2020/08/11,2020/08/13,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/08/11,Mitchell,Ottawa,,,,,,,
T0203823,2020/08/11,2020/08/13,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Mitchell,,,,,,,
200437248,2020/09/01,2020/09/30,,,,,,,0.0000,2070.0000,0.0000,0,0,0,2070.00
200437248,2020/09/01,2020/09/30,"Nater, John",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204745,2020/09/08,2020/09/09,,,,,,,553.3000,0.0000,144.0600,1.0000,0,0,697.36
T0204745,2020/09/08,2020/09/09,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/09/08,Mitchell,Ottawa,,,,,,,
T0204745,2020/09/08,2020/09/09,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/09/09,Ottawa,Mitchell,,,,,,,
T0205006,2020/09/16,2020/09/16,,,,,,,149.3200,0.0000,45.7600,0,1.0000,0,195.08
T0205006,2020/09/16,2020/09/16,"Nater, John",Member,To attend a regional or provincial caucus meeting,2020/09/16,Mitchell,Alliston,,,,,,,
T0205006,2020/09/16,2020/09/16,"Nater, John",Member,To attend a regional or provincial caucus meeting,2020/09/16,Alliston,Mitchell,,,,,,,
T0205233,2020/09/23,2020/09/25,,,,,,,553.3000,0.0000,261.0300,1.0000,0,0,814.33
T0205233,2020/09/23,2020/09/25,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/09/23,Mitchell,Ottawa,,,,,,,
T0205233,2020/09/23,2020/09/25,"Nater, John",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Mitchell,,,,,,,
200442111,2020/10/01,2020/10/31,,,,,,,0.0000,2070.0000,0.0000,0,0,0,2070.00
200442111,2020/10/01,2020/10/31,"Nater, John",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
