"Members – Detailed Contract Expenditures Report – Jones, Yvonne – Q2 2021"
Supplier,Description,Date,Total
SALTWIRE NETWORK INC.,Advertising,2020/03/07,45.0000
SALTWIRE NETWORK INC.,Advertising,2020/03/07,185.0000
SALTWIRE NETWORK INC.,Advertising,2020/03/28,60.0000
Valley Business Equipment Inc.,Computer Equipment,2020/03/30,903.0000
Valley Business Equipment Inc.,"Office Supplies, Stationery and Accessories",2020/03/30,99.9800
Labrador Specialty Services Inc.,Computer Software,2020/05/01,299.0000
Labrador Specialty Services Inc.,Computer Equipment,2020/05/01,849.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Bell Aliant,Cable and Internet Fees,2020/05/31,55.0000
Bell Aliant,Cable and Internet Fees,2020/06/09,108.2000
Bell Aliant,Cable and Internet Fees,2020/06/12,106.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Mona's Place,Pins and Flags,2020/06/18,193.9700
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,654.4400
Bell Aliant,Cable and Internet Fees,2020/06/30,55.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,250.2500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,42.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Zoom Video Communications Inc,Licence Renewal,2020/07/05,40.0000
Bell Aliant,Cable and Internet Fees,2020/07/09,106.9500
Bell Aliant,Cable and Internet Fees,2020/07/12,106.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,383.7600
Bell Aliant,Cable and Internet Fees,2020/07/31,55.0000
Vistaprint Canada Corporation,Promotional Items,2020/07/31,273.2000
Vistaprint Canada Corporation,Promotional Items,2020/07/31,273.2000
Vistaprint Canada Corporation,Promotional Items,2020/07/31,273.2100
Vistaprint Canada Corporation,Promotional Items,2020/07/31,273.2000
Vistaprint Canada Corporation,Promotional Items,2020/07/31,273.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,250.2500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,22.0000
CLOCKZ ENTREPRISES LTD,Office Rental and Related Fees,2020/08/01,1000.0000
G AND R HOLDINGS LTD,Office Rental and Related Fees,2020/08/01,1250.0000
GOOSE REAL ESTATE LTD.,Office Rental and Related Fees,2020/08/01,1700.0000
Vistaprint Canada Corporation,Promotional Items,2020/08/04,656.4900
vistaprint Canadian Corporation,Promotional Items,2020/08/04,984.7200
Zoom Video Communications INc,Licence Renewal,2020/08/05,40.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Great Caribou Studio,Consumable Items for Constituency Offices (COVID19),2020/08/20,153.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,9.3600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,22.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,250.2500
CLOCKZ ENTREPRISES LTD,Office Rental and Related Fees,2020/09/01,1000.0000
G AND R HOLDINGS LTD,Office Rental and Related Fees,2020/09/01,1250.0000
GOOSE REAL ESTATE LTD.,Office Rental and Related Fees,2020/09/01,1700.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Vistaprint,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/01,350.4900
VistaPrint,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/01,237.9900
Zoom Video Communications Inc,Licence Renewal,2020/09/05,40.0000
Labrador Glass & Aluminum Ltd,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/10,1045.2000
Canada Post – Postes Canada,Courier Services,2020/09/23,67.9900
CLOCKZ ENTREPRISES LTD,Office Rental and Related Fees,2020/10/01,1000.0000
G AND R HOLDINGS LTD,Office Rental and Related Fees,2020/10/01,1250.0000
GOOSE REAL ESTATE LTD.,Office Rental and Related Fees,2020/10/01,1700.0000
