"Members – Detailed Contract Expenditures Report – McCrimmon, Karen – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Internet (COVID19),2020/03/12,91.95
BELL CANADA,Internet (COVID19),2020/03/12,106.95
Capitales Medias,Advertising,2020/03/14,91.63
Videotron,Internet (COVID19),2020/03/27,77.96
BELL CANADA,Internet (COVID19),2020/04/06,110.95
BELL CANADA,Internet (COVID19),2020/04/12,91.95
BELL CANADA,Internet (COVID19),2020/04/12,106.95
Videotron,Internet (COVID19),2020/04/24,61.95
BELL CANADA,Internet (COVID19),2020/05/06,110.95
BELL CANADA,Internet (COVID19),2020/05/12,106.95
BELL CANADA,Internet (COVID19),2020/05/12,91.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Videotron,Internet (COVID19),2020/05/29,61.95
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
BELL CANADA,Internet (COVID19),2020/06/06,110.95
BELL CANADA,Internet (COVID19),2020/06/12,91.95
BELL CANADA,Internet (COVID19),2020/06/12,106.95
Facebook,Advertising,2020/06/15,180.72
Costco,Cleaning Products,2020/06/16,19.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Facebook,Advertising,2020/06/23,64.60
Videotron,Internet (COVID19),2020/06/26,61.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,44.40
BELL CANADA,Cable and Internet Fees,2020/07/01,173.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,164.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,25.50
Community Voice,Advertising,2020/07/02,485.10
BELL CANADA,Internet (COVID19),2020/07/06,110.95
Costco,Cleaning Products,2020/07/07,26.99
"Crowe, Geoff",Communications Officer,2020/07/08,500.00
West Carleton Online,Advertising,2020/07/09,250.00
BELL CANADA,Internet (COVID19),2020/07/12,91.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,56.62
Arab Canada News,Advertising,2020/07/15,250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.17
Videotron,Internet (COVID19),2020/07/24,61.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,-44.40
BELL CANADA,Cable and Internet Fees,2020/08/01,173.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,164.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.00
KRP Properties,Office Rental and Related Fees,2020/08/01,2583.33
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,29.75
"Crowe, Geoff",Communications Officer,2020/08/05,500.00
BELL CANADA,Internet (COVID19),2020/08/06,110.95
West Carleton Online,Advertising,2020/08/11,250.00
BELL CANADA,Internet (COVID19),2020/08/12,91.95
Arab Canada Newspaper,Advertising,2020/08/13,250.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Facebook,Advertising,2020/08/15,26.55
Ottawa Community Voice Publishing Inc.,Advertising,2020/08/20,390.00
MADD,Advertising,2020/08/24,109.37
Power of a Wish,Advertising,2020/08/24,103.12
Ottawa Sportspage,Advertising,2020/08/26,88.49
Scotiabank,Banking Fees and Cheque Orders,2020/08/31,6.95
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,2.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,164.00
KRP Properties,Office Rental and Related Fees,2020/09/01,2583.33
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Community Voice,Advertising,2020/09/03,485.10
"Crowe, Geoff",Communications Officer,2020/09/04,500.00
Facebook,Advertising,2020/09/04,173.45
Arab Canada Newspaper,Advertising,2020/09/08,250.00
West Carleton Onliine,Advertising,2020/09/12,250.00
Community Voice,Advertising,2020/09/17,575.10
Canada Post – Postes Canada,Courier Services,2020/09/23,6.85
Canada Post – Postes Canada,Courier Services,2020/09/23,6.22
Canada Post – Postes Canada,Courier Services,2020/09/23,5.25
Canada Post – Postes Canada,Courier Services,2020/09/23,6.48
Canada Post – Postes Canada,Courier Services,2020/09/23,6.81
Canada Post – Postes Canada,Courier Services,2020/09/23,7.86
Canada Post – Postes Canada,Courier Services,2020/09/23,19.49
Canada Post – Postes Canada,Courier Services,2020/09/23,6.95
KRP Properties,Office Rental and Related Fees,2020/10/01,2583.33
