"Members – Detailed Contract Expenditures Report – Block, Kelly – Q2 2021"
Supplier,Description,Date,Total
Josh Boyes,Internet (COVID19),2020/04/05,73.95
Josh Boyes,Internet (COVID19),2020/05/05,124.22
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.25
Martensville Messenger,Advertising,2020/05/27,140.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/04,40.32
Josh Boyes,Internet (COVID19),2020/06/05,99.95
RM REVIEW,Advertising,2020/06/10,60.00
RM REVIEW,Advertising,2020/06/10,25.00
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/11,40.32
WDPLASTICS,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/15,106.00
PROFESSIONAL COMPUTER SERVICES,Repair of Computer Equipment and Peripherals,2020/06/16,207.34
SASKTEL,Cable and Internet Fees,2020/06/16,114.95
SASKTEL,Cable and Internet Fees,2020/06/16,104.95
SASKTEL,Cable and Internet Fees,2020/06/16,104.95
SASKTEL,Cable and Internet,2020/06/16,79.35
Humboldt Journal,Advertising,2020/06/17,85.00
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/18,40.32
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/18,25.00
PROFESSIONAL COMPUTER SERVICES,Repair of Computer Equipment and Peripherals,2020/06/22,121.90
ROSETOWN PUBLISHING CO. LTD.,Advertising,2020/06/22,35.00
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/23,314.00
Humboldt Journal,Advertising,2020/06/24,85.00
Martensville Messenger,Advertising,2020/06/24,70.00
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/25,25.00
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/25,40.32
ROSETOWN PUBLISHING CO. LTD.,Advertising,2020/06/29,229.00
TOWN OF BRUNO,Advertising,2020/06/29,10.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,210.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,122.50
Golden West Broadcasting Ltd.,Advertising,2020/06/30,210.00
Golden West Broadcasting Ltd.,Advertising,2020/06/30,122.50
Humboldt Journal,Advertising,2020/06/30,85.00
Humboldt Journal,Advertising,2020/06/30,230.00
JENSON PUBLISHING,Advertising,2020/06/30,108.00
SCOTIABANK,Banking Fees and Cheque Orders,2020/06/30,21.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,130.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,18.00
