"Members – Detailed Travel Expenditures Report – Block, Kelly – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203701,2020/05/17,2020/07/29,,,,,,,0.0000,147.3800,0.0000,0,0,0,147.38
T0203701,2020/05/17,2020/07/29,"Block, Kelly",Member,Secondary Residence,2020/06/30,Ottawa,Ottawa,,,,,,,
T0203701,2020/05/17,2020/07/29,"Block, Kelly",Member,Secondary Residence,2020/05/17,Ottawa,Ottawa,,,,,,,
T0202575,2020/06/14,2020/06/20,,,,,,,2434.3400,196.5300,294.1100,1.0000,0,0,2924.98
T0202575,2020/06/14,2020/06/20,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/06/14,Saskatoon,Ottawa,,,,,,,
T0202575,2020/06/14,2020/06/20,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/06/20,Ottawa,Saskatoon,,,,,,,
T0204008,2020/06/17,2020/08/31,,,,,,,0.0000,1972.0700,0.0000,0,0,0,1972.07
T0204008,2020/06/17,2020/08/31,"Block, Kelly",Member,Secondary Residence,2020/06/17,Ottawa,Ottawa,,,,,,,
T0204008,2020/06/17,2020/08/31,"Block, Kelly",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0203068,2020/07/01,2020/07/31,,,,,,,0.0000,1895.8700,0.0000,0,0,0,1895.87
T0203068,2020/07/01,2020/07/31,"Block, Kelly",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203699,2020/07/13,2020/07/14,,,,,,,124.8000,0.0000,69.3700,0.0000,0,0,194.17
T0203699,2020/07/13,2020/07/14,"Redekop, Susan",Employee,To attend a constituency or community event,2020/07/13,Martensville,Rosetown,,,,,,,
T0203699,2020/07/13,2020/07/14,"Redekop, Susan",Employee,To attend a constituency or community event,2020/07/13,Rosetown,Saskatoon,,,,,,,
T0203697,2020/07/14,2020/07/14,,,,,,,231.8400,0.0000,69.1300,0.0000,0,0,300.97
T0203697,2020/07/14,2020/07/14,"Bain, Melanie",Employee,To attend training,2020/07/14,Humboldt,Rosetown,,,,,,,
T0203698,2020/07/14,2020/07/14,,,,,,,113.4600,0.0000,49.2800,0.0000,0,0,162.74
T0203698,2020/07/14,2020/07/14,"Gorbenko, Fran",Employee,To attend a constituency or community event,2020/07/14,Arelee,Rosetown,,,,,,,
T0203697,2020/07/14,2020/07/14,"Bain, Melanie",Employee,To attend training,2020/07/14,Rosetown,Humboldt,,,,,,,
T0203698,2020/07/14,2020/07/14,"Gorbenko, Fran",Employee,To attend a constituency or community event,2020/07/14,Rosetown,Arelee,,,,,,,
T0203700,2020/07/14,2020/07/28,,,,,,,660.9600,288.1700,138.7500,0,0,0,1087.88
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend training,2020/07/14,Warman,Rosetown,,,,,,,
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend training,2020/07/14,Rosetown,Warman,,,,,,,
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend meetings about constituency issues,2020/07/15,Warman,Aberdeen,,,,,,,
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend meetings about constituency issues,2020/07/15,Aberdeen,Warman,,,,,,,
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend meetings with stakeholders about business of the House,2020/07/27,Warman,Kenosee Lake,,,,,,,
T0203700,2020/07/14,2020/07/28,"Block, Kelly",Member,To attend meetings with stakeholders about business of the House,2020/07/27,Kenosee Lake,Warman,,,,,,,
T0205047,2020/07/17,2020/09/30,,,,,,,0.0000,1974.6200,0.0000,0,0,0,1974.62
T0205047,2020/07/17,2020/09/30,"Block, Kelly",Member,Secondary Residence,2020/09/01,Ottawa,Ottawa,,,,,,,
T0205047,2020/07/17,2020/09/30,"Block, Kelly",Member,Secondary Residence,2020/07/17,Ottawa,Ottawa,,,,,,,
T0204346,2020/08/10,2020/08/14,,,,,,,1530.6600,0.0000,275.6700,1.0000,0,0,1806.33
T0204346,2020/08/10,2020/08/14,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/08/10,Saskatoon,Ottawa,,,,,,,
T0204346,2020/08/10,2020/08/14,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/08/14,Ottawa,Saskatoon,,,,,,,
T0204551,2020/08/26,2020/08/27,,,,,,,175.6000,0.0000,40.2000,0.0000,0,0,215.80
T0204551,2020/08/26,2020/08/27,"Block, Kelly",Member,To attend a constituency or community event,2020/08/26,Warman,Rosthern,,,,,,,
T0204551,2020/08/26,2020/08/27,"Block, Kelly",Member,To attend a constituency or community event,2020/08/26,Rosthern,Warman,,,,,,,
T0204551,2020/08/26,2020/08/27,"Block, Kelly",Member,To attend meetings about constituency issues,2020/08/27,Warman,Humboldt,,,,,,,
T0204551,2020/08/26,2020/08/27,"Block, Kelly",Member,To attend meetings about constituency issues,2020/08/27,Humboldt,Warman,,,,,,,
T0205067,2020/09/08,2020/09/10,,,,,,,1532.3700,0.0000,128.6200,1.0000,0,0,1660.99
T0205067,2020/09/08,2020/09/10,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/09/08,Saskatoon,Ottawa,,,,,,,
T0205067,2020/09/08,2020/09/10,"Block, Kelly",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Saskatoon,,,,,,,
