"Members – Detailed Contract Expenditures Report – Hardie, Ken – Q2 2021"
Supplier,Description,Date,Total
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/05/02,113.97
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.79
Shaw Direct,Internet (COVID19),2020/06/01,20.14
IDRS,Constituency Mail,2020/06/12,2912.01
reyforth publishing,Advertising,2020/06/15,71.43
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Dads Printing,Consumable Items for Constituency Offices (COVID19),2020/06/19,333.76
CARTOUCHES A RABAIS,Toner,2020/06/20,172.44
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,71.20
small town creations,Gifts given as a matter of protocol,2020/06/25,265.00
Shaw Direct,Internet (COVID19),2020/06/28,111.28
sunflower marketing,Advertising,2020/06/29,93.75
Black Press Group Ltd.,Advertising,2020/06/30,550.46
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,124.10
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,223.98
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.79
Shaw Direct,Internet (COVID19),2020/07/01,78.88
rogers,Internet (COVID19),2020/07/03,74.99
Sach Di Awaaz Newspaper,Advertising,2020/07/03,262.50
Shaw Direct,Cable and Internet Fees,2020/07/08,200.44
BC HYDRO,Public Utilities,2020/07/10,230.32
teksavvy,Internet (COVID19),2020/07/14,61.90
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.66
Shaw Direct,Cable and Internet Fees,2020/07/18,229.39
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,244.29
Choice Communication (Canada) Ltd.,Advertising,2020/07/20,248.57
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,60.62
Shaw Direct,Internet (COVID19),2020/07/28,118.81
Black Press Group Ltd.,Advertising,2020/07/31,1333.58
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,223.98
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,18.00
LARK ENTERPRISES LTD,Office Rental and Related Fees,2020/08/01,3600.00
NGP Van,Professional Communication Services,2020/08/01,40.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,29.75
Shaw Direct,Internet (COVID19),2020/08/01,58.74
Shaw Direct,Internet (COVID19),2020/08/01,20.14
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,119.67
rogers,Internet (COVID19),2020/08/03,74.99
staples,Office Equipment,2020/08/05,379.99
dollarama,Consumable Items for Constituency Offices (COVID19),2020/08/06,6.42
Shaw Direct,Cable and Internet,2020/08/08,104.86
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Ideal Signs Ltd.,Consumable Items for Constituency Offices (COVID19),2020/08/14,550.00
teksavvy,Internet (COVID19),2020/08/14,14.95
teksavvy,Internet (COVID19),2020/08/14,46.95
the miracle,Advertising,2020/08/14,75.00
canada times,Advertising,2020/08/17,75.00
Shaw Direct,Cable and Internet Fees,2020/08/18,229.39
Brugge Design,Professional Communication Services,2020/08/23,105.00
Brugge Design,Professional Communication Services,2020/08/23,105.53
Brugge Design,Professional Communication Services,2020/08/23,105.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,39.88
cartouches a rabais,Toner,2020/08/31,244.98
Sach Di Awaaz Newspaper,Advertising,2020/08/31,118.75
staples,Computer Equipment,2020/08/31,50.19
staples,"Office Supplies, Stationery and Accessories",2020/08/31,22.98
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,18.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,223.98
LARK ENTERPRISES LTD,Office Rental and Related Fees,2020/09/01,3600.00
NGP VAN,Professional Communication Services,2020/09/01,40.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
staples,Gifts given as a matter of protocol,2020/09/07,64.14
staples,Toner,2020/09/07,246.58
Shaw Direct,Cable and Internet,2020/09/08,98.00
BC HYDRO,Public Utilities,2020/09/10,252.02
Canada Post – Postes Canada,Courier Services,2020/09/23,7.34
Canada Post – Postes Canada,Courier Services,2020/09/23,9.63
Canada Post – Postes Canada,Courier Services,2020/09/23,9.65
Canada Post – Postes Canada,Courier Services,2020/09/23,9.58
Canada Post – Postes Canada,Courier Services,2020/09/23,15.17
Canada Post – Postes Canada,Courier Services,2020/09/23,15.14
Canada Post – Postes Canada,Courier Services,2020/09/23,9.79
Canada Post – Postes Canada,Courier Services,2020/09/23,30.19
Canada Post – Postes Canada,Courier Services,2020/09/30,37.82
LARK ENTERPRISES LTD,Office Rental and Related Fees,2020/10/01,3600.00
