"Members – Detailed Travel Expenditures Report – Chiu, Kenny – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203481,2020/06/18,2020/07/27,,,,,,,122.9600,0.0000,0.0000,0,0,0,122.96
T0203481,2020/06/18,2020/07/27,"Chiu, Kenny",Member,To attend meetings about constituency issues,2020/06/18,Richmond,Surrey,,,,,,,
T0203481,2020/06/18,2020/07/27,"Chiu, Kenny",Member,To drive Member to/from terminal,2020/07/07,Richmond,Richmond,,,,,,,
T0203481,2020/06/18,2020/07/27,"Chiu, Kenny",Member,To attend an event as a guest speaker,2020/07/10,Richmond,Richmond,,,,,,,
T0203481,2020/06/18,2020/07/27,"Chiu, Kenny",Member,To attend meetings about constituency issues,2020/07/16,Richmond,Richmond,,,,,,,
T0202933,2020/06/26,2020/07/04,,,,,,,2304.7300,1011.8600,838.9700,1.0000,0,0,4155.56
T0202933,2020/06/26,2020/07/04,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/06/26,Richmond,Ottawa,,,,,,,
T0203043,2020/06/26,2020/07/04,,,,,,,956.2000,0.0000,0.0000,1.0000,0,0,956.20
T0203043,2020/06/26,2020/07/04,,Dependant,To unite the family with the Member,2020/06/26,Richmond,Ottawa,,,,,,,
T0203044,2020/06/26,2020/07/04,,,,,,,2256.7400,0.0000,0.0000,1.0000,0,0,2256.74
T0203044,2020/06/26,2020/07/04,,Designated Traveller,To unite the family with the Member,2020/06/26,Richmond,Ottawa,,,,,,,
T0203018,2020/06/26,2020/07/04,,,,,,,956.2000,0.0000,0.0000,1.0000,0,0,956.20
T0203018,2020/06/26,2020/07/04,,Dependant,To unite the family with the Member,2020/06/26,Richmond,Ottawa,,,,,,,
T0203044,2020/06/26,2020/07/04,,Designated Traveller,To unite the family with the Member,2020/07/04,Ottawa,Richmond,,,,,,,
T0203043,2020/06/26,2020/07/04,,Dependant,To unite the family with the Member,2020/07/04,Ottawa,Richmond,,,,,,,
T0202933,2020/06/26,2020/07/04,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/07/04,Ottawa,Richmond,,,,,,,
T0203018,2020/06/26,2020/07/04,,Dependant,To unite the family with the Member,2020/07/04,Ottawa,Richmond,,,,,,,
T0203414,2020/07/19,2020/07/24,,,,,,,2340.1900,729.2400,509.9600,1.0000,0,0,3579.39
T0203414,2020/07/19,2020/07/24,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/07/19,Richmond,Ottawa,,,,,,,
T0203414,2020/07/19,2020/07/24,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/07/24,Ottawa,Richmond,,,,,,,
T0204549,2020/07/29,2020/08/26,,,,,,,45.8300,0.0000,0.0000,0.0000,0,0,45.83
T0204549,2020/07/29,2020/08/26,"Chiu, Kenny",Member,To attend an event as a guest speaker,2020/07/29,Richmond,Richmond,,,,,,,
T0204549,2020/07/29,2020/08/26,"Chiu, Kenny",Member,To attend meetings about constituency issues,2020/07/31,Richmond,Richmond,,,,,,,
T0204549,2020/07/29,2020/08/26,"Chiu, Kenny",Member,To attend a constituency or community event,2020/08/26,Richmond,Richmond,,,,,,,
T0204656,2020/09/03,2020/09/05,,,,,,,483.8800,566.8000,211.7300,0,0.0000,0,1262.41
T0204656,2020/09/03,2020/09/05,"Chiu, Kenny",Member,To attend a conference,2020/09/03,Richmond,Penticton,,,,,,,
T0204656,2020/09/03,2020/09/05,"Chiu, Kenny",Member,To attend a conference,2020/09/05,Penticton,Richmond,,,,,,,
T0204819,2020/09/07,2020/09/11,,,,,,,2342.9500,583.3900,393.2100,1.0000,0,0,3319.55
T0204819,2020/09/07,2020/09/11,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/09/07,Richmond,Ottawa,,,,,,,
T0204819,2020/09/07,2020/09/11,"Chiu, Kenny",Member,To travel to/from constituency and Ottawa,2020/09/11,Ottawa,Richmond,,,,,,,
