"Members – Detailed Contract Expenditures Report – Kent, Peter – Q2 2021"
Supplier,Description,Date,Total
Rogers,Internet (COVID19),2020/03/19,100.0000
Costco,Office Furniture and Fixtures,2020/03/23,127.9800
Poweron Computer Systems,Office Relocation,2020/03/24,200.0000
Campbell Moving Systems inc. 0672,Office Relocation,2020/03/31,1800.0000
Iron Mountain,Shredding,2020/03/31,105.8300
Rochanak Emami-Alagha,Public Utilities,2020/04/21,56.3500
Campbell Moving Systems inc. 0672,Office Relocation,2020/04/27,450.0000
Iron Mountain,Shredding,2020/04/30,311.5500
Rogers,Internet (COVID19),2020/05/19,240.0000
Bell Canada,Monthly Phone Service,2020/05/23,13.9000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,933.7500
Campbell Moving Systems inc. 0672,Office Relocation,2020/05/26,1550.0000
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/01,24.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,222.2900
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/06/01,0.9000
Rogers,Cable and Internet Fees,2020/06/05,126.9400
Desjardins Insurance,Constituency Office Insurance,2020/06/19,78.8900
Bell Canada,Monthly Phone Service,2020/06/23,13.9000
Canada Post,Postage and Parcel Post,2020/06/23,167.5000
"RBC ",Banking Fees and Cheque Orders,2020/06/25,11.2500
Canadian Tire,Office Furniture and Fixtures,2020/06/26,34.9900
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,23.3900
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,23.3500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,208.7500
RBC Bank,Banking Fees and Cheque Orders,2020/07/02,3.7500
Rogers,Cable and Internet Fees,2020/07/05,155.6000
Walmart,Cleaning Products,2020/07/06,51.8400
Emes Marketing Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/08,392.5800
Dollarama,Cleaning Products,2020/07/10,13.5000
Wrap Werks,Signage,2020/07/10,1700.0000
St. Lawrence Pharmacy,Cleaning Products,2020/07/11,10.7800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.0300
Rogers,Internet (COVID19),2020/07/19,125.0000
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/20,206.0900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/22,10.4600
Bell Canada,Monthly Phone Service,2020/07/23,13.9000
Brookdale Me4dical Specialties Ltd.,Cleaning Products,2020/07/27,266.0000
Grand & Toy,Bulk Paper Purchases,2020/07/31,35.7600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,287.0400
Vogue Investments Limited,Office Rental and Related Fees,2020/08/01,4455.9400
Rogers,Cable and Internet Fees,2020/08/05,183.6500
JRCC Exodus,Advertising,2020/08/09,1380.0000
Certas Home and Auto Ins. Co,Constituency Office Insurance,2020/08/11,875.8800
RBC,Banking Fees and Cheque Orders,2020/08/18,3.7500
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,206.6200
Bell,Voice and Data Plan for Mobile Devices,2020/08/23,13.9000
"YRCC 889, Suite 100",Storage and Warehousing,2020/08/31,366.5200
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/01,169.0000
Vogue Investments Limited,Office Rental and Related Fees,2020/09/01,4455.9400
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/04,169.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,13.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,0.2900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1900
Vogue Investments Limited,Office Rental and Related Fees,2020/10/01,4455.9400
