"Members – Detailed Contract Expenditures Report – Diotte, Kerry – Q2 2021"
Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,397.73
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,2.25
McBain Camera,"Television, Video and Fax",2020/06/12,42.95
Shaw Direct,Cable and Internet Fees,2020/06/13,449.40
McBain Camera,Video Communication and Broadcasting Equipment,2020/06/16,1064.97
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/20,59.99
London Drugs,"Office Supplies, Stationery and Accessories",2020/06/20,24.99
New Pathway Ukrainian News,Advertising,2020/06/30,93.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,318.08
Facebook,Advertising,2020/07/12,18.61
Shaw Direct,Cable and Internet Fees,2020/07/13,232.45
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,32.79
Facebook,Advertising,2020/07/14,31.39
McBain Camera Inc.,Photographic Equipment,2020/07/17,42.95
McBain Camera Inc.,Photographic Equipment,2020/07/17,139.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.98
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/20,301.12
Canadian Tire #467,Consumable Items for Constituency Offices (COVID19),2020/07/28,3.49
Real Canadian Superstore,Spring Water,2020/07/28,6.88
2161963 Alberta Ltd.,Office Rental and Related Fees,2020/08/01,1995.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,392.79
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,0.75
ULINE,Consumable Items for Constituency Offices (COVID19),2020/08/06,55.00
Shaw Direct,Cable and Internet Fees,2020/08/13,180.54
Staples,Consumable Items for Constituency Offices (COVID19),2020/08/20,23.98
2161963 Alberta Ltd.,Office Rental and Related Fees,2020/09/01,1995.00
Rogers,Cable and Internet Fees,2020/09/01,151.98
Goodwill Thrift Store,Office Furniture and Fixtures,2020/09/16,30.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/21,169.00
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Courier Services,2020/09/23,10.18
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Courier Services,2020/09/23,28.23
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,301.48
2161963 Alberta Ltd.,Office Rental and Related Fees,2020/10/01,1995.00
