"Members – Detailed Travel Expenditures Report – Findlay, Kerry-Lynne – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202855,2020/06/30,2020/07/03,,,,,,,2256.7400,0.0000,0.0000,1.0000,0,0,2256.74
T0202855,2020/06/30,2020/07/03,,Designated Traveller,To unite the family with the Member,2020/06/30,Surrey,Ottawa,,,,,,,
T0202855,2020/06/30,2020/07/03,,Designated Traveller,To unite the family with the Member,2020/07/03,Ottawa,Surrey,,,,,,,
T0203622,2020/06/30,2020/07/10,,,,,,,2540.2000,0.0000,393.2100,1.0000,0,0,2933.41
T0203622,2020/06/30,2020/07/10,"Findlay, Kerry-Lynne",Member,To travel to/from constituency and Ottawa,2020/06/30,Surrey,Ottawa,,,,,,,
T0203622,2020/06/30,2020/07/10,"Findlay, Kerry-Lynne",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Surrey,,,,,,,
T0203618,2020/07/23,2020/07/31,,,,,,,1761.9400,325.3800,952.7900,1.0000,0,0,3040.11
T0203618,2020/07/23,2020/07/31,"Eugenio, Michael",Employee,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Surrey,,,,,,,
T0203618,2020/07/23,2020/07/31,"Eugenio, Michael",Employee,To travel to/from constituency and Ottawa,2020/07/31,Surrey,Ottawa,,,,,,,
T0204105,2020/07/31,2020/08/15,,,,,,,836.0300,0.0000,615.3400,1.0000,0,0,1451.37
T0204105,2020/07/31,2020/08/15,"Choi, Mikhail",Employee,To travel to/from constituency and Ottawa,2020/07/31,Ottawa,Surrey,,,,,,,
T0204105,2020/07/31,2020/08/15,"Choi, Mikhail",Employee,To travel to/from constituency and Ottawa,2020/08/15,Surrey,Ottawa,,,,,,,
200430711,2020/08/01,2020/08/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200430711,2020/08/01,2020/08/31,"Findlay, Kerry-Lynne",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437194,2020/09/01,2020/09/30,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200437194,2020/09/01,2020/09/30,"Findlay, Kerry-Lynne",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205068,2020/09/03,2020/09/05,,,,,,,386.7400,636.9200,211.7300,0,1.0000,0,1235.39
T0205068,2020/09/03,2020/09/05,"Findlay, Kerry-Lynne",Member,To attend meetings with stakeholders about business of the House,2020/09/03,Surrey,Penticton,,,,,,,
T0205068,2020/09/03,2020/09/05,"Findlay, Kerry-Lynne",Member,To attend meetings with stakeholders about business of the House,2020/09/05,Penticton,Surrey,,,,,,,
200442055,2020/10/01,2020/10/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.00
200442055,2020/10/01,2020/10/31,"Findlay, Kerry-Lynne",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
