"Members – Detailed Travel Expenditures Report – Lamoureux, Kevin – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202520,2020/03/28,2020/04/27,,,,,,,0.0000,24.6700,0.0000,0,0,0,24.67
T0202520,2020/03/28,2020/04/27,"Lamoureux, Kevin",Member,Secondary Residence,2020/03/28,Ottawa,Ottawa,,,,,,,
T0202518,2020/04/23,2020/05/22,,,,,,,0.0000,34.9900,0.0000,0,0,0,34.99
T0202518,2020/04/23,2020/05/22,"Lamoureux, Kevin",Member,Secondary Residence,2020/04/23,Ottawa,Ottawa,,,,,,,
T0202521,2020/04/27,2020/05/28,,,,,,,0.0000,29.6400,0.0000,0,0,0,29.64
T0202521,2020/04/27,2020/05/28,"Lamoureux, Kevin",Member,Secondary Residence,2020/04/27,Ottawa,Ottawa,,,,,,,
T0202519,2020/05/23,2020/06/22,,,,,,,0.0000,34.9900,0.0000,0,0,0,34.99
T0202519,2020/05/23,2020/06/22,"Lamoureux, Kevin",Member,Secondary Residence,2020/05/23,Ottawa,Ottawa,,,,,,,
T0202522,2020/05/24,2020/06/04,,,,,,,936.6100,0.0000,606.8700,1.0000,0,0,1543.48
T0202522,2020/05/24,2020/06/04,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/05/24,Winnipeg,Ottawa,,,,,,,
T0202522,2020/05/24,2020/06/04,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/06/04,Ottawa,Winnipeg,,,,,,,
T0203605,2020/05/28,2020/06/27,,,,,,,0.0000,30.9700,0.0000,0,0,0,30.97
T0203605,2020/05/28,2020/06/27,"Lamoureux, Kevin",Member,Secondary Residence,2020/05/28,Ottawa,Ottawa,,,,,,,
T0202523,2020/06/07,2020/06/18,,,,,,,730.6700,0.0000,652.6300,1.0000,0,0,1383.30
T0202523,2020/06/07,2020/06/18,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/06/07,Winnipeg,Ottawa,,,,,,,
T0202523,2020/06/07,2020/06/18,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Winnipeg,,,,,,,
T0203607,2020/06/23,2020/07/22,,,,,,,0.0000,34.9900,0.0000,0,0,0,34.99
T0203607,2020/06/23,2020/07/22,"Lamoureux, Kevin",Member,Secondary Residence,2020/06/23,Ottawa,Ottawa,,,,,,,
T0204074,2020/06/27,2020/07/28,,,,,,,0.0000,28.9200,0.0000,0,0,0,28.92
T0204074,2020/06/27,2020/07/28,"Lamoureux, Kevin",Member,Secondary Residence,2020/06/27,Ottawa,Ottawa,,,,,,,
T0203609,2020/07/07,2020/07/10,,,,,,,787.3600,0.0000,174.6000,1.0000,0,0,961.96
T0203609,2020/07/07,2020/07/10,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/07/07,Winnipeg,Ottawa,,,,,,,
T0203609,2020/07/07,2020/07/10,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Winnipeg,,,,,,,
T0203610,2020/07/19,2020/07/23,,,,,,,784.9300,0.0000,257.2300,1.0000,0,0,1042.16
T0203610,2020/07/19,2020/07/23,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/07/19,Winnipeg,Ottawa,,,,,,,
T0203610,2020/07/19,2020/07/23,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Winnipeg,,,,,,,
T0203608,2020/07/23,2020/08/22,,,,,,,0.0000,34.9900,0.0000,0,0,0,34.99
T0203608,2020/07/23,2020/08/22,"Lamoureux, Kevin",Member,Secondary Residence,2020/07/23,Ottawa,Ottawa,,,,,,,
200430744,2020/08/01,2020/08/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200430744,2020/08/01,2020/08/31,"Lamoureux, Kevin",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204075,2020/08/10,2020/08/13,,,,,,,618.5000,0.0000,174.3700,1.0000,0,0,792.87
T0204075,2020/08/10,2020/08/13,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/08/10,Winnipeg,Ottawa,,,,,,,
T0204075,2020/08/10,2020/08/13,"Lamoureux, Kevin",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Winnipeg,,,,,,,
200437227,2020/09/01,2020/09/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200437227,2020/09/01,2020/09/30,"Lamoureux, Kevin",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442088,2020/10/01,2020/10/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
200442088,2020/10/01,2020/10/31,"Lamoureux, Kevin",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
