"Members – Detailed Contract Expenditures Report – Waugh, Kevin – Q2 2021"
Supplier,Description,Date,Total
LONDON DRUGS,Consumable Items for Constituency Offices (COVID19),2020/06/16,21.60
SASKTEL,Cable and Internet Fees,2020/06/16,98.40
Costco,Consumable Items for Constituency Offices (COVID19),2020/06/20,19.99
CITY OF SASKATOON,Public Utilities,2020/06/21,259.13
COSTCO,Consumable Items for Constituency Offices (COVID19),2020/06/22,7.49
WHOLESALE CLUB,Consumable Items for Constituency Offices (COVID19),2020/06/22,48.74
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,12.64
SASKENERGY,Public Utilities,2020/06/24,40.96
Caldaj Group of Companies,Advertising,2020/06/30,500.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,36.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,156.00
Mailchimp,Professional Communication Services,2020/07/04,82.11
Shaw Direct,Cable and Internet Fees,2020/07/08,152.59
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,195.33
Go Premium Press Reader,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,42.39
SASKTEL,Cable and Internet Fees,2020/07/16,98.40
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.79
SASKENERGY,Public Utilities,2020/07/20,42.94
CITY OF SASKATOON,Public Utilities,2020/07/22,253.22
Kenosee Inn & Cabins,Public Meeting Room Rentals,2020/07/29,35.81
Grand & Toy,Cleaning Products,2020/07/31,38.68
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,25.66
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,157.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,64.00
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.24
Cave Restaurant (The),Office Rental and Related Fees,2020/08/01,2565.00
Mail Chimp,Professional Communication Services,2020/08/04,81.32
Shaw Direct,Cable and Internet Fees,2020/08/08,152.59
Go Premium Press Reader,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/14,42.39
Sasktel Sevices,Cable and Internet Fees,2020/08/16,98.40
Rosewood Community Association,Advertising,2020/08/17,45.00
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/08/19,483.84
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/08/19,12.00
CITY OF SASKATOON,Public Utilities,2020/08/24,36.48
SASKENERGY,Public Utilities,2020/08/25,38.50
Don's Photo,"Office Supplies, Stationery and Accessories",2020/08/27,89.99
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,156.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,34.00
Cave Restaurant (The),Office Rental and Related Fees,2020/09/01,2565.00
Holliston Community Association,Advertising,2020/09/01,30.00
CAPITAL STAMP LTD.,"Office Supplies, Stationery and Accessories",2020/09/03,156.95
Mail Chimp,Professional Communication Services,2020/09/04,79.57
Shaw Direct,Cable and Internet Fees,2020/09/08,152.59
Sasktel Services,Cable and Internet Fees,2020/09/16,98.40
Costco,"Office Supplies, Stationery and Accessories",2020/09/19,33.98
Canada Post – Postes Canada,Courier Services,2020/09/23,7.25
Canada Post – Postes Canada,Courier Services,2020/09/23,94.57
Canada Post – Postes Canada,Courier Services,2020/09/23,17.59
SASKENERGY,Public Utilities,2020/09/23,38.50
Cave Restaurant (The),Office Rental and Related Fees,2020/10/01,2565.00
