"Members – Detailed Contract Expenditures Report – Kitchen, Robert – Q2 2021"
Supplier,Description,Date,Total
Rogers Inc.,Internet (COVID19),2020/03/10,74.9900
Rogers Inc.,Internet (COVID19),2020/04/10,74.9900
CIBC,Banking Fees and Cheque Orders,2020/04/30,14.5000
"WORLD SPECTATOR, THE",Advertising,2020/05/04,225.0000
Rogers Inc.,Internet (COVID19),2020/05/10,74.9900
"WORLD SPECTATOR, THE",Advertising,2020/05/11,150.0000
Pharmasave,Consumable Items for Constituency Offices (COVID19),2020/05/14,73.6100
Costco,Consumable Items for Constituency Offices (COVID19),2020/05/17,31.7700
SaskTel,Cable and Internet Fees,2020/05/19,308.1300
Estevan Mercury,Advertising,2020/05/20,455.0000
Walmart,Consumable Items for Constituency Offices (COVID19),2020/05/20,20.1100
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1264.8600
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,19.0800
Kendall's Supply Ltd,Consumable Items for Constituency Offices (COVID19),2020/05/26,13.7400
CIBC,Banking Fees and Cheque Orders,2020/05/31,13.5000
Estevan Mercury,Advertising,2020/05/31,180.0000
"WORLD SPECTATOR, THE",Advertising,2020/06/01,225.0000
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/06/03,189.7100
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/06/05,13.9400
Purolator,Courier Services,2020/06/05,7.3200
"WORLD SPECTATOR, THE",Advertising,2020/06/08,225.0000
Estevan Mercury,Advertising,2020/06/10,534.0000
Rogers Inc.,Internet (COVID19),2020/06/10,74.9900
Weyburn Review,"Householders ",2020/06/11,6120.0000
Purolator,Courier Services,2020/06/12,7.4400
YELLOW PAGES GROUP,Advertising,2020/06/13,164.8000
Estevan Mercury,Advertising,2020/06/17,270.0000
GRASSLANDS NEWS GROUP,Advertising,2020/06/17,200.0000
Weyburn Review,Advertising,2020/06/17,183.7600
Purolator,Courier Services,2020/06/19,7.1200
Sasktel,Cable and Internet Fees,2020/06/19,300.8000
"WORLD SPECTATOR, THE",Advertising,2020/06/19,290.0000
101172441 Saskatchewan LTD.,Advertising,2020/06/22,78.0000
Carlyle Observer,Advertising,2020/06/24,900.0000
Estevan Mercury,Advertising,2020/06/24,150.0000
Weyburn Review,Advertising,2020/06/24,412.7600
Forum Media,Advertising,2020/06/25,168.0000
GRASSLANDS NEWS GROUP,Advertising,2020/06/25,150.0000
101172441 Saskatchewan LTD.,Advertising,2020/06/28,78.0000
"WORLD SPECTATOR, THE",Advertising,2020/06/29,225.0000
"WORLD SPECTATOR, THE",Advertising,2020/06/29,203.0000
Estevan Mercury,Advertising,2020/06/30,180.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,716.6400
Weyburn Review,Advertising,2020/06/30,523.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,155.4000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,147.9300
"Welsh Kitchen, The",Janitorial Services and Maintenance,2020/07/03,57.5000
"COMPUTER MEDIA GROUP, THE",Other Chemical Products,2020/07/08,1205.4000
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/07/10,16.0600
Rogers Inc.,Internet (COVID19),2020/07/10,74.9900
Thompson-Pallister Bait Co LTD,Promotional Items,2020/07/10,1387.4600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,120.2800
Estevan Mercury,Advertising,2020/07/15,276.0000
Weyburn Review,Advertising,2020/07/15,77.8400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.5300
SaskTel,Cable and Internet Fees,2020/07/19,300.8000
Estevan Mercury,Advertising,2020/07/29,150.0000
Estevan Mercury,Advertising,2020/07/29,90.0000
CIBC,Banking Fees and Cheque Orders,2020/07/31,32.0000
Estevan Mercury,Advertising,2020/07/31,90.0000
Golden West Broadcasting Ltd.,Advertising,2020/07/31,200.0000
Golden West Broadcasting Ltd.,Advertising,2020/07/31,200.0000
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/08/01,540.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,155.4000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,161.3100
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/08/01,725.0000
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/08/01,1050.0000
Weyburn Review,Advertising,2020/08/04,194.5000
Rogers Inc.,Internet (COVID19),2020/08/10,74.9900
Weyburn Review,Advertising,2020/08/12,194.5000
SaskTel,Cable and Internet Fees,2020/08/19,300.8000
Estevan Mercury,Advertising,2020/08/26,100.0000
Weyburn Review,Advertising,2020/08/26,229.0000
Forum Media,Advertising,2020/08/27,125.0000
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/09/01,540.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,60.4200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,155.0400
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/09/01,725.0000
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/09/01,1050.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,22.6400
Canada Post – Postes Canada,Courier Services,2020/09/23,16.8700
"Handley, Julia Reese",Research Consultants,2020/09/24,1000.0000
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/10/01,540.0000
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/10/01,725.0000
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/10/01,1050.0000
