"Members – Detailed Contract Expenditures Report – Kusmierczyk, Irek – Q2 2021"
Supplier,Description,Date,Total
Lacasse spg,Signage,2020/03/30,1060.0000
BIZ X MAGAZINE,Advertising,2020/05/11,200.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Cogeco Connexion inc.,Cable and Internet Fees,2020/05/29,94.9500
Easy DNS,Web Site Hosting/Domain Name,2020/06/10,165.1300
ENWIN,Public Utilities,2020/06/10,18.4000
ENWIN,Public Utilities,2020/06/10,43.9100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/29,94.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,126.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/07/03,193.0900
BELL CANADA,Monthly Phone Service,2020/07/04,79.9000
"Vachon, John-Marc",Professional Communication Services,2020/07/05,150.0000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/08,66.0100
ENWIN,Public Utilities,2020/07/09,46.3800
Windsor Pure & Clean H2O to go!,Spring Water,2020/07/09,22.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,31.8000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5600
Alpha Pro,Janitorial Services and Maintenance,2020/07/21,200.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/29,94.9500
Grand & Toy,Office Furniture and Fixtures,2020/07/31,570.2400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,5.5200
2211342 Ont Inc,Office Rental and Related Fees,2020/08/01,1500.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,105.2600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,126.0000
BELL CANADA,Monthly Phone Service,2020/08/04,39.9500
ENWIN,Public Utilities,2020/08/04,108.1200
Essex Country Locksmiths,Office Renovations,2020/08/06,150.0000
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/07,88.2800
ENWIN,Public Utilities,2020/08/11,136.6900
ENWIN,Public Utilities,2020/08/11,46.2800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Best Buy,Office Furniture and Fixtures,2020/08/28,499.9900
Best Buy,Appliances,2020/08/28,79.9900
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/29,94.9500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,85.6200
Grand & Toy,Cleaning Products,2020/08/31,56.1800
Grand & Toy,Bulk Paper Purchases,2020/08/31,108.4000
2211342 Ont Inc,Office Rental and Related Fees,2020/09/01,1500.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,69.1500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,126.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
MNSi Telecom,Internet (COVID19),2020/09/01,80.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,14.3700
2211342 Ont Inc,Office Rental and Related Fees,2020/10/01,1500.0000
