"Members – Detailed Contract Expenditures Report – Seeback, Kyle – Q2 2021"
Supplier,Description,Date,Total
VAM COMPUTERS INC,Repair of Computer Equipment and Peripherals,2020/02/05,190.00
BELL CANADA / INTERNET,Cable and Internet Fees,2020/03/20,96.95
Orangeville Citizen,Advertising,2020/04/02,2400.00
Orangeville Citizen,Advertising,2020/04/16,2400.00
BELL CANADA,Cable and Internet Fees,2020/04/20,96.95
"BELL CANADA ",Cable and Internet Fees,2020/05/20,96.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.82
ORANGEVILLE HYDRO LIMITED,Public Utilities,2020/05/26,76.86
Orangeville Citizen,Advertising,2020/05/28,2400.00
My Broadcasting Corp.,Advertising,2020/05/31,1000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,288.54
Snapd Dufferin,Advertising,2020/06/01,200.00
GOOGLE,Advertising,2020/06/02,29.13
FACEBOOK INC.,Advertising,2020/06/04,100.00
FACEBOOK INC,Advertising,2020/06/07,100.00
Digital Vision Security,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/06/10,2980.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/10,103.64
FACEBOOK INC,Advertising,2020/06/11,100.00
FACEBOOK INC,Advertising,2020/06/12,32.21
AMAZON,Gifts given as a matter of protocol,2020/06/13,425.99
WALMART,Consumable Items for Constituency Offices (COVID19),2020/06/14,4.47
WALMART,Consumable Items for Constituency Offices (COVID19),2020/06/14,4.47
WALMART,Consumable Items for Constituency Offices (COVID19),2020/06/14,4.47
WALMART,Consumable Items for Constituency Offices (COVID19),2020/06/14,1.97
WALMART,Consumable Items for Constituency Offices (COVID19),2020/06/14,1.97
FACEBOOK,Advertising,2020/06/15,100.00
MAILCHIMP,Professional Communication Services,2020/06/18,102.73
"FACEBOOK ",Advertising,2020/06/19,100.00
"BELL CANADA ",Cable and Internet Fees,2020/06/20,96.95
CLASSIC CARE CLEANING AND MAINTENANCE,Janitorial Services and Maintenance,2020/06/20,150.00
WALMART,Office Decor,2020/06/22,16.97
FACEBOOK,Advertising,2020/06/23,100.00
HOME HARDWARE,Spring Water,2020/06/23,10.98
STAPLES,"Office Supplies, Stationery and Accessories",2020/06/23,7.99
STAPLES,"Office Supplies, Stationery and Accessories",2020/06/23,8.39
STAPLES,"Office Supplies, Stationery and Accessories",2020/06/23,14.99
STAPLES,"Office Supplies, Stationery and Accessories",2020/06/23,8.69
ORANGEVILLE HYDRO LIMITED,Public Utilities,2020/06/24,83.34
FACEBOOK,Advertising,2020/06/25,100.00
ROGERS CABLE,Cable and Internet Fees,2020/06/25,137.63
"CINTAS CANADA LTD ",Janitorial Services and Maintenance,2020/06/26,53.75
FACEBOOK,Advertising,2020/06/28,100.00
My Broadcasting Corp.,Advertising,2020/06/28,1000.00
My Broadcasting Corp.,Advertising,2020/06/28,300.00
"Micheals  ","Office Supplies, Stationery and Accessories",2020/06/29,6.69
"Micheals  ","Office Supplies, Stationery and Accessories",2020/06/29,16.98
WIX.COM LTD,Professional Communication Services,2020/06/29,39.21
ZOOM,Licence Renewal,2020/06/29,20.00
Broadway Engraving,Signage,2020/06/30,50.00
MONO ARTS & GRAPHICS PRINTING LTD.,Constituency Mail,2020/06/30,6330.75
"Scotia Bank ",Banking Fees and Cheque Orders,2020/06/30,12.50
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/06/30,99.45
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,287.79
SecurTek Monitoring Solutions Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,150.00
Snapd Dufferin,Advertising,2020/07/01,200.00
GOOGLE,Advertising,2020/07/02,21.55
Orangeville Citizen,Advertising,2020/07/02,2400.00
"Singh, Harneet",Information Technology (IT) Support Officer,2020/07/02,1500.00
