"Members – Detailed Contract Expenditures Report – Lamoureux, Kevin – Q2 2021"
Supplier,Description,Date,Total
ASCA Office Solutions,Other Chemical Products,2020/03/05,353.0000
Home Depot,"Office Supplies, Stationery and Accessories",2020/04/28,96.2700
Canadian Tire,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/08,5.3400
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/08,15.9200
Shaw Business,Cable and Internet Fees,2020/05/08,167.9400
Winnipeg Free Press,Advertising,2020/05/10,475.0000
WR Display & Packaging,Consumable Items for Constituency Offices (COVID19),2020/05/10,21.2900
WR Display & Packaging,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/10,14.7100
WR Display & Packaging,Consumable Items for Constituency Offices (COVID19),2020/05/10,25.5700
WR Display & Packaging,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/10,18.6800
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/12,35.7900
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/13,45.3500
ReStore,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/13,8.5600
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/05/20,53.4800
Shaw Business,Cable and Internet Fees,2020/05/22,89.8300
Choice Communication,Advertising,2020/05/23,153.8100
Dollar Tree #40248,"Office Supplies, Stationery and Accessories",2020/05/24,14.9100
Home Depot,"Office Supplies, Stationery and Accessories",2020/05/25,10.2300
Regehr's Printing Ltd.,Constituency Mail,2020/05/25,2186.7900
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Xerox,Photocopier Rental and Related Costs,2020/05/26,17.1600
Xerox,Photocopier Rental and Related Costs,2020/05/26,92.0500
Facebook,Advertising,2020/05/31,263.9400
Benchmark Advertising Ltd.,Advertising,2020/06/01,510.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,182.0000
SecurTek,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,18.7300
Winnipeg Outdoor Marketing Group Inc.,Advertising,2020/06/01,150.0000
Home Depot,Office Plants and Flowers,2020/06/02,8.5000
Manitoba Hydro,Public Utilities,2020/06/04,141.0100
Manitoba Hydro,Public Utilities,2020/06/04,24.6400
Home Depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/07,31.7900
Shaw Business,Cable and Internet Fees,2020/06/08,166.5200
TE Brothers Inc.,Advertising,2020/06/11,114.2900
Michaels #4932,"Office Supplies, Stationery and Accessories",2020/06/12,6.7300
Michaels #4932,Office Plants and Flowers,2020/06/12,37.3400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Real Canadian Superstore,Office Plants and Flowers,2020/06/16,23.5400
Walmart #3107,Office Plants and Flowers,2020/06/16,5.8400
"Tataryn, Stan",Subject Matter Expert,2020/06/18,510.0000
Filipino Journal,Advertising,2020/06/19,110.0000
Shaw Business,Cable and Internet Fees,2020/06/22,89.8300
Dollarama,Office Plants and Flowers,2020/06/23,11.7700
Xerox,Photocopier Rental and Related Costs,2020/06/26,3.9100
Xerox,Photocopier Rental and Related Costs,2020/06/26,92.0500
Winnipeg Outdoor Marketing Group Inc.,Advertising,2020/06/29,150.0000
Facebook,Advertising,2020/06/30,284.4000
Grand & Toy,Digital Communication Equipment,2020/06/30,13.5900
Grand & Toy,Cleaning Products,2020/06/30,330.5300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,320.4800
Regehr's Printing Ltd.,"Householders ",2020/06/30,4349.5500
Benchmark Advertising Ltd.,Advertising,2020/07/01,1190.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Pilipino Express,Advertising,2020/07/01,57.1400
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,180.0000
SecurTek,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,18.7300
Costco Wholesale,Voice Communication Equipment,2020/07/02,202.4400
Winnipeg Water and Waste Department,Public Utilities,2020/07/02,95.0200
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/03,17.1200
Dollarama,Office Plants and Flowers,2020/07/06,17.1200
Manitoba Hydro,Public Utilities,2020/07/07,17.0100
Manitoba Hydro,Public Utilities,2020/07/07,91.5500
Real Canadian Superstore,Office Plants and Flowers,2020/07/07,6.4200
Dollarama,Office Plants and Flowers,2020/07/08,8.5600
Shaw Business,Cable and Internet Fees,2020/07/08,166.9200
"Tataryn, Stan",Subject Matter Expert,2020/07/16,510.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,16.2200
Dollarama,Office Plants and Flowers,2020/07/18,11.2400
Dollarama,Office Plants and Flowers,2020/07/22,11.2400
Shaw Business,Cable and Internet Fees,2020/07/22,89.8300
The Source,"Office Supplies, Stationery and Accessories",2020/07/26,53.6900
Winnipeg Outdoor Marketing Group Inc.,Advertising,2020/07/27,157.5000
Carpet Value Stores Ltd.,Office Decor,2020/07/28,376.3200
Xerox,Photocopier Rental and Related Costs,2020/07/29,92.0600
Xerox,Photocopier Rental and Related Costs,2020/07/29,7.0900
Facebook,Advertising,2020/07/31,234.1700
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,56.1900
Grand & Toy,Cleaning Products,2020/07/31,12.3300
Grand & Toy,Digital Communication Equipment,2020/07/31,11.8800
Home Depot,Office Renovations,2020/07/31,21.3100
"Babinsky, Andrea",Office Rental and Related Fees,2020/08/01,523.8100
Benchmark Advertising Ltd.,Advertising,2020/08/01,680.0000
NEW WEST ENTERPRISE PROPERTY GROUP IN TRUST FOR 787 INVESTMENTS LTD,Office Rental and Related Fees,2020/08/01,2170.5000
Pilipino Express,Advertising,2020/08/01,295.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,262.0000
Rona Home and Garden,"Office Supplies, Stationery and Accessories",2020/08/01,23.5200
SecurTek,Protection and Alarm Monitoring (Member's Office Budget),2020/08/01,18.7300
Rona Home and Garden,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/02,105.9300
