"Members – Detailed Contract Expenditures Report – Bagnell, Larry – Q2 2021"
Supplier,Description,Date,Total
Harper Street Publishing Inc.,Advertising,2020/02/15,969.00
Harper Street Publishing Inc.,Advertising,2020/02/15,795.00
Tek Savvy,Internet (COVID19),2020/04/15,44.95
NORTHWESTEL INC,Internet (COVID19),2020/04/22,79.95
NORTHWESTEL INC,Internet (COVID19),2020/04/22,79.95
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/04/30,250.00
PR SERVICES LTD.,Web Site Hosting/Domain Name,2020/05/05,99.75
Canada Post,Postage and Parcel Post,2020/05/12,9.75
Harper Street Publishing Inc.,Advertising,2020/05/15,969.00
KLONDIKE BUISNESS SOLUTIONS,Photocopier Rental and Related Costs,2020/05/29,183.88
NORTHWESTEL INC,Cable and Internet Fees,2020/06/02,481.80
Home Hardware Building Centre,Office Plants and Flowers,2020/06/05,25.47
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/07,12.00
Wal-Mart,"Office Supplies, Stationery and Accessories",2020/06/07,20.00
The Source,"Office Supplies, Stationery and Accessories",2020/06/10,77.98
Staples,"Office Supplies, Stationery and Accessories",2020/06/11,4.29
Canada Post,Postage and Parcel Post,2020/06/12,129.00
TekSavvy,Internet (COVID19),2020/06/15,49.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
LOCKSMITH SERVICES,"Office Supplies, Stationery and Accessories",2020/06/18,15.00
Northwestel,Internet (COVID19),2020/06/22,79.95
Northwestel,Internet (COVID19),2020/06/22,79.95
Canada Post,Postage and Parcel Post,2020/06/26,16.90
Klondike Business Solutions,Photocopier Rental and Related Costs,2020/06/30,33.90
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/06/30,250.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,152.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Spectrum Security-Sound Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,74.97
NORTHWESTEL INC,Cable and Internet Fees,2020/07/02,501.14
Canada Post,Postage and Parcel Post,2020/07/09,15.57
WalMart,Consumable Items for Constituency Offices (COVID19),2020/07/12,39.90
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.33
Klondike Business Solutions,Photocopier Rental and Related Costs,2020/07/31,83.63
Lanix PM Ltd,Janitorial Services and Maintenance,2020/07/31,52.00
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/07/31,250.00
535851 YUKON INC,Office Rental and Related Fees,2020/08/01,3775.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,152.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
NORTHWESTEL INC,Cable and Internet Fees,2020/08/02,498.87
Staples,"Office Supplies, Stationery and Accessories",2020/08/06,38.42
Coles,"Office Supplies, Stationery and Accessories",2020/08/13,29.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/08/26,250.00
535851 YUKON INC,Office Rental and Related Fees,2020/09/01,3775.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,152.88
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Staples,"Office Supplies, Stationery and Accessories",2020/09/08,92.49
Renueva,Consumable Items for Constituency Offices (COVID19),2020/09/15,20.00
Canada Post,Postage and Parcel Post,2020/09/17,15.25
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,15.10
Canada Post – Postes Canada,Courier Services,2020/09/23,15.06
Canada Post – Postes Canada,Courier Services,2020/09/23,9.53
Canada Post – Postes Canada,Courier Services,2020/09/23,10.23
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,16.51
Canada Post – Postes Canada,Courier Services,2020/09/23,96.39
Canada Post – Postes Canada,Courier Services,2020/09/23,10.88
Canada Post – Postes Canada,Courier Services,2020/09/23,9.33
535851 YUKON INC,Office Rental and Related Fees,2020/10/01,3775.00
