"Members – Detailed Travel Expenditures Report – Bagnell, Larry – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200430667,2020/08/01,2020/08/31,,,,,,,0.0000,1354.6200,0.0000,0,0,0,1354.62
200430667,2020/08/01,2020/08/31,"Bagnell, Larry",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204044,2020/08/14,2020/08/16,,,,,,,530.7400,361.4400,252.5000,0,0.0000,0,1144.68
T0204044,2020/08/14,2020/08/16,"Bagnell, Larry",Member,To attend a constituency or community event,2020/08/14,Whitehorse,Dawson City,,,,,,,
T0204044,2020/08/14,2020/08/16,"Bagnell, Larry",Member,To attend a constituency or community event,2020/08/16,Dawson City,Whitehorse,,,,,,,
200437149,2020/09/01,2020/09/30,,,,,,,0.0000,1354.6200,0.0000,0,0,0,1354.62
200437149,2020/09/01,2020/09/30,"Bagnell, Larry",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205390,2020/09/16,2020/09/16,,,,,,,37.4800,0.0000,0.0000,0.0000,0,0,37.48
T0205390,2020/09/16,2020/09/16,"Bagnell, Larry",Member,To attend a constituency or community event,2020/09/16,Upper Laberge,Whitehorse,,,,,,,
T0205390,2020/09/16,2020/09/16,"Bagnell, Larry",Member,To attend a constituency or community event,2020/09/16,Whitehorse,Upper Laberge,,,,,,,
200442009,2020/10/01,2020/10/31,,,,,,,0.0000,1354.6200,0.0000,0,0,0,1354.62
200442009,2020/10/01,2020/10/31,"Bagnell, Larry",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
