"Members – Detailed Contract Expenditures Report – Lattanzio, Patricia – Q2 2021"
Supplier,Description,Date,Total
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/03/20,91.7600
journal de st michel,Advertising,2020/04/08,550.0000
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/04/20,91.7600
Métro Média,Advertising,2020/05/09,72.0000
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/05/21,35.3000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
GardaWorld Systèmes de sécurité,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,227.4000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Métro Média,Advertising,2020/06/06,226.0000
journal de st michel,Advertising,2020/06/08,300.0000
"FILIPINO FORUM, THE",Advertising,2020/06/12,75.0000
Il Cittadino Canadese,Advertising,2020/06/15,320.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
JOURNAL DE ST-MICHEL,Advertising,2020/06/17,250.0000
JOURNAL DE ST-MICHEL,Advertising,2020/06/17,250.0000
JOURNAL DE ST-MICHEL,Advertising,2020/06/17,250.0000
Métro Média,Advertising,2020/06/20,452.0000
cittadino canadese,Advertising,2020/06/23,71.0000
Mains Utiles,Consumable Items for Constituency Offices (COVID19),2020/06/23,250.0000
deserres,"Office Supplies, Stationery and Accessories",2020/06/27,62.6100
Métro Média,Advertising,2020/06/27,72.0000
Métro Média,Advertising,2020/06/27,452.0000
RADIO HUMSAFAR,Advertising,2020/06/27,40.0000
amazon,Computer Equipment,2020/06/28,61.9800
Grand & Toy,Cleaning Products,2020/06/30,777.1300
Grand & Toy,Office Furniture and Fixtures,2020/06/30,36.9900
