"Members – Detailed Contract Expenditures Report – Collins, Laurel – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/05/31,450.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,117.54
Dads Printing,Promotional Items,2020/06/26,2166.75
Shaw Direct,Cable and Internet Fees,2020/06/27,149.80
Black Press Group Ltd.,Advertising,2020/06/28,827.50
James Bay Beacon,Advertising,2020/06/29,127.00
MailChimp,Professional Communication Services,2020/06/29,93.21
Grand & Toy,Cleaning Products,2020/06/30,83.05
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,53.49
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/06/30,360.00
Lookout Newspaper & Creative Services,Advertising,2020/06/30,357.00
Times Colonist,Advertising,2020/06/30,963.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,167.56
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,117.54
UNIVERSITY OF VICTORIA,Householders,2020/07/03,9338.21
Black Press Group Ltd.,Advertising,2020/07/05,486.50
Black Press Group Ltd.,Advertising,2020/07/12,364.25
Camosun College,Advertising,2020/07/13,600.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,4.33
BC HYDRO,Public Utilities,2020/07/17,127.65
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.36
Shaw Direct,Cable and Internet Fees,2020/07/27,149.80
Mailchimp,Professional Communication Services,2020/07/30,101.17
Grand & Toy,Cleaning Products,2020/07/31,17.83
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/07/31,360.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,167.56
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
Oak Bay Rental Investments,Office Rental and Related Fees,2020/08/01,2749.56
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,95.25
Facebook,Advertising,2020/08/19,8.00
Facebook,Advertising,2020/08/22,8.00
Facebook,Advertising,2020/08/24,2.00
James Bay Beacon,Advertising,2020/08/24,127.00
Fairfield Gonzales Community Association,Advertising,2020/08/27,160.00
Shaw Direct,Cable and Internet Fees,2020/08/27,149.80
Mailchimp,Professional Communication Services,2020/08/30,99.24
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,80.77
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,171.11
Oak Bay Rental Investments,Office Rental and Related Fees,2020/09/01,2749.56
Canada Post,Postage and Parcel Post,2020/09/10,240.21
BC HYDRO,Public Utilities,2020/09/17,131.37
Canada Post – Postes Canada,Courier Services,2020/09/23,99.31
Shaw Direct,Cable and Internet Fees,2020/09/27,149.80
Canada Post – Postes Canada,Courier Services,2020/09/30,7.26
Oak Bay Rental Investments,Office Rental and Related Fees,2020/10/01,2749.56
