"Members – Detailed Hospitality Expenditures Report – Lehoux, Richard – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Saint-Georges,0,To meet visitors of Member’s office,Hosting a meeting,M0241832,IGA,29.2900
2020/04/01,Sainte-Marie,0,To meet visitors of Member’s office,Hosting a meeting,M0240948,MAXI,52.2200
2020/04/01,Sainte-Marie,0,To meet visitors of Member’s office,Hosting a meeting,M0247035,Super C,50.2500
2020/06/26,Saint-Georges,1,To meet constituents,Hosting a meeting,M0241062,ROCK CAFÉ,55.9600
2020/06/26,Saint-Georges,1,To meet constituents,Hosting a meeting,M0241062,Restaurant chez Gérard,24.6800
2020/07/09,Sainte-Marie,3,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0242443,"CCINB, La",500.0000
2020/07/14,Saint-Georges,2,To meet constituents,Hosting a meeting,M0242709,TABLE JUNIOR,53.1100
2020/07/29,Saint-Côme--Linière,2,To meet constituents,Hosting a meeting,M0244556,LA GOURMANDISE RETRO,70.4200
2020/08/04,Saint-Prosper (Les Etchemins),2,To meet constituents,Hosting a meeting,M0244556,"RESTAURANT LA GRILLE ",35.5700
2020/08/05,Sainte-Marie,3,To meet constituents,Hosting a meeting,M0244556,RESTAURANT G2,60.8200
2020/08/08,Saint-Benjamin,1,To meet constituents,Meal at a community activity or event,M0245946,Perfection Auto,120.0000
2020/08/19,Saint-Georges,2,To meet constituents,Hosting a meeting,M0246006,PIZZA SALVATORE,26.3600
2020/08/28,Sainte-Marie,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0246006,GIOVANNINA PIZZERIA,53.7200
2020/09/10,Saint-Georges,0,To meet constituents,Meal at a community activity or event,M0247035,CHAMBRE DE COMMERCE ST-GEORGES,75.0000
2020/09/11,Saint-Joseph-de-Beauce,4,To meet constituents,Hosting a meeting,M0247035,LE CAPRI,65.1500
