"Members – Detailed Contract Expenditures Report – Lemire, Sébastien – Q2 2021"
Supplier,Description,Date,Total
JOURNAL L'INFO,Advertising,2020/04/06,250.0000
Journal Le Pont de Palmarolle,Advertising,2020/04/27,25.0000
Corporation de développement socio-économique de Saint-Marc-de- Figuery,Advertising,2020/04/28,85.0000
Télévision Communautaire du Témiscamingue,Advertising,2020/05/19,75.0000
Journal Le Pont de Palmarolle,Advertising,2020/05/30,25.0000
Fibrair Télécommunications Inc.,Cable and Internet Fees,2020/06/01,185.0000
bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/17,35.2400
JOURNAL L'ALLIANCE,Advertising,2020/06/22,165.0000
"Reflet Témiscamien, Le",Advertising,2020/06/23,112.5300
Shenzhen lanke E-commerce,Freight,2020/06/24,5.7400
Shenzhen lanke E-commerce,"Office Supplies, Stationery and Accessories",2020/06/24,59.9900
FM 93.1 CKVM,Advertising,2020/06/28,500.0000
bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/30,12.7700
caisse Desjardins,Banking Fees and Cheque Orders,2020/06/30,5.9500
Journal Le Pont de Palmarolle,Advertising,2020/06/30,25.0000
TÉMABEX INC.,Janitorial Services and Maintenance,2020/06/30,159.4600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,224.3000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,44.0000
Fibrair Télécommunications Inc.,Cable and Internet Fees,2020/07/01,185.0000
Troupe A Coeur ouvert inc.,Advertising,2020/07/10,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,67.7800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1000
poste Canada,Postage and Parcel Post,2020/07/21,14.6700
Lettrage France Gauthier,Signage,2020/07/30,325.0000
caisse Desjardins,Banking Fees and Cheque Orders,2020/07/31,5.9500
TÉMABEX INC.,Janitorial Services and Maintenance,2020/07/31,145.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,35.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,224.3000
Fibrair Télécommunications Inc.,Cable and Internet Fees,2020/08/01,185.0000
PLACEMENTS MGT LTEE (LES),Office Rental and Related Fees,2020/08/01,2562.1500
Municipalité de Laforce,Advertising,2020/08/15,200.0000
PLACEMENTS MGT LTEE (LES),Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/18,124.3700
PLACEMENTS MGT LTEE (LES),"Office Rentals, Taxes, Common Area Fees",2020/08/25,480.0000
VELO CITE ROUYN-NORANDA,Advertising,2020/08/26,500.0000
TÉMABEX INC.,Janitorial Services and Maintenance,2020/08/31,145.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,43.7000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,224.3000
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,7.5000
Fibrair Télécommunications Inc.,Cable and Internet Fees,2020/09/01,185.0000
PLACEMENTS MGT LTEE (LES),Office Rental and Related Fees,2020/09/01,2562.1500
coup d'pouce copies,Signage,2020/09/02,58.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,10.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,9.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
PLACEMENTS MGT LTEE (LES),Office Rental and Related Fees,2020/10/01,2562.1500
