"Members – Detailed Contract Expenditures Report – Alleslev, Leona – Q2 2021"
Supplier,Description,Date,Total
SNAPD RICHMOND HILL,Advertising,2020/04/14,1234.00
SNAPD RICHMOND HILL,Advertising,2020/05/11,1234.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,254.54
alectra,Public Utilities,2020/06/12,73.02
rogers,Cable and Internet Fees,2020/06/14,266.42
SNAPD RICHMOND HILL,Advertising,2020/06/15,1234.00
facebook,Advertising,2020/06/24,135.79
enbridge,Public Utilities,2020/06/25,72.41
Express Gazeta,Advertising,2020/06/29,60.00
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/30,103.65
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,260.79
staples,"Office Supplies, Stationery and Accessories",2020/07/02,53.93
shopper's drug mart,"Office Supplies, Stationery and Accessories",2020/07/08,14.28
Rogers,Cable and Internet Fees,2020/07/14,266.42
alectra,Public Utilities,2020/07/15,167.08
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.47
facebook,Advertising,2020/07/24,120.83
enbridge,Public Utilities,2020/07/27,73.24
Fresh Start Janitorial Services,Janitorial Services and Maintenance,2020/07/29,250.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/29,2798.00
House of Commons – Chambre des communes,Language Training,2020/07/31,27.64
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/08/01,2077.67
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,406.50
Snapd Inc,Advertising,2020/08/01,1235.00
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,140.97
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/08/12,117.60
Rogers,Cable and Internet Fees,2020/08/14,266.42
alectra,Public Utilities,2020/08/17,161.73
facebook,Advertising,2020/08/24,223.98
Enbridge,Public Utilities,2020/08/26,72.12
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/09/01,2077.67
Canada Computers,"Office Supplies, Stationery and Accessories",2020/09/11,99.09
Canada Computers,"Office Supplies, Stationery and Accessories",2020/09/11,15.98
alectra,Public Utilities,2020/09/15,121.19
Canada Post – Postes Canada,Courier Services,2020/09/23,8.06
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,11.61
Canada Post – Postes Canada,Courier Services,2020/09/23,7.61
Canada Post – Postes Canada,Courier Services,2020/09/23,7.38
Canada Post – Postes Canada,Courier Services,2020/09/23,6.90
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/30,10.30
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/10/01,2077.67
