"Members – Detailed Travel Expenditures Report – Alleslev, Leona – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202640,2020/04/27,2020/05/28,,,,,,,0.0000,31.2500,0.0000,0,0,0,31.25
T0202640,2020/04/27,2020/05/28,"Alleslev, Leona",Member,Secondary Residence,2020/04/27,Ottawa,Ottawa,,,,,,,
T0203210,2020/05/28,2020/06/27,,,,,,,0.0000,32.6300,0.0000,0,0,0,32.63
T0203210,2020/05/28,2020/06/27,"Alleslev, Leona",Member,Secondary Residence,2020/05/28,Ottawa,Ottawa,,,,,,,
T0202641,2020/06/12,2020/07/11,,,,,,,0.0000,111.9800,0.0000,0,0,0,111.98
T0202641,2020/06/12,2020/07/11,"Alleslev, Leona",Member,Secondary Residence,2020/06/12,Ottawa,Ottawa,,,,,,,
T0202443,2020/06/16,2020/06/19,,,,,,,419.2600,0.0000,343.8800,1.0000,0,0,763.14
T0202443,2020/06/16,2020/06/19,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/06/16,Richmond Hill,Ottawa,,,,,,,
T0202443,2020/06/16,2020/06/19,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/06/19,Ottawa,Richmond Hill,,,,,,,
T0202439,2020/06/17,2020/06/19,,,,,,,21.4300,0.0000,0.0000,0.0000,0,0,21.43
T0202439,2020/06/17,2020/06/19,,Designated Traveller,To travel to/from constituency and Ottawa,2020/06/17,Richmond Hill,Ottawa,,,,,,,
T0202439,2020/06/17,2020/06/19,,Designated Traveller,To travel to/from constituency and Ottawa,2020/06/19,Ottawa,Richmond Hill,,,,,,,
T0205028,2020/06/27,2020/07/28,,,,,,,0.0000,42.9800,0.0000,0,0,0,42.98
T0205028,2020/06/27,2020/07/28,"Alleslev, Leona",Member,Secondary Residence,2020/06/27,Ottawa,Ottawa,,,,,,,
T0203208,2020/07/05,2020/07/10,,,,,,,595.8300,554.9100,274.5100,1.0000,0,0,1425.25
T0203208,2020/07/05,2020/07/10,"Campeau, Kaitlin Renée",Employee,To travel to/from constituency and Ottawa,2020/07/05,Ottawa,Richmond Hill,,,,,,,
T0203208,2020/07/05,2020/07/10,"Campeau, Kaitlin Renée",Employee,To travel to/from constituency and Ottawa,2020/07/10,Richmond Hill,Ottawa,,,,,,,
T0202994,2020/07/06,2020/07/10,,,,,,,403.0800,110.9800,217.8100,1.0000,0,0,731.87
T0202994,2020/07/06,2020/07/10,"Oleniuk, Katrina",Employee,To travel to/from constituency and Ottawa,2020/07/06,Ottawa,Richmond Hill,,,,,,,
T0202994,2020/07/06,2020/07/10,"Oleniuk, Katrina",Employee,To travel to/from constituency and Ottawa,2020/07/10,Richmond Hill,Ottawa,,,,,,,
T0203211,2020/07/12,2020/08/11,,,,,,,0.0000,111.9800,0.0000,0,0,0,111.98
T0203211,2020/07/12,2020/08/11,"Alleslev, Leona",Member,Secondary Residence,2020/07/12,Ottawa,Ottawa,,,,,,,
T0205031,2020/07/28,2020/08/27,,,,,,,0.0000,45.4500,0.0000,0,0,0,45.45
T0205031,2020/07/28,2020/08/27,"Alleslev, Leona",Member,Secondary Residence,2020/07/28,Ottawa,Ottawa,,,,,,,
200430657,2020/08/01,2020/08/31,,,,,,,0.0000,1906.1500,0.0000,0,0,0,1906.15
200430657,2020/08/01,2020/08/31,"Alleslev, Leona",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0205034,2020/08/11,2020/08/13,,,,,,,425.9800,0.0000,199.8200,1.0000,0,0,625.80
T0205034,2020/08/11,2020/08/13,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/08/11,Richmond Hill,Ottawa,,,,,,,
T0205034,2020/08/11,2020/08/13,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Richmond Hill,,,,,,,
T0205029,2020/08/12,2020/09/11,,,,,,,0.0000,111.9800,0.0000,0,0,0,111.98
T0205029,2020/08/12,2020/09/11,"Alleslev, Leona",Member,Secondary Residence,2020/08/12,Ottawa,Ottawa,,,,,,,
200437139,2020/09/01,2020/09/30,,,,,,,0.0000,1906.1500,0.0000,0,0,0,1906.15
200437139,2020/09/01,2020/09/30,"Alleslev, Leona",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205037,2020/09/08,2020/09/10,,,,,,,425.9800,0.0000,199.8200,1.0000,0,0,625.80
T0205037,2020/09/08,2020/09/10,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/09/08,Richmond Hill,Ottawa,,,,,,,
T0205037,2020/09/08,2020/09/10,"Alleslev, Leona",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Richmond Hill,,,,,,,
T0205032,2020/09/12,2020/10/11,,,,,,,0.0000,111.9800,0.0000,0,0,0,111.98
T0205032,2020/09/12,2020/10/11,"Alleslev, Leona",Member,Secondary Residence,2020/09/12,Ottawa,Ottawa,,,,,,,
T0205039,2020/09/16,2020/09/16,,,,,,,54.5000,0.0000,15.4500,0,0.0000,0,69.95
T0205039,2020/09/16,2020/09/16,"Alleslev, Leona",Member,To support a parliamentary association,2020/09/16,Richmond Hill,Alliston,,,,,,,
T0205039,2020/09/16,2020/09/16,"Alleslev, Leona",Member,To support a parliamentary association,2020/09/16,Alliston,Richmond Hill,,,,,,,
T0205399,2020/09/20,2020/09/25,,,,,,,438.6800,1045.1300,445.1800,1.0000,0,0,1928.99
T0205399,2020/09/20,2020/09/25,"Milani, Anna",Employee,To travel to/from constituency and Ottawa,2020/09/20,Richmond Hill,Ottawa,,,,,,,
