"Members – Detailed Travel Expenditures Report – Rood, Lianne – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202807,2020/06/01,2020/07/22,,,,,,,0.0000,1604.9500,0.0000,0,0,0,1604.95
T0202807,2020/06/01,2020/07/22,"Rood, Lianne",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202807,2020/06/01,2020/07/22,"Rood, Lianne",Member,Secondary Residence,2020/06/23,Ottawa,Ottawa,,,,,,,
T0202804,2020/06/05,2020/06/26,,,,,,,287.9000,0.0000,79.8700,0.0000,0,0,367.77
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/05,Lambton Shores,Strathroy,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/23,Dresden,Lambton Shores,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/05,Strathroy,Lambton Shores,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/06,Lambton Shores,Lambton Shores,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/06,Lambton Shores,Lambton Shores,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/22,Lambton Shores,Strathroy,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/22,Strathroy,Lambton Shores,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/23,Lambton Shores,Pain Court,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/23,Pain Court,Chatham-Kent,,,,,,,
T0202804,2020/06/05,2020/06/26,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/06/23,Chatham-Kent,Dresden,,,,,,,
T0202552,2020/06/14,2020/06/18,,,,,,,352.1600,0.0000,393.2100,0.5000,0,0,745.37
T0202552,2020/06/14,2020/06/18,"Rood, Lianne",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Grand Bend,,,,,,,
T0202802,2020/06/28,2020/07/03,,,,,,,691.1100,0.0000,239.6000,1.0000,0,0,930.71
T0202802,2020/06/28,2020/07/03,"Rood, Lianne",Member,To travel to/from constituency and Ottawa,2020/06/28,Grand Bend,Ottawa,,,,,,,
T0202802,2020/06/28,2020/07/03,"Rood, Lianne",Member,To travel to/from constituency and Ottawa,2020/07/03,Ottawa,Grand Bend,,,,,,,
T0203751,2020/07/01,2020/08/22,,,,,,,0.0000,1634.9500,0.0000,0,0,0,1634.95
T0203751,2020/07/01,2020/08/22,"Rood, Lianne",Member,Secondary Residence,2020/07/23,Ottawa,Ottawa,,,,,,,
T0203751,2020/07/01,2020/08/22,"Rood, Lianne",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203915,2020/07/09,2020/07/24,,,,,,,3221.3900,822.2800,641.5400,0,1.5000,0,4685.21
T0203915,2020/07/09,2020/07/24,"Rood, Lianne",Member,To attend meetings with stakeholders about business of the House,2020/07/09,Grand Bend,Vancouver,,,,,,,
T0203915,2020/07/09,2020/07/24,"Rood, Lianne",Member,To attend meetings with stakeholders about business of the House,2020/07/16,Vancouver,Kamloops,,,,,,,
T0203915,2020/07/09,2020/07/24,"Rood, Lianne",Member,To attend meetings with stakeholders about business of the House,2020/07/24,Vancouver,Grand Bend,,,,,,,
T0205555,2020/07/25,2020/07/30,,,,,,,442.0200,0.0000,196.6100,0.0000,0.0000,0,638.63
T0205555,2020/07/25,2020/07/30,"Rood, Lianne",Member,To attend a constituency or community event,2020/07/25,Kerwood,Lambton Shores,,,,,,,
T0205555,2020/07/25,2020/07/30,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/07/29,London,Alvinston,,,,,,,
T0205555,2020/07/25,2020/07/30,"Rood, Lianne",Member,To attend meetings about constituency issues,2020/07/30,Bothwell,Chatham-Kent,,,,,,,
