"Members – Detailed Contract Expenditures Report – Mathyssen, Lindsay – Q2 2021"
Supplier,Description,Date,Total
TekSavvy,Internet (COVID19),2020/03/28,75.27
cogeco,Internet (COVID19),2020/03/31,50.00
rogers,Internet (COVID19),2020/03/31,75.00
Cogeco,Internet (COVID19),2020/04/15,50.00
TekSavvy,Internet (COVID19),2020/04/28,75.27
Rogers,Internet (COVID19),2020/04/30,75.00
cogeco,Internet (COVID19),2020/05/15,50.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
London hydro,Public Utilities,2020/05/28,79.88
Rogers,Internet (COVID19),2020/05/31,75.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,162.54
Enbridge,Public Utilities,2020/06/05,45.69
Shoppers,Cleaning Products,2020/06/05,39.53
Rogers,Cable and Internet Fees,2020/06/11,124.99
cogeco,Internet (COVID19),2020/06/15,50.00
Facebook,Advertising,2020/06/18,147.13
FARA TRADING INC.,Advertising,2020/06/25,275.00
london hydro,Public Utilities,2020/06/29,145.48
OUTFRONT MEDIA CANADA LP,Advertising,2020/06/29,300.00
OUTFRONT MEDIA CANADA LP,Advertising,2020/06/29,1200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,50.44
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,15.69
libro,Banking Fees and Cheque Orders,2020/06/30,1.50
Upsign,Advertising,2020/06/30,180.00
ALBILAD PUBLISHING,Advertising,2020/07/01,425.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,202.79
"BareMetal ",Licence Renewal,2020/07/02,50.40
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/06,169.00
Madison  Dasilva,Janitorial Services and Maintenance,2020/07/06,360.00
Swish Maintenance Limited,Consumable Items for Constituency Offices (COVID19),2020/07/07,319.91
Enbridge,Public Utilities,2020/07/08,84.97
Florest of flowers,Gifts given as a matter of protocol,2020/07/09,88.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/10,52.49
Rogers,Cable and Internet Fees,2020/07/11,124.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,62.33
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/17,310.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.96
Swish,Consumable Items for Constituency Offices (COVID19),2020/07/22,91.06
swish,Consumable Items for Constituency Offices (COVID19),2020/07/23,243.08
Lovers Atwork Office Furniture,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/24,582.00
Lovers Atwork Office Furniture,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/24,227.74
FARA TRADING INC.,Advertising,2020/07/25,275.00
dollar tree,"Office Supplies, Stationery and Accessories",2020/07/27,11.25
London Hydro,Public Utilities,2020/07/27,222.79
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/30,50.30
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,195.71
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,79.98
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,120.56
Salem Road Productions,Advertising,2020/07/31,400.00
ALBILAD PUBLISHING,Advertising,2020/08/01,425.00
PEACH SUN POWER CORP.,Office Rental and Related Fees,2020/08/01,2244.38
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,281.54
Enbridge,Public Utilities,2020/08/10,22.50
Rogers,Cable and Internet Fees,2020/08/11,124.99
London Hydro,Public Utilities,2020/08/16,202.56
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,264.33
FARA TRADING INC.,Advertising,2020/08/25,150.00
Madison Da Silva,Janitorial Services and Maintenance,2020/08/29,480.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,85.24
OUTFRONT MEDIA CANADA LP,Advertising,2020/08/31,1800.00
OUTFRONT MEDIA CANADA LP,Advertising,2020/08/31,900.00
ALBILAD PUBLISHING,Advertising,2020/09/01,175.00
PEACH SUN POWER CORP.,Office Rental and Related Fees,2020/09/01,2244.38
Enbridge,Public Utilities,2020/09/07,22.50
House of Commons – Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2020/09/09,29.13
walmart,"Office Supplies, Stationery and Accessories",2020/09/10,36.46
Walmart,Consumable Items for Constituency Offices (COVID19),2020/09/10,50.45
OUTFRONT MEDIA CANADA LP,Advertising,2020/09/11,305.00
OUTFRONT MEDIA CANADA LP,Advertising,2020/09/11,573.00
Rogers,Cable and Internet Fees,2020/09/11,124.99
Canada Post – Postes Canada,Courier Services,2020/09/23,13.91
PEACH SUN POWER CORP.,Office Rental and Related Fees,2020/10/01,2244.38
