"Members – Detailed Contract Expenditures Report – Lloyd, Dane – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,235.0000
CAMPAIGN LIFE COALITION,Advertising,2020/06/06,250.0000
EPCOR,Public Utilities,2020/06/18,43.9900
EPCOR,Public Utilities,2020/06/18,197.1400
Review Free Press Heartland extra (The),Advertising,2020/06/24,404.0000
Archer Industries Ltd.,Janitorial Services and Maintenance,2020/06/25,105.0000
TELUS Communications Inc.,Cable and Internet Fees,2020/06/25,85.0000
Nation Builder,Professional Communication Services,2020/06/29,290.6800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,49.9900
Postmedia Network Inc.,Advertising,2020/06/30,458.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,1.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,60.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,237.7500
Town of Stony Plain,Public Utilities,2020/07/06,43.2000
Alberta Jewish News,Advertising,2020/07/07,327.2500
Dynamic printing & promotions,"Householders ",2020/07/07,5594.6900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,34.3600
Mark Lupul Design Inc.,Communications Officer,2020/07/14,500.0000
CAPITAL PAPER RECYCLING LTD,Shredding,2020/07/15,98.1000
Jesse Martineau,Photography and Video Services,2020/07/17,3500.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.1900
EPCOR,Public Utilities,2020/07/20,240.3800
EPCOR,Public Utilities,2020/07/20,42.7600
Stony Plain Electric,Service and/or Equipment Changes,2020/07/22,850.6800
Zoom,Licence Renewal,2020/07/22,80.0000
Culligan Water,Spring Water,2020/07/23,35.5000
ALBERTA NWT COMMAND THE ROYAL CANADIAN LEGION,Advertising,2020/07/24,542.8600
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,267.7000
NationBuilder,Licence Renewal,2020/07/29,291.6900
Archer Industries Ltd.,Janitorial Services and Maintenance,2020/07/31,300.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,27.3400
House of Commons – Chambre des communes,Language Training,2020/07/31,51.9100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,60.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.6000
DECKER PROPRETIES GROUP INC.,Office Rental and Related Fees,2020/08/01,3068.0000
Free Sprit Holdings Inc,Office Rental and Related Fees,2020/08/01,600.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,347.2500
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,131.9700
Town of Stony Plain,Public Utilities,2020/08/05,43.2000
Mark Lupul Design Inc.,Communications Officer,2020/08/11,500.0000
CAPITAL PAPER RECYCLING LTD,Shredding,2020/08/15,103.1000
EPCOR,Public Utilities,2020/08/19,242.9300
EPCOR,Public Utilities,2020/08/19,43.9600
Zoom,Licence Renewal,2020/08/22,80.0000
TELUS Communications Inc.,Cable and Internet Fees,2020/08/25,85.0000
TELUS Communications Inc.,Cable and Internet Fees,2020/08/25,85.0000
Mark Lupul Design Inc.,Communications Officer,2020/08/31,500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,60.0000
DECKER PROPRETIES GROUP INC.,Office Rental and Related Fees,2020/09/01,3068.0000
Free Sprit Holdings Inc,Office Rental and Related Fees,2020/09/01,600.0000
MailChimp,Professional Communication Services,2020/09/02,100.3900
Town of Stony Plain,Public Utilities,2020/09/02,49.4500
Canada Post – Postes Canada,Courier Services,2020/09/23,102.9900
DECKER PROPRETIES GROUP INC.,Office Rental and Related Fees,2020/10/01,3068.0000
Free Sprit Holdings Inc,Office Rental and Related Fees,2020/10/01,600.0000
