"Members – Detailed Contract Expenditures Report – Charbonneau, Louise – Q2 2021"
Supplier,Description,Date,Total
"GAZETTE DE LA MAURICIE, LA","Printed Matter, Books, Newspapers and Subscriptions",2019/12/30,30.00
Bell,Internet (COVID19),2020/03/14,92.95
Vidéotron,Internet (COVID19),2020/05/08,56.93
"Bell ",Internet (COVID19),2020/05/14,92.95
Dollarama,Cleaning Products,2020/05/22,3.75
Dollarama,Cleaning Products,2020/05/25,5.05
Dollarama,"Office Supplies, Stationery and Accessories",2020/05/25,8.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,214.15
Dollarama,Cleaning Products,2020/05/27,5.55
Radnor,Spring Water,2020/05/27,12.00
Bureau en gros,Computer Equipment,2020/05/29,179.98
Bureau en gros,Computer Equipment,2020/05/29,49.99
Denis Office Supplies – Fournitures de bureau Denis,Consumable Items for Constituency Offices (COVID19),2020/06/03,194.96
Denis Office Supplies – Fournitures de bureau Denis,Consumable Items for Constituency Offices (COVID19),2020/06/10,119.98
Denis Office Supplies – Fournitures de bureau Denis,Consumable Items for Constituency Offices (COVID19),2020/06/10,119.98
Radnor,Spring Water,2020/06/10,22.00
"Enseignes Professionnelles, Les",Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/11,466.39
Copie Trois-Rivières inc.,Signage,2020/06/15,235.00
Copie Trois-Rivières inc.,External Printing Costs,2020/06/16,235.00
Copie Trois-Rivières inc.,External Printing Costs,2020/06/17,203.75
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/06/17,239.06
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/06/19,-69.96
GROUPE CAPITALES MEDIAS,Advertising,2020/06/20,1450.50
Cogeco,Cable and Internet Fees,2020/06/22,449.71
Icimédias Inc.,Advertising,2020/06/24,499.00
Signalisation 3D,Signage,2020/06/24,2370.00
Cogeco Media,Advertising,2020/06/28,360.00
Cogeco Media,Advertising,2020/06/28,288.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,225.36
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,191.38
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.09
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,52.00
Radnor - Eau,Spring Water,2020/07/08,16.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,121.15
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.19
Radnor - Eau,Spring Water,2020/07/22,6.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,16.00
Société Immobiliere G3R Inc.,Office Rental and Related Fees,2020/08/01,2990.00
"Modoc ","Printed Matter, Books, Newspapers and Subscriptions",2020/08/05,62.00
Radnor - Eau,Spring Water,2020/08/05,6.00
Kerozen/Publichoix,Promotional Items,2020/08/10,2870.00
Soc. Saint-Jean-Baptiste,"Office Supplies, Stationery and Accessories",2020/08/18,110.00
Radnor - Eau,Spring Water,2020/08/19,6.00
Denis Office Supplies – Fournitures de bureau Denis,"Office Supplies, Stationery and Accessories",2020/08/21,220.06
"Cogeco - Internet ",Cable and Internet Fees,2020/08/22,214.04
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,0.42
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,191.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,10.00
Omer DeSerres,"Framing, Outside Supplier",2020/09/01,93.98
Société Immobiliere G3R Inc.,Office Rental and Related Fees,2020/09/01,2990.00
Canada Post – Postes Canada,Courier Services,2020/09/23,8.43
Canada Post – Postes Canada,Courier Services,2020/09/23,7.66
Canada Post – Postes Canada,Courier Services,2020/09/23,5.71
Société Immobiliere G3R Inc.,Office Rental and Related Fees,2020/10/01,2990.00
