"Members – Detailed Travel Expenditures Report – Charbonneau, Louise – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200430688,2020/08/01,2020/08/31,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200430688,2020/08/01,2020/08/31,"Charbonneau, Louise",Member,Secondary Residence,2020/08/01,GATINEAU,GATINEAU,,,,,,,
T0204065,2020/08/17,2020/08/20,,,,,,,662.1000,379.3000,248.3300,0,1.0000,0,1289.73
T0204065,2020/08/17,2020/08/20,"Charbonneau, Louise",Member,To attend a national caucus meeting,2020/08/17,Trois-Rivières,Bonaventure,,,,,,,
T0204063,2020/08/17,2020/08/20,,,,,,,0.0000,261.2600,323.8400,0,0.0000,0,585.10
T0204063,2020/08/17,2020/08/20,"Roussy, Nicolas",Employee,Attending event with Member,2020/08/17,Trois-Rivières,New Richmond,,,,,,,
T0204065,2020/08/17,2020/08/20,"Charbonneau, Louise",Member,To attend a national caucus meeting,2020/08/20,Bonaventure,Trois-Rivières,,,,,,,
T0204063,2020/08/17,2020/08/20,"Roussy, Nicolas",Employee,Attending event with Member,2020/08/20,New Richmond,Trois-Rivières,,,,,,,
T0204581,2020/09/01,2020/09/02,,,,,,,277.8800,133.7000,62.8300,1.0000,0,0,474.41
T0204581,2020/09/01,2020/09/02,"Roussy, Nicolas",Employee,To conduct constituency office business,2020/09/01,Trois-Rivières,Gatineau,,,,,,,
T0204741,2020/09/01,2020/09/02,,,,,,,0.0000,133.7000,62.8300,0.0000,0,0,196.53
T0204741,2020/09/01,2020/09/02,"Beauchesne, André",Employee,To conduct constituency office business,2020/09/01,Trois-Rivières,Gatineau,,,,,,,
T0204579,2020/09/01,2020/09/02,,,,,,,0.0000,0.0000,62.8300,0.0000,0,0,62.83
T0204579,2020/09/01,2020/09/02,"Gélinas, Jérémy",Employee,To conduct constituency office business,2020/09/01,Trois-Rivières,Gatineau,,,,,,,
T0204569,2020/09/01,2020/09/02,,,,,,,0.0000,133.7000,62.8300,0.0000,0,0,196.53
T0204569,2020/09/01,2020/09/02,"Landry Proteau, Éliane",Employee,To conduct constituency office business,2020/09/01,Trois-Rivières,Gatineau,,,,,,,
T0204569,2020/09/01,2020/09/02,"Landry Proteau, Éliane",Employee,To conduct constituency office business,2020/09/02,Gatineau,Trois-Rivières,,,,,,,
T0204579,2020/09/01,2020/09/02,"Gélinas, Jérémy",Employee,To conduct constituency office business,2020/09/02,Gatineau,Trois-Rivières,,,,,,,
T0204741,2020/09/01,2020/09/02,"Beauchesne, André",Employee,To conduct constituency office business,2020/09/02,Gatineau,Trois-Rivières,,,,,,,
T0204581,2020/09/01,2020/09/02,"Roussy, Nicolas",Employee,To conduct constituency office business,2020/09/02,Gatineau,Trois-Rivières,,,,,,,
200437171,2020/09/01,2020/09/30,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200437171,2020/09/01,2020/09/30,"Charbonneau, Louise",Member,Secondary Residence,2020/09/01,GATINEAU,GATINEAU,,,,,,,
200442032,2020/10/01,2020/10/31,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200442032,2020/10/01,2020/10/31,"Charbonneau, Louise",Member,Secondary Residence,2020/10/01,GATINEAU,GATINEAU,,,,,,,
