"Members – Detailed Contract Expenditures Report – Desilets, Luc – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Entretien menager Quattro,Janitorial Services and Maintenance,2020/05/29,340.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,35.75
Carboneutre Québec,Subject Matter Expert,2020/06/05,538.02
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,92.70
GROUPE JCL,Advertising,2020/06/17,947.00
"Lopin, Se rassembler pour cultiver",Advertising,2020/06/17,500.00
"Lopin, Se rassembler pour cultiver",Advertising,2020/06/17,500.00
FestivalOpera de Saint-Eustache,Advertising,2020/06/18,500.00
BUREAU EN GROS,"Office Supplies, Stationery and Accessories",2020/06/20,89.74
Miximage Imprimerie,Promotional Items,2020/06/20,2760.00
Entretien menager Quattro,Janitorial Services and Maintenance,2020/06/24,340.00
Softchoice,Licencing/Maintenance for Client Software Related to Distributed Computing Environment (DCE),2020/06/25,3.35
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/06/25,66.96
Atelier Altitude Inc,Advertising,2020/06/26,300.00
Club de soccer Lanaudière-Nord,Advertising,2020/06/26,500.00
HYDRO QUÉBEC,Public Utilities,2020/06/26,422.23
Matinées mères-enfants des Deux-Montagnes,Advertising,2020/06/26,350.00
Miximage Imprimerie,External Printing Costs,2020/06/26,998.00
Electronique addison,"Office Supplies, Stationery and Accessories",2020/06/27,79.93
"Emballages Carrousel inc., Les",Cleaning Products,2020/06/29,156.63
LA CORPORATION DES FETES DE SAINT-EUSTACHE INC.,Advertising,2020/06/29,125.00
"Richard, Stéphane",Communications Officer,2020/06/30,300.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Clair Obscur Photographie Inc.,Photography and Video Services,2020/07/01,1950.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.75
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,114.33
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.64
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/17,89.95
CCITB,Advertising,2020/07/22,399.00
"Aubé, Laurie",Janitorial Services and Maintenance,2020/07/31,340.00
"Richard, Stéphane",Communications Officer,2020/07/31,300.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.00
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/08/01,2000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,35.75
Services de Développement Professionnels SDP inc,Licence Renewal,2020/08/03,4300.00
Services d'entraide Le Relais,Advertising,2020/08/13,500.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,89.95
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/08/17,110.39
Centre Marie Eve,Advertising,2020/08/18,500.00
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/08/20,114.35
Parkinson Québec,Advertising,2020/08/20,500.00
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/08/26,75.78
HYDRO QUÉBEC,Public Utilities,2020/08/26,518.09
"Lavage de Vitres PLP Inc. ",Janitorial Services and Maintenance,2020/08/26,25.00
Costco,"Office Supplies, Stationery and Accessories",2020/08/29,67.96
BUREAU EN GROS,"Office Supplies, Stationery and Accessories",2020/08/31,139.99
Entretien menager Quattro,Janitorial Services and Maintenance,2020/08/31,340.00
"Richard, Stéphane",Communications Officer,2020/08/31,300.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.00
Centre d'entraide Racine-Lavoie,Advertising,2020/09/01,500.00
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/09/01,2000.00
Patrick Morin inc.,Office Renovations,2020/09/02,20.98
Patrick Morin inc.,Office Renovations,2020/09/02,11.68
Club de Curling Rosemere,Public Meeting Room Rentals,2020/09/03,200.00
Société de développement de Saint-Eustache,Advertising,2020/09/03,500.00
Solutions Orbit Inc.,Cleaning Products,2020/09/15,345.45
AQDR LAVAL,Advertising,2020/09/16,175.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,392.89
Canada Post – Postes Canada,Courier Services,2020/09/23,5.51
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,5.14
Canada Post – Postes Canada,Courier Services,2020/09/23,7.50
Canada Post – Postes Canada,Courier Services,2020/09/23,6.09
Canada Post – Postes Canada,Courier Services,2020/09/23,5.50
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,5.24
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
Canada Post – Postes Canada,Courier Services,2020/09/23,5.62
Entretien menager Quattro,Janitorial Services and Maintenance,2020/09/28,340.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,425.90
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/10/01,2000.00
