"Members – Detailed Contract Expenditures Report – Thériault, Luc – Q2 2021"
Supplier,Description,Date,Total
Service d'entraide Saint-Lin-Laurentides,Advertising,2020/04/06,500.00
Bureau en Gros (138),Toner,2020/04/27,151.99
Zoom,Licence Renewal,2020/05/06,20.00
pétro-T,"Office Supplies, Stationery and Accessories",2020/05/16,12.61
Dollorama,"Office Supplies, Stationery and Accessories",2020/05/25,1.40
Zoom,Licence Renewal,2020/06/06,20.00
Société nationale des Québécoises et Québécois de Lanaudière (SNQL),Advertising,2020/06/09,500.00
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/15,961.05
Groupe Lexis Média Inc.,Advertising,2020/06/17,300.00
Groupe Lexis Média Inc.,Advertising,2020/06/18,327.00
Groupe Lexis Média Inc.,Advertising,2020/06/18,365.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/24,56.24
BELL CANADA,Cable and Internet Fees,2020/06/25,126.00
Vidéotron,Cable and Internet Fees,2020/06/26,85.78
10679313 Canada inc.,Advertising,2020/06/28,250.00
"Laforest, Sylvie",Janitorial Services and Maintenance,2020/06/29,210.00
Centre de services scolaire des Samares,Advertising,2020/06/30,250.00
PROMALAC MARKETING INC.,Advertising,2020/06/30,150.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,40.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,230.30
Municipalité de Sainte-Julienne,Advertising,2020/07/02,250.00
Fleuriste Panier de Fleurs,Gifts given as a matter of protocol,2020/07/05,123.00
"Portelance, Richard",Professional Communication Services,2020/07/06,451.25
Cyberimpact,Professional Communication Services,2020/07/09,25.00
Groupe Lexis Média Inc.,Advertising,2020/07/09,365.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,9.04
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.28
Vidéotron,Cable and Internet Fees,2020/07/24,85.78
BELL CANADA,Cable and Internet Fees,2020/07/25,126.00
152028 CANADA INC.,Office Rental and Related Fees,2020/08/01,2550.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,28.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,210.30
Cyberimpact,Web Site Hosting/Domain Name,2020/08/09,25.00
Librairie Renaud-Bray,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/12,79.85
Bureau en Gros (138),"Office Supplies, Stationery and Accessories",2020/08/19,139.82
Bureau en Gros (138),Cleaning Products,2020/08/19,23.98
Zoom,Licence Renewal,2020/08/23,200.00
Festival des Arts de Mascouche,Advertising,2020/08/24,500.00
BELL CANADA,Cable and Internet Fees,2020/08/25,126.00
Vidéotron,Cable and Internet Fees,2020/08/28,85.78
Costco,Cleaning Products,2020/08/31,61.95
152028 CANADA INC.,Office Rental and Related Fees,2020/09/01,2550.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,210.30
"Laforest, Sylvie",Janitorial Services and Maintenance,2020/09/08,350.00
Cyberimpact,Web Site Hosting/Domain Name,2020/09/09,25.00
L'Aut'Journal,Advertising,2020/09/14,170.00
Centre régional de formation de Lanaudière,Advertising,2020/09/16,100.00
Municipalité de Sainte-Julienne,Advertising,2020/09/22,250.00
Bureau en Gros (138),"Office Supplies, Stationery and Accessories",2020/09/23,47.85
Canada Post – Postes Canada,Courier Services,2020/09/23,9.09
Canada Post – Postes Canada,Courier Services,2020/09/23,8.10
Canada Post – Postes Canada,Courier Services,2020/09/23,7.37
Canada Post – Postes Canada,Courier Services,2020/09/23,9.79
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,7.94
Canada Post – Postes Canada,Courier Services,2020/09/23,7.37
Canada Post – Postes Canada,Courier Services,2020/09/23,10.24
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,10.46
Groupe Lexis Média Inc.,Advertising,2020/09/24,365.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,248.35
152028 CANADA INC.,Office Rental and Related Fees,2020/10/01,2550.00
