"Members – Detailed Travel Expenditures Report – Thériault, Luc – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203074,2020/07/03,2020/08/02,,,,,,,0.0000,193.5600,0.0000,0,0,0,193.56
T0203074,2020/07/03,2020/08/02,"Thériault, Luc",Member,Secondary Residence,2020/07/03,Gatineau,Gatineau,,,,,,,
200430803,2020/08/01,2020/08/31,,,,,,,0.0000,1675.0000,0.0000,0,0,0,1675.00
200430803,2020/08/01,2020/08/31,"Thériault, Luc",Member,Secondary Residence,2020/08/01,GATINEAU,GATINEAU,,,,,,,
T0203873,2020/08/03,2020/09/02,,,,,,,0.0000,193.5600,0.0000,0,0,0,193.56
T0203873,2020/08/03,2020/09/02,"Thériault, Luc",Member,Secondary Residence,2020/08/03,Gatineau,Gatineau,,,,,,,
T0204167,2020/08/13,2020/08/28,,,,,,,66.1400,0.0000,0.0000,0.0000,0.0000,0,66.14
T0204167,2020/08/13,2020/08/28,"Tremblay, Jacques",Employee,Attending event with Member,2020/08/13,Mascouche,Saint-Alexis,,,,,,,
T0204167,2020/08/13,2020/08/28,"Tremblay, Jacques",Employee,Attending event with Member,2020/08/13,Saint-Alexis,Mascouche,,,,,,,
T0204167,2020/08/13,2020/08/28,"Tremblay, Jacques",Employee,Attending event with Member,2020/08/27,Mascouche,Saint-Liguori,,,,,,,
T0204167,2020/08/13,2020/08/28,"Tremblay, Jacques",Employee,Attending event with Member,2020/08/27,Saint-Liguori,Mascouche,,,,,,,
T0204266,2020/08/16,2020/08/21,,,,,,,772.0000,730.6100,407.0500,0,1.0000,0,1909.66
T0204266,2020/08/16,2020/08/21,"Thériault, Luc",Member,To attend a national caucus meeting,2020/08/16,Mascouche,Bonaventure,,,,,,,
T0204266,2020/08/16,2020/08/21,"Thériault, Luc",Member,To attend a national caucus meeting,2020/08/21,Bonaventure,Mascouche,,,,,,,
200437284,2020/09/01,2020/09/30,,,,,,,0.0000,1675.0000,0.0000,0,0,0,1675.00
200437284,2020/09/01,2020/09/30,"Thériault, Luc",Member,Secondary Residence,2020/09/01,GATINEAU,GATINEAU,,,,,,,
T0204890,2020/09/10,2020/09/10,,,,,,,38.4200,0.0000,0.0000,0.0000,0,0,38.42
T0204890,2020/09/10,2020/09/10,"Vanier, Pierre",Employee,To attend meetings about constituency issues,2020/09/10,Mascouche,Saint-Calixte-de-Kilkenny,,,,,,,
T0204890,2020/09/10,2020/09/10,"Vanier, Pierre",Employee,To attend meetings about constituency issues,2020/09/10,Saint-Calixte-de-Kilkenny,Mascouche,,,,,,,
T0205226,2020/09/22,2020/09/22,,,,,,,181.8500,0.0000,0.0000,1.0000,0,0,181.85
T0205226,2020/09/22,2020/09/22,"Venne-Hébert, Ariane",Employee,To travel to/from constituency and Ottawa,2020/09/22,Mascouche,Ottawa,,,,,,,
T0205226,2020/09/22,2020/09/22,"Venne-Hébert, Ariane",Employee,To travel to/from constituency and Ottawa,2020/09/22,Ottawa,Mascouche,,,,,,,
200442146,2020/10/01,2020/10/31,,,,,,,0.0000,1675.0000,0.0000,0,0,0,1675.00
200442146,2020/10/01,2020/10/31,"Thériault, Luc",Member,Secondary Residence,2020/10/01,GATINEAU,GATINEAU,,,,,,,
