"Members – Detailed Contract Expenditures Report – MacAulay, Lawrence – Q2 2021"
Supplier,Description,Date,Total
Eastlink,Cable and Internet Fees,2020/03/10,105.2400
"Eastern Graphic, The",Advertising,2020/04/01,338.6300
"Eastern Graphic, The",Advertising,2020/04/01,1637.3500
eastlink,Cable and Internet Fees,2020/04/03,98.9000
"Eastern Graphic, The",Advertising,2020/04/08,1637.3500
"Eastern Graphic, The",Advertising,2020/04/08,338.6300
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/04/10,157.4700
Eastlink,Cable and Internet Fees,2020/04/10,108.2600
"Eastern Graphic, The",Advertising,2020/04/22,297.1600
"Eastern Graphic, The",Advertising,2020/04/22,1637.3500
"Eastern Graphic, The",Advertising,2020/04/22,305.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/04/25,64.7000
"Eastern Graphic, The",Advertising,2020/04/29,199.9200
"Eastern Graphic, The",Advertising,2020/04/29,1637.3500
"Eastern Graphic, The",Advertising,2020/04/29,487.4200
Konica Minolta Business Solutions Canada Ltd,Photocopier Rental and Related Costs,2020/05/02,655.4600
Eastink,Cable and Internet Fees,2020/05/03,98.9000
"Eastern Graphic, The",Advertising,2020/05/06,249.9200
"Eastern Graphic, The",Advertising,2020/05/06,1438.3500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/05/10,171.8500
Eastlink,Cable and Internet Fees,2020/05/10,105.2400
"Eastern Graphic, The",Advertising,2020/05/20,305.0000
"Eastern Graphic, The",Advertising,2020/05/20,1085.5500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/05/25,66.8400
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,15.9000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1054.0600
"Eastern Graphic, The",Advertising,2020/06/03,299.8800
Eastlink,Cable and Internet Fees,2020/06/04,101.7400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/06/10,123.7500
"Eastern Graphic, The",Advertising,2020/06/10,162.4000
Eastlink,Cable and Internet Fees,2020/06/10,108.2600
"Eastern Graphic, The",Advertising,2020/06/15,338.6300
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
"Eastern Graphic, The",Advertising,2020/06/17,305.0000
"Eastern Graphic, The",Advertising,2020/06/17,199.9200
"Eastern Graphic, The",Advertising,2020/06/24,316.5600
"Eastern Graphic, The",Advertising,2020/06/24,974.8000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/06/25,64.7000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,89.4000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Eastlink,Cable and Internet Fees,2020/07/03,105.8000
Bell Mobility – Bell Mobilité,Telephone Data Plans and Cards,2020/07/10,160.2000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1400
Island Press Ltd.,Advertising,2020/07/22,305.0000
Island Press Ltd.,Advertising,2020/07/22,274.9200
Island Press Ltd.,Advertising,2020/07/24,1207.1600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,323.6600
100013 P.E.I. INC.,Office Rental and Related Fees,2020/08/01,2872.0400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.4000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,89.4000
Konica Minolta Business Solutions Canada Ltd,Photocopier Rental and Related Costs,2020/08/02,682.9200
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Island Press Ltd.,Advertising,2020/08/14,586.6500
Island Press Ltd.,Advertising,2020/08/19,305.0000
Island Press Ltd.,Advertising,2020/08/19,586.6500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,77.4000
Konica Minolta Business Solutions Canada Ltd,Photocopier Rental and Related Costs,2020/08/31,71.3500
100013 P.E.I. INC.,Office Rental and Related Fees,2020/09/01,2872.0400
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/01,169.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,18.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,109.4000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Island Press Ltd.,Advertising,2020/09/02,216.7200
Island Press Ltd.,Advertising,2020/09/09,216.7200
Island Press Ltd.,Advertising,2020/09/09,1023.2500
Island Press Ltd.,Advertising,2020/09/16,360.2800
Canada Post – Postes Canada,Courier Services,2020/09/23,18.6600
Canada Post – Postes Canada,Courier Services,2020/09/23,16.9100
Canada Post – Postes Canada,Courier Services,2020/09/23,28.4900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9700
Canada Post – Postes Canada,Courier Services,2020/09/30,110.4900
100013 P.E.I. INC.,Office Rental and Related Fees,2020/10/01,2872.0400
