"Members – Detailed Contract Expenditures Report – Maloney, James – Q2 2021"
Supplier,Description,Date,Total
Snapd Etobicoke,Advertising,2019/09/01,325.0000
Snapd Etobicoke,Advertising,2020/04/01,450.0000
BELL CANADA,Cable and Internet Fees,2020/04/10,81.9000
MailChimp,Professional Communication Services,2020/04/23,111.8300
Snapd Etobicoke,Advertising,2020/05/01,450.0000
New Pathway Ukrainian News,Advertising,2020/05/06,300.0000
New Pathway Ukrainian News,Advertising,2020/05/06,240.0000
BELL CANADA,Cable and Internet Fees,2020/05/10,81.9000
HSBCA,Advertising,2020/05/22,445.5000
MailChimp,Professional Communication Services,2020/05/23,119.4200
Lakefront graphix technology,Promotional Items,2020/05/25,2800.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Snapd Etobicoke,Advertising,2020/06/01,450.0000
FIAT LUX Media,Advertising,2020/06/04,500.0000
FIAT LUX Media,Advertising,2020/06/04,500.0000
BELL CANADA,Cable and Internet Fees,2020/06/10,81.9000
BELL CANADA,Cable and Internet Fees,2020/06/10,91.3700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
MailChimp,Professional Communication Services,2020/06/23,114.9100
PRISTINE PRINTING INC.,"Householders ",2020/06/26,6276.0000
FIAT LUX Media,Advertising,2020/06/29,500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,128.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,12.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
Snapd Etobicoke,Advertising,2020/07/01,450.0000
Bellwether Technologies,Advertising,2020/07/02,1962.5200
BELL CANADA,Cable and Internet Fees,2020/07/10,81.9000
BELL CANADA,Cable and Internet Fees,2020/07/10,92.1100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,8.7100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.1900
1515101 ONTARIO INC.,Office Rental and Related Fees,2020/08/01,3266.6600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,24.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,128.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Snapd Etobicoke,Advertising,2020/08/01,450.0000
BELL CANADA,Cable and Internet Fees,2020/08/10,91.5100
BELL CANADA,Cable and Internet Fees,2020/08/10,81.9000
"Co-operators, The",Constituency Office Insurance,2020/08/12,1404.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
1515101 ONTARIO INC.,Office Rental and Related Fees,2020/09/01,3266.6600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,128.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,13.9900
1515101 ONTARIO INC.,Office Rental and Related Fees,2020/10/01,3266.6600
